N	Z	Q(b3n)
20	25	1010
19	26	1010
31	15	7814.72
30	16	-2364.83
29	17	-7677.268
28	18	-18852.548
27	19	-23277.087
26	20	-34730.427
25	21	-38384.614
24	22	-52049.254
23	23	-60496.071
22	24	-53892
21	25	1010
20	26	1010
32	15	13534.43
31	16	1253.63
30	17	-3745.22
29	18	-15384.454
28	19	-19923.183
27	20	-30417.433
26	21	-34627.81
25	22	-46878.489
24	23	-54883.634
23	24	1010
22	25	-54854
21	26	1010
20	27	1010
32	16	5785.18
31	17	-426.62
30	18	-11407.3
29	19	-16915.368
28	20	-29149.169
27	21	-32851.136
26	22	-42389.076
25	23	-50040.874
24	24	-63058.222
23	25	1010
22	26	1010
21	27	1010
20	28	1010
33	16	9758.67
32	17	5067.55
31	18	-7420.12
30	19	-11553.066
29	20	-24662.402
28	21	-28349.663
27	22	-39084.266
26	23	-43948.7
25	24	-58177.885
24	25	-63563.011
23	26	-51526
22	27	1010
21	28	1010
33	17	8366.35
32	18	-2835.77
31	19	-8584.914
30	20	-20562.66
29	21	-25198.743
28	22	-36158.355
27	23	-40354.057
26	24	-52603.907
25	25	-60497.601
24	26	-53523
23	27	-51422
22	28	1010
34	17	10372.38
33	18	848.2
32	19	-3731.27
31	20	-16971.246
30	21	-20069.296
29	22	-31601.124
28	23	-36798.65
27	24	-47587.949
26	25	-55745.405
25	26	-49187.187
24	27	-52757
23	28	1010
34	18	3607.99
33	19	-904.72
32	20	-13169.373
31	21	-16916.811
30	22	-26922.304
29	23	-33525.813
28	24	-43652.495
27	25	-50967.861
26	26	1010
25	27	-45546
24	28	1010
23	29	1010
35	18	7151.77
34	19	3082.54
33	20	-9848.94
32	21	-12457.318
31	22	-22822.45
30	23	-27227.327
29	24	-39925.029
28	25	-44857.351
27	26	-59108.226
26	27	-47255.803
25	28	1010
24	29	1010
35	19	6280.62
34	20	-6867.55
33	21	-9991.896
32	22	-19234.876
31	23	-23995.099
30	24	-35791.484
29	25	-41030.277
28	26	-53864.547
27	27	1010
26	28	-54662
25	29	1010
24	30	1010
36	19	8880.21
35	20	-3708.55
34	21	-5535.409
33	22	-16186.69
32	23	-19298.447
31	24	-30653.488
30	25	-37091.248
29	26	-48930.649
28	27	-56119.064
27	28	-47975.825
26	29	1010
25	30	1010
37	19	10952.89
36	20	-1492.8
35	21	-3520.82
34	22	-12726.29
33	23	-16529.137
32	24	-25949.22
31	25	-33442.613
30	26	-43413.734
29	27	-51687.519
28	28	1010
27	29	-48013
26	30	1010
25	31	1010
37	20	783.4
36	21	-496.92
35	22	-9513.218
34	23	-12908.459
33	24	-22331.518
32	25	-26395.761
31	26	-39436.552
30	27	-45191.359
29	28	-59988.457
28	29	-51645
27	30	1010
26	31	1010
38	20	2507.57
37	21	805.1
36	22	-7543.78
35	23	-11225.493
34	24	-19639.446
33	25	-23580.023
32	26	-34687.499
31	27	-39905.285
30	28	-54047.019
29	29	1010
28	30	-57617
27	31	1010
26	32	1010
38	21	3294.92
37	22	-5327.34
36	23	-8031.515
35	24	-17001.87
34	25	-20486.057
33	26	-30223.764
32	27	-35276.651
31	28	-48541.496
30	29	-56622.777
29	30	-49529
28	31	1010
27	32	1010
39	21	4233.3
38	22	-3665.02
37	23	-6369.39
36	24	-14310.868
35	25	-18343.833
34	26	-27766.595
33	27	-32594.287
32	28	-42832.032
31	29	-51559.029
30	30	1010
29	31	-51302
28	32	1010
27	33	1010
40	21	6410.47
39	22	-1503.55
38	23	-4337.01
37	24	-12391.627
36	25	-15040.698
35	26	-24544.611
34	27	-28130.421
33	28	-39428.228
32	29	-45102.514
31	30	-58477.149
30	31	-51256
29	32	1010
28	33	1010
40	22	-276
39	23	-3143.59
38	24	-10667.52
37	25	-13807.17
36	26	-22245.414
35	27	-25984.061
34	28	-37467.166
33	29	-40996.865
32	30	-52593.066
31	31	-41847
30	32	-56928
29	33	1010
41	22	2065
40	23	-508.55
39	24	-8621.121
38	25	-10946.972
37	26	-19744.282
36	27	-22889.228
35	28	-32303.083
34	29	-38467.237
33	30	-48337.199
32	31	-41208.876
31	32	-51285
30	33	1010
41	23	1176.76
40	24	-7133.21
39	25	-9911.09
38	26	-17604.467
37	27	-21050.659
36	28	-30811.125
35	29	-35864.814
34	30	-44256.979
33	31	1010
32	32	-49420
31	33	1010
30	34	1010
42	23	3611.73
41	24	-4702.55
40	25	-7572.436
39	26	-15423.804
38	27	-17794.836
37	28	-27584.465
36	29	-31427.019
35	30	-40863.34
34	31	-46181.742
33	32	-41029.165
32	33	1010
31	34	1010
43	23	4791.34
42	24	-2983.64
41	25	-6875.837
40	26	-13484.516
39	27	-16511.269
38	28	-25862.875
37	29	-29597.047
36	30	-39368.29
35	31	-41829.2
34	32	-40113.956
33	33	-45869
32	34	1010
43	24	-641.56
42	25	-4039.38
41	26	-12157.995
40	27	-13391.486
39	28	-23848.011
38	29	-26671.902
37	30	-33998.841
36	31	-39827.312
35	32	1010
34	33	-44034.936
33	34	1010
32	35	1010
44	24	1058.74
43	25	-2165.59
42	26	-9879.017
41	27	-12258.167
40	28	-21626.55
39	29	-25202.708
38	30	-32804.03
37	31	-37301.817
36	32	-44680.351
35	33	-37977.077
34	34	1010
33	35	1010
44	25	803.85
43	26	-8118.44
42	27	-9051.107
41	28	-19115.876
40	29	-22191.963
39	30	-29970.3
38	31	-33129.006
37	32	-42397.06
36	33	1010
35	34	-42401.236
34	35	1010
33	36	1010
45	25	1159.47
44	26	-5839.75
43	27	-8816.603
42	28	-17443.108
41	29	-20644.663
40	30	-27922.588
39	31	-31640.476
38	32	-41195.42
37	33	-42880.023
36	34	-43688.272
35	35	1010
34	36	1010
46	25	3449.32
45	26	-4779.54
44	27	-6369.288
43	28	-15112.932
42	29	-17852.101
41	30	-25766.148
40	31	-28469.011
39	32	-36085.05
38	33	-41050.98
37	34	1010
36	35	-45384.212
35	36	1010
34	37	1010
46	26	-2469.19
45	27	-5600.86
44	28	-13912.802
43	29	-17111.683
42	30	-23786.05
41	31	-26962.045
40	32	-35022.922
39	33	-38127.228
38	34	-46469.199
37	35	-36846.746
36	36	1010
35	37	1010
47	26	-1664.76
46	27	-3151.79
45	28	-12722.055
44	29	-14584.235
43	30	-22391.208
42	31	-24366.041
41	32	-32198.684
40	33	-34631.371
39	34	-43903.603
38	35	1010
37	36	-45080
36	37	1010
35	38	1010
48	26	-684.09
47	27	-2613.63
46	28	-11237.44
45	29	-14199.593
44	30	-21289.715
43	31	-23663.485
42	32	-31047.257
41	33	-32985.913
40	34	-43194.512
39	35	-44438.305
38	36	-45066.849
37	37	1010
36	38	1010
48	27	-7.51
47	28	-9887.82
46	29	-11526.414
45	30	-19247.658
44	31	-21337.295
43	32	-28937.044
42	33	-31012.549
41	34	-38038.563
40	35	-42561.005
39	36	-37453.929
38	37	1010
37	38	1010
49	27	400.58
48	28	-7649.79
47	29	-10789.149
46	30	-17724.536
45	31	-20170.62
44	32	-27748.737
43	33	-28982.632
42	34	-37438.031
41	35	-39800.131
40	36	1010
39	37	-39003.442
38	38	1010
37	39	1010
49	28	-6186.02
48	29	-8167.21
47	30	-16163.511
46	31	-17696.862
45	32	-25338.353
44	33	-27116.094
43	34	-34057.73
42	35	-36680.923
41	36	-45342.381
40	37	-39808.436
39	38	1010
38	39	1010
50	28	-5081.04
49	29	-7057.594
48	30	-14301.184
47	31	-17133.437
46	32	-24001.953
45	33	-25789.091
44	34	-33055.714
43	35	-34022.438
42	36	-43663.128
41	37	1010
40	38	-42366
39	39	1010
38	40	1010
51	28	-2253.05
50	29	-4987.59
49	30	-12473.016
48	31	-14440.284
47	32	-22440.155
46	33	-23513.234
45	34	-30764.13
44	35	-32415.508
43	36	-39655.422
42	37	-42970.186
41	38	-37444
40	39	1010
39	40	1010
51	29	-3170.04
50	30	-10735.005
49	31	-13417.621
48	32	-20753.255
47	33	-22853.533
46	34	-29893.783
45	35	-30757.981
44	36	-37961.856
43	37	-41673.157
42	38	-37358.578
41	39	-38609.23
40	40	1010
52	29	672.3
51	30	-8184.789
50	31	-10944.847
49	32	-18956.202
48	33	-20631.347
47	34	-27816.096
46	35	-28963.967
45	36	-35670.601
44	37	-37073.078
43	38	1010
42	39	-36746.335
41	40	1010
40	41	1010
53	29	2640.3
52	30	-5166.78
51	31	-8814.282
50	32	-16936.177
49	33	-19453.071
48	34	-26650.002
47	35	-28299.839
46	36	-34980.035
45	37	-35636.957
44	38	-44330.774
43	39	-30892
42	40	1010
41	41	1010
53	30	-2890.35
52	31	-4926.038
51	32	-14173.192
50	33	-16893.975
49	34	-24461.687
48	35	-26320.1
47	36	-32888.882
46	37	-33724.134
45	38	-41509.511
44	39	1010
43	40	-38850
42	41	1010
41	42	1010
54	30	122.45
53	31	-3689.47
52	32	-11028.968
51	33	-14922.899
50	34	-23352.726
49	35	-25258.669
48	36	-32154.435
47	37	-33472.885
46	38	-39410.229
45	39	-41979.943
44	40	-36863
43	41	1010
42	42	1010
55	30	1868.1
54	31	233.15
53	32	-8460.436
52	33	-11103.518
51	34	-20022.557
50	35	-23253.108
49	36	-30572.3
48	37	-31337.164
47	38	-38371.383
46	39	-39153.248
45	40	1010
44	41	-38199.923
43	42	1010
42	43	1010
55	31	1388.15
54	32	-5177.32
53	33	-9013.706
52	34	-17513.715
51	35	-20826.786
50	36	-29161.725
49	37	-31106.031
48	38	-37696.88
47	39	-38677.106
46	40	-46424.774
45	41	-33968.634
44	42	1010
43	43	1010
56	31	3406.72
55	32	-3362.14
54	33	-4862.072
53	34	-13915.388
