N	Z	Q(b3n)
82	47	-5178.4
81	48	-10823.58
80	49	-11591.71
79	50	-18890.006
78	51	-19397.41
77	52	-23802.585
76	53	-24083.925
75	54	-29369.045
74	55	-29648.844
73	56	-34823.935
72	57	-35559.907
71	58	-41053.938
70	59	-41862
69	60	-35452
68	61	1010
67	62	1010
83	47	-2417.69
82	48	-9258.79
81	49	-11083.9
80	50	-18145.524
79	51	-18690.879
78	52	-23228.682
77	53	-23488.273
76	54	-28465.599
75	55	-28870.198
74	56	-34252.159
73	57	-34589.081
72	58	-39820.778
71	59	-40441.225
70	60	1010
69	61	-34675
68	62	1010
67	63	1010
83	48	-6402.28
82	49	-9490.494
81	50	-17363.372
80	51	-17724.196
79	52	-22076.956
78	53	-22382.862
77	54	-27270.222
76	55	-27495.078
75	56	-32698.466
74	57	-32867.516
73	58	-38675.514
72	59	-38826.623
71	60	-44548
70	61	-36929
69	62	1010
68	63	1010
84	48	-2247.67
83	49	-6467.18
82	50	-16732.3
81	51	-17361.907
80	52	-21563.355
79	53	-21788.057
78	54	-26547.545
77	55	-26870.988
76	56	-31934.398
75	57	-32172.449
74	58	-37214.139
73	59	-37777.886
72	60	-43198
71	61	-31992
70	62	-40524
69	63	1010
85	48	604.75
84	49	-2149.9
83	50	-13289.34
82	51	-16290.057
81	52	-20617.909
80	53	-20805.49
79	54	-25569.4
78	55	-25548.213
77	56	-30722.376
76	57	-30906.458
75	58	-36111.194
74	59	-36535.178
73	60	-41634.726
72	61	1010
71	62	-36372
70	63	1010
69	64	1010
85	49	1065.8
84	50	-9183.139
83	51	-13527.035
82	52	-19866.683
81	53	-20390.549
80	54	-24906.269
79	55	-25084.789
78	56	-30030.785
77	57	-30275.7
76	58	-35164.458
75	59	-35460.819
74	60	-40924.681
73	61	-41156
72	62	-38233
71	63	1010
70	64	1010
86	49	4940.15
85	50	-5653.538
84	51	-9263.976
83	52	-16745.9
82	53	-19259.993
81	54	-23984.652
80	55	-24025.642
79	56	-28978.155
78	57	-29006.422
77	58	-34180.896
76	59	-34298.122
75	60	-39239.594
74	61	-39999.709
73	62	1010
72	63	-37607
71	64	1010
70	65	1010
86	50	-1848.73
85	51	-6200.134
84	52	-13337.756
83	53	-16671.546
82	54	-23145.918
81	55	-23495.046
80	56	-28287
79	57	-28404.21
78	58	-33348.123
77	59	-33861.62
76	60	-38770.166
75	61	-38815.611
74	62	-44329
73	63	-33045
72	64	1010
71	65	1010
87	50	-1123.23
86	51	-2470.469
85	52	-9936.131
84	53	-12987.744
83	54	-20118.952
82	55	-22319.271
81	56	-27153.308
80	57	-27123.78
79	58	-32089.239
78	59	-32417.809
77	60	-37646.279
76	61	-37553.263
75	62	-43002
74	63	-35113
73	64	-37110
72	65	1010
88	50	-188.96
87	51	-1916.18
86	52	-6705.896
85	53	-10305.091
84	54	-17228.263
83	55	-19863.792
82	56	-26368.23
81	57	-26660.999
80	58	-31309.89
79	59	-31617.637
78	60	-36682.447
77	61	-36787.231
76	62	-42170.093
75	63	1010
74	64	-39062
73	65	1010
72	66	1010
88	51	-370.14
87	52	-5876.863
86	53	-6941.692
85	54	-14019.395
84	55	-16575.101
83	56	-23676.414
82	57	-25520.072
81	58	-30522.44
80	59	-30332.976
79	60	-35804.129
78	61	-35662.72
77	62	-40937.177
76	63	-41110
75	64	-35029
74	65	1010
73	66	1010
89	51	201.65
88	52	-4939.971
87	53	-6193.859
86	54	-11403.021
85	55	-14131.394
84	56	-20832.321
83	57	-23202.587
82	58	-29869.36
81	59	-29962.536
80	60	-35115.13
79	61	-35075.448
78	62	-40271.9
77	63	-40731.663
76	64	1010
75	65	-33896
74	66	1010
73	67	1010
89	52	-3669.13
88	53	-4936.23
87	54	-10326.473
86	55	-11133.954
85	56	-18043.393
84	57	-20137.987
83	58	-27143.16
82	59	-28693.654
81	60	-33846.438
80	61	-33798.604
79	62	-38808.336
78	63	-39060.396
77	64	-44413.387
76	65	-36995
75	66	1010
74	67	1010
90	52	-3028.73
89	53	-4107.436
88	54	-9482.468
87	55	-10558.286
86	56	-15510.274
85	57	-17915.079
84	58	-24674.65
83	59	-26801.175
82	60	-33343.247
81	61	-33635.373
80	62	-38233.31
79	63	-38481.971
78	64	-43576.88
77	65	1010
76	66	-38982
75	67	1010
74	68	1010
91	52	-1743.15
90	53	-2737.86
89	54	-8087.297
88	55	-9228.323
87	56	-14496.192
86	57	-15001.636
85	58	-21622.154
84	59	-23618.662
83	60	-30620.864
82	61	-32512.342
81	62	-37664.703
80	63	-37280.71
79	64	-42702.097
78	65	-42492.242
77	66	-36672
76	67	1010
75	68	1010
91	53	-2094.62
90	54	-7246.635
89	55	-8467.277
88	56	-13639.598
87	57	-14276.583
86	58	-19312.924
85	59	-21463.22
84	60	-28197.553
83	61	-30171.484
82	62	-36814.799
81	63	-37274.676
80	64	-41975.623
79	65	-41977.099
78	66	1010
77	67	-36632
76	68	1010
75	69	1010
92	53	-699.5
91	54	-6019.281
90	55	-6967.872
89	56	-12434.111
88	57	-13127.031
87	58	-18064.259
86	59	-18523.417
85	60	-25057.755
84	61	-27129.103
83	62	-34557.636
82	63	-35646.706
81	64	-41229.398
80	65	-40815.621
79	66	-45899.493
78	67	-38702.93
77	68	1010
76	69	1010
92	54	-5109.899
91	55	-6583.95
90	56	-11359.503
89	57	-12322.925
88	58	-17285.49
87	59	-17491.795
86	60	-22849.645
85	61	-24864.2
84	62	-31052.546
83	63	-33884.188
82	64	-40049.413
81	65	-40652.962
80	66	-45468.038
79	67	-33496.206
78	68	-42893.57
77	69	1010
93	54	-4395.91
92	55	-5094.796
91	56	-10405.949
90	57	-11046.278
89	58	-16189.741
88	59	-16495.93
87	60	-21520.247
86	61	-21875.696
85	62	-28467.519
84	63	-30475.434
83	64	-37787.466
82	65	-38999.652
81	66	-44372.565
80	67	-37289.286
79	68	-38516.996
78	69	1010
94	54	-3676.82
93	55	-4954.635
92	56	-9852.21
91	57	-10548.805
90	58	-15754.75
89	59	-15893.611
88	60	-20922.535
87	61	-20995.558
86	62	-26221.367
85	63	-28084.977
84	64	-34953.931
83	65	-37061.494
82	66	-43619.569
81	67	1010
80	68	-41265.962
79	69	1010
78	70	1010
94	55	-3982.85
93	56	-9060.48
92	57	-9387.46
91	58	-14638.458
90	59	-14905.717
89	60	-19688.4
88	61	-19869.042
87	62	-24762.236
86	63	-25144.047
85	64	-32269.467
84	65	-33769.39
83	66	-41273.95
82	67	-42268.263
81	68	-37035
80	69	1010
79	70	1010
95	55	-3612.25
94	56	-9020.35
93	57	-9502.22
92	58	-14058.219
91	59	-15021.908
90	60	-19379.306
89	61	-19111.2
88	62	-24581.832
87	63	-24346.48
86	64	-29729.663
85	65	-31556.051
84	66	-38140.905
83	67	-40120.477
82	68	1010
81	69	-36546
80	70	1010
79	71	1010
96	55	-2428.52
95	56	-7864.39
94	57	-8536.32
93	58	-14188.56
92	59	-14143.277
91	60	-18952.734
90	61	-18888.6
89	62	-22866.374
88	63	-23181.861
87	64	-28589.798
86	65	-28572.492
85	66	-35590.313
84	67	-36998.598
83	68	-44066.567
82	69	-38495.411
81	70	1010
80	71	1010
96	56	-6902.91
95	57	-8110.75
94	58	-12838.76
93	59	-14479.304
92	60	-19001.626
91	61	-18935.354
90	62	-23277.437
89	63	-22703.551
88	64	-27791.05
87	65	-27848.466
86	66	-33378.919
85	67	-34760.08
84	68	-41530.362
83	69	-32176.892
82	70	-42598
81	71	1010
97	56	-5219.71
96	57	-6409.84
95	58	-11852
94	59	-12637.177
93	60	-18637.788
92	61	-18461.591
91	62	-22717.684
90	63	-22416.969
89	64	-26886.187
88	65	-26753.018
87	66	-31952.672
86	67	-31847.642
85	68	-38909.102
84	69	1010
83	70	-36834
82	71	1010
81	72	1010
97	57	-5270.45
96	58	-10650.02
95	59	-12155.07
94	60	-17015.67
93	61	-18766.72
92	62	-22623.855
91	63	-22495.934
90	64	-26830.021
89	65	-26384.433
88	66	-31446.457
87	67	-31083.02
86	68	-36339.984
85	69	-37751.118
84	70	-37147
83	71	1010
82	72	1010
98	57	-3972.62
97	58	-9019.32
96	59	-10034.575
95	60	-15930.034
94	61	-16958.718
93	62	-22131.574
92	63	-21910.476
91	64	-26370.094
90	65	-25924.89
89	66	-30555.293
88	67	-30351.485
87	68	-35268.311
86	69	-35261.149
85	70	1010
84	71	-36406
83	72	1010
82	73	1010
98	58	-8114.03
97	59	-9269.71
96	60	-14464.24
95	61	-16388.074
94	62	-20680.108
93	63	-21967.136
92	64	-26031.724
91	65	-25911.772
90	66	-30306.11
89	67	-29843.121
88	68	-35197.001
87	69	-34615.493
86	70	-39821.527
85	71	-30368.648
84	72	1010
83	73	1010
99	58	-6940.72
98	59	-7785.61
97	60	-13108.72
96	61	-14609.347
95	62	-19747.036
94	63	-20498.296
93	64	-25139.544
92	65	-25000.795
91	66	-29505.622
90	67	-29002.604
89	68	-33684.313
88	69	-33483.121
87	70	-38679.063
86	71	1010
85	72	-34917
84	73	1010
83	74	1010
99	59	-6642.98
98	60	-11901.38
97	61	-13806.507
96	62	-18086.184
95	63	-19917.363
94	64	-24168.582
93	65	-25069.951
92	66	-29108.795
91	67	-28774.685
90	68	-33444.365
89	69	-32858.381
88	70	-37996.932
87	71	-37543.659
86	72	-37021
85	73	1010
84	74	1010
100	59	-5797.85
99	60	-10511.88
98	61	-11962.546
97	62	-17025.111
96	63	-18194.09
95	64	-23154.222
94	65	-23578.307
93	66	-28416.85
92	67	-27981.73
91	68	-32534.245
90	69	-32109.079
89	70	-36873.685
88	71	-36811.846
87	72	1010
86	73	-36275
85	74	1010
84	75	1010
100	60	-9695.9
99	61	-11345.64
98	62	-15497.449
97	63	-17510.665
96	64	-21737.704
95	65	-23147.389
94	66	-27430.6
93	67	-27617.706
92	68	-32136.32
91	69	-31584.267
90	70	-36596.434
89	71	-36271.055
88	72	-41172.118
87	73	-31847.24
86	74	1010
85	75	1010
101	60	-8558.38
100	61	-9806.22
99	62	-14468.316
98	63	-15827.742
97	64	-21002.437
96	65	-21644.578
95	66	-26536.467
94	67	-26524.551
93	68	-31136.247
92	69	-30658.03
91	70	-35171.784
90	71	-35102.224
89	72	-40044.764
88	73	1010
87	74	-36167
86	75	1010
85	76	1010
101	61	-9123.9
100	62	-13476.92
99	63	-15093.29
98	64	-19502.281
97	65	-21350.089
96	66	-25590.474
95	67	-26177.905
94	68	-30514.548
93	69	-30379.2
92	70	-34849.359
91	71	-34559.121
90	72	-39119.547
89	73	-38901.025
88	74	-38163
87	75	1010
86	76	1010
102	61	-7825.59
101	62	-12062.44
100	63	-13547.5
99	64	-18403.495
98	65	-19587.588
97	66	-24648.365
96	67	-24863.709
95	68	-29441.47
94	69	-29197.317
93	70	-33705.262
92	71	-33597.985
91	72	-38282.146
90	73	-38075.357
89	74	-35614.329
88	75	-36696
87	76	1010
102	62	-11103.21
101	63	-12855.12
100	64	-16916.42
99	65	-18885.45
98	66	-23315.953
97	67	-24579.831
96	68	-28530.022
95	69	-28845.429
94	70	-33147.866
93	71	-33006.786
92	72	-37767.404
91	73	-37584.103
90	74	1010
89	75	-32939.331
88	76	1010
87	77	1010
103	62	-9872
102	63	-11230.96
101	64	-16022.82
100	65	-16978.2
99	66	-22473.028
98	67	-23223.451
97	68	-27806.651
96	69	-27660.798
95	70	-32282.73
94	71	-32025.534
93	72	-36435.456
92	73	-36475.886
91	74	-41174.391
90	75	-34716
89	76	1010
88	77	1010
103	63	-10340.5
102	64	-14839.1
101	65	-16535.95
100	66	-20775.758
99	67	-22642.856
98	68	-26814.537
97	69	-27307.748
96	70	-31417.034
95	71	-31443.668
94	72	-36040.048
93	73	-35725.527
92	74	-40289.819
91	75	1010
90	76	-39068
89	77	1010
88	78	1010
104	63	-8958.87
103	64	-13671.76
102	65	-14894.83
101	66	-19902.87
100	67	-20970.213
99	68	-26056.002
98	69	-26071.393
97	70	-30615.896
96	71	-30290.689
95	72	-34782.787
94	73	-34769.168
93	74	-39394
92	75	-39275
91	76	-36622.435
90	77	1010
89	78	1010
104	64	-12473.99
103	65	-14053.44
102	66	-18472.63
101	67	-20339.63
100	68	-24883.021
99	69	-25824.819
98	70	-29817.261
97	71	-30215.927
96	72	-34429.414
95	73	-34204.435
94	74	-38852.338
93	75	-38824.728
92	76	-36636.045
91	77	-35744.765
90	78	1010
105	64	-11176.2
104	65	-12543.43
103	66	-17492.79
102	67	-18516.486
101	68	-23609.251
100	69	-24255.02
99	70	-28986.45
98	71	-28855.161
97	72	-33194.059
96	73	-33141.143
95	74	-37649.842
94	75	-37575.644
93	76	1010
92	77	-35881
91	78	1010
90	79	1010
105	65	-11563.77
104	66	-16336.99
103	67	-17849.97
102	68	-22232.628
101	69	-23965.767
100	70	-27758.525
99	71	-28533.189
98	72	-32582.49
97	73	-32662.283
96	74	-36991.218
95	75	-36936.502
94	76	-41388
93	77	-33823.11
92	78	1010
91	79	1010
106	65	-10258.61
105	66	-15020.93
104	67	-16354
103	68	-21180.644
102	69	-22225.809
101	70	-27020.489
100	71	-27122.664
99	72	-31687.392
98	73	-31393.283
97	74	-35948.56
96	75	-35906.694
95	76	-40255.042
94	77	1010
93	78	-37716.288
92	79	1010
91	80	1010
106	66	-14147.74
105	67	-15537.08
104	68	-19809.877
103	69	-21794.989
102	70	-25772.803
101	71	-26709.33
100	72	-30754.548
99	73	-31193.861
98	74	-35355.812
97	75	-35441.355
96	76	-39898.63
95	77	-39685.459
94	78	-37488.779
93	79	1010
92	80	1010
107	66	-12512.87
106	67	-14140.37
105	68	-18801.38
104	69	-20169.931
103	70	-25002.764
102	71	-25295.382
101	72	-29933.016
100	73	-29718.945
99	74	-34579.988
98	75	-34310.262
97	76	-38682.978
96	77	-38612.995
95	78	-34929.134
94	79	-38614
93	80	1010
107	67	-12812.63
106	68	-17478.16
105	69	-19258.19
104	70	-23765.601
103	71	-24883.567
102	72	-28849.863
101	73	-29414.448
100	74	-33515.162
99	75	-34018.711
98	76	-38248.348
97	77	-37921.891
96	78	-37677
95	79	-34042.64
94	80	1010
108	67	-11514.36
107	68	-16206.51
106	69	-17610.49
105	70	-22695.832
104	71	-23375.422
103	72	-27916.464
102	73	-28005.312
101	74	-32818.588
100	75	-32445.815
99	76	-37230.51
98	77	-36991.693
97	78	-35076.32
96	79	-35978.017
95	80	1010
108	68	-15195.76
107	69	-16732.7
106	70	-21088.236
105	71	-22760.327
104	72	-26826.208
103	73	-27345.001
102	74	-31647.458
101	75	-32515.305
100	76	-36424.276
99	77	-36555.335
98	78	1010
97	79	-32191.794
96	80	1010
95	81	1010
109	68	-13761.9
108	69	-15290.75
107	70	-20382.836
106	71	-21176.031
105	72	-25894.63
104	73	-26149.495
103	74	-30815.345
102	75	-30814.643
101	76	-35917.196
100	77	-35570.504
99	78	-40074.849
98	79	-34432.793
97	80	1010
96	81	1010
109	69	-14394.75
108	70	-19407.277
107	71	-20682.944
106	72	-24670.6
105	73	-25767.45
104	74	-29764.906
103	75	-30396.287
102	76	-34679.542
101	77	-35065.781
100	78	-39283.291
99	79	1010
98	80	-38597
97	81	1010
96	82	1010
110	69	-12856.99
109	70	-18124.75
108	71	-19279.875
107	72	-23893.638
106	73	-24347.338
105	74	-29069.622
104	75	-29120.187
103	76	-33848.289
102	77	-33530.562
101	78	-38423.516
100	79	-37938.393
99	80	-35875.984
98	81	1010
97	82	1010
110	70	-17050.39
109	71	-18796.22
108	72	-22647.451
107	73	-24083.418
106	74	-28097.277
105	75	-28674.929
104	76	-32929.734
103	77	-33520.574
102	78	-37305.291
101	79	-37472.093
100	80	-36159.079
99	81	-35163.629
98	82	1010
111	70	-15746.88
110	71	-17160.902
109	72	-21943.078
108	73	-22546.175
107	74	-27376.686
106	75	-27654.495
105	76	-31961.5
104	77	-31828.408
103	78	-37136.207
102	79	-36348.766
101	80	-33677.426
100	81	-37709.706
99	82	1010
111	71	-16306.38
110	72	-20256.45
109	73	-22067.745
108	74	-26204.35
107	75	-27093.551
106	76	-31275.085
105	77	-31745.715
104	78	-35297.235
103	79	-35972.481
102	80	-36364.061
101	81	-32826.423
100	82	1010
112	71	-14644.278
111	72	-19421.93
110	73	-20311.58
109	74	-25211.82
108	75	-26079.329
107	76	-30294.722
106	77	-30270.704
105	78	-35394.268
104	79	-34487.499
103	80	-31915.418
102	81	-35899.241
101	82	1010
113	71	-13914.89
112	72	-17695.76
111	73	-19400.4
110	74	-23881.339
109	75	-25396.075
108	76	-29548.502
107	77	-30200.729
106	78	-33537.972
105	79	-34436.382
104	80	1010
103	81	-31737.298
102	82	1010
101	83	1010
114	71	-12498.03
113	72	-16835.534
112	73	-17796.39
111	74	-22517.392
110	75	-23721.831
109	76	-28368.589
108	77	-28604.034
107	78	-33597.619
106	79	-32765.91
105	80	-37225.919
104	81	-34505.145
103	82	1010
102	83	1010
114	72	-15904.635
113	73	-17308.73
112	74	-21339.246
111	75	-23064.289
110	76	-27453.52
109	77	-28413.205
108	78	-31888.462
107	79	-32720.823
106	80	-36770.277
105	81	1010
104	82	-36475.959
103	83	1010
102	84	1010
115	72	-14921.6
114	73	-15942.841
113	74	-20672.219
112	75	-21443.223
111	76	-26412.388
110	77	-26654.003
109	78	-31588.672
108	79	-31371.239
107	80	-35830.717
106	81	-36375.387
105	82	-35027.549
104	83	1010
103	84	1010
116	72	-14283.51
115	73	-15233.443
114	74	-19755.19
113	75	-21374.406
112	76	-25427.448
111	77	-26794.436
110	78	-30221.423
109	79	-30780.014
108	80	-35339.899
107	81	-35245.565
106	82	-35186.239
105	83	-33707.583
104	84	1010
117	72	-13438.16
116	73	-13986.4
115	74	-18718.268
114	75	-19630.086
113	76	-24958.169
112	77	-25400.588
111	78	-29937.321
110	79	-29741.4
109	80	-34277.234
108	81	-34706.826
107	82	-32392.438
106	83	-35874.846
105	84	1010
117	73	-13777.95
116	74	-17874.883
115	75	-19549.49
114	76	-23873.29
113	77	-24884.504
112	78	-29039.04
111	79	-29424.258
110	80	-33782.46
109	81	-33920.25
108	82	-35424.459
107	83	-31063.787
106	84	1010
118	73	-12776.01
117	74	-17364.619
116	75	-17953.754
115	76	-23082.013
114	77	-23662.104
113	78	-28237.135
112	79	-28218.15
111	80	-32845.469
110	81	-33123.613
109	82	1010
108	83	-32697.377
107	84	1010
106	85	1010
119	73	-12476.4
118	74	-16355.6
117	75	-17684.06
116	76	-22306.97
115	77	-23144.521
114	78	-27212.281
113	79	-27949.274
112	80	-32141.883
111	81	-32671.482
110	82	-37108.39
109	83	-29823.332
108	84	1010
107	85	1010
119	74	-15848.93
118	75	-16241.97
117	76	-21529.255
116	77	-22102.598
115	78	-26489.471
114	79	-26656.031
113	80	-31331.297
112	81	-31744.382
111	82	-36172.108
110	83	1010
109	84	-34676.917
108	85	1010
107	86	1010
120	74	-15146.79
119	75	-15848.07
118	76	-20620.72
117	77	-21576.658
116	78	-25660.969
115	79	-26428.98
114	80	-30689.334
113	81	-31231.058
112	82	-35529.24
111	83	-35499.46
110	84	-36496.004
109	85	1010
108	86	1010
120	75	-14430.24
119	76	-19543.549
118	77	-20242.272
117	78	-24821.914
116	79	-25226.261
115	80	-29726.039
114	81	-30230.973
113	82	-34818.531
112	83	-34553.169
111	84	-32171.019
110	85	-35499.903
109	86	1010
121	75	-14169.17
120	76	-18529.404
119	77	-19716.444
118	78	-23989.217
117	79	-24817.464
116	80	-29086.704
115	81	-29924.653
114	82	-33975.728
113	83	-34297.615
112	84	-34944.636
111	85	-30879.729
110	86	1010
122	75	-12979.35
121	76	-17829.46
120	77	-18397.725
119	78	-22909.709
118	79	-23743.379
117	80	-28277.901
116	81	-28716.246
115	82	-33368.716
114	83	-33334.964
113	84	-30733.878
112	85	-34137.125
111	86	1010
123	75	-12559.05
122	76	-17054.34
121	77	-17801.54
120	78	-22134.684
119	79	-23270.568
118	80	-27354.66
117	81	-28463.018
116	82	-32631.693
115	83	-32807.323
114	84	-32421
113	85	-31486.03
112	86	1010
123	76	-15944.31
122	77	-16783.743
121	78	-21027.89
120	79	-21949.452
119	80	-26848.436
118	81	-27265.698
117	82	-31860.279
116	83	-31922.823
115	84	1010
114	85	-32809.134
113	86	1010
112	87	1010
124	76	-15316.55
123	77	-15876.32
122	78	-20220.958
121	79	-21518.144
120	80	-25795.92
119	81	-26951.749
118	82	-31259.527
117	83	-31626.207
116	84	-35073.177
115	85	-28432.243
114	86	1010
113	87	1010
125	76	-14214.02
124	77	-14879.6
123	78	-18991.27
122	79	-20077.306
121	80	-24861.263
120	81	-25731.775
119	82	-30477.28
118	83	-30472.765
117	84	-34448.516
116	85	1010
115	86	-32896.451
114	87	1010
113	88	1010
126	76	-13642.41
125	77	-14072
124	78	-18473.366
123	79	-19744.163
122	80	-23838.008
121	81	-25349.068
120	82	-29584.936
119	83	-30202.208
118	84	-33659.791
117	85	-33540.1
116	86	-34536
115	87	1010
114	88	1010
126	77	-13085.61
125	78	-17213.99
124	79	-18540.495
123	80	-23087.274
122	81	-24102.03
121	82	-29157.019
120	83	-29098.297
119	84	-32951.034
118	85	-32728.257
117	86	-28972.623
116	87	-33474.592
115	88	1010
127	77	-10630.73
126	78	-16368.09
125	79	-17842.02
124	80	-22039.078
123	81	-23649.39
122	82	-28295.445
121	83	-28759.094
120	84	-32232.839
119	85	-32434.836
118	86	-30333.365
117	87	-30817.385
116	88	1010
127	78	-13512.05
126	79	-16374.97
125	80	-21159.159
124	81	-22416.702
123	82	-27554.259
122	83	-27698.221
121	84	-31477.836
120	85	-31233.231
119	86	-29469.768
118	87	-29635.325
117	88	1010
128	78	-11627.81
127	79	-13753.3
126	80	-19777.137
125	81	-22036.581
124	82	-26812.176
123	83	-27302.447
122	84	-30459.554
121	85	-30932.98
120	86	1010
119	87	-28094.259
118	88	1010
117	89	1010
128	79	-11398.39
127	80	-16907.401
126	81	-20434.579
125	82	-26399.24
124	83	-26278.173
123	84	-29990.845
122	85	-29753.922
121	86	-33854.536
120	87	-28192.801
119	88	1010
118	89	1010
129	79	-8666.71
128	80	-14042.114
127	81	-17501.938
126	82	-25176.993
125	83	-25915.819
124	84	-29075.594
123	85	-29392.092
122	86	-33013.654
121	87	1010
120	88	-32327.14
119	89	1010
118	90	1010
130	79	-6060.37
129	80	-11213.67
128	81	-14296.522
127	82	-22186.692
126	83	-24600.4
125	84	-28454.759
124	85	-28322.496
123	86	-32213.259
122	87	-31658.014
121	88	-28708.636
120	89	1010
119	90	1010
131	79	-5734.18
130	80	-9363.12
129	81	-11299.047
128	82	-19161.514
127	83	-22211.982
126	84	-27261.569
125	85	-27924.161
124	86	-31207.371
123	87	-31738.6
122	88	-29771.45
121	89	-28930.282
120	90	1010
131	80	-8266.97
130	81	-9157.258
129	82	-16122.271
128	83	-18857.013
127	84	-24571.027
126	85	-26560.25
125	86	-30788.412
124	87	-30360.791
123	88	-28844.924
122	89	-29021.202
121	90	1010
132	80	-8470.17
131	81	-8974.12
130	82	-13950.687
129	83	-16282.504
128	84	-21987.302
127	85	-24267.895
126	86	-29464.981
125	87	-29998.889
124	88	1010
123	89	-26086.345
122	90	1010
121	91	1010
133	80	-7583.4
132	81	-8222.886
131	82	-13508.807
130	83	-14050.746
129	84	-19257.098
128	85	-21481.498
127	86	-26893.685
126	87	-28578.504
125	88	-33008.559
124	89	-28453.081
123	90	1010
122	91	1010
134	80	-7454.87
133	81	-8019.02
132	82	-13077.954
131	83	-13666.239
130	84	-17461.274
129	85	-19199.15
128	86	-24729.281
127	87	-26379.163
126	88	-31576.675
125	89	-24836.968
124	90	-31668.752
123	91	1010
135	80	-6940.91
134	81	-7171.84
133	82	-12442.56
132	83	-12761.1
131	84	-16898.298
130	85	-17329.777
129	86	-22243.026
128	87	-24044.235
127	88	-29452.823
126	89	-26649.678
125	90	-28149.207
124	91	1010
136	80	-6593.91
135	81	-6991.2
134	82	-12021.74
133	83	-12448.933
132	84	-16397.653
131	85	-16879.738
130	86	-20888.985
129	87	-21958.462
128	88	-27436.059
127	89	-23186.463
126	90	-28640.474
125	91	1010
136	81	-6215.97
135	82	-11484.17
134	83	-11538.176
133	84	-15730.15
132	85	-16053.467
131	86	-20314.188
130	87	-20513.536
129	88	-25087.073
128	89	1010
127	90	-25086.287
126	91	1010
125	92	1010
137	81	-6128.84
136	82	-10931.75
135	83	-11222.978
134	84	-15368.148
133	85	-15604.371
132	86	-19827.086
131	87	-20297.145
130	88	-24092.524
129	89	-24728.124
128	90	-24821.654
127	91	1010
126	92	1010
137	82	-10367.21
136	83	-10203.86
135	84	-14369.415
134	85	-14732.565
133	86	-18972.281
132	87	-19376.847
131	88	-23667.108
130	89	-23487.675
129	90	1010
128	91	-25255.056
127	92	1010
126	93	1010
138	82	-9782.76
137	83	-9971.63
136	84	-14184.976
135	85	-14180.077
134	86	-18485.627
133	87	-19185.993
132	88	-23109.214
131	89	-23189.398
130	90	-27195
129	91	-22628
128	92	1010
127	93	1010
138	83	-8938.43
137	84	-13041.973
136	85	-13568.426
135	86	-17580.436
134	87	-18060.876
133	88	-22661.237
132	89	-22614.242
131	90	-26281.763
130	91	-22551
129	92	-26294.81
128	93	1010
139	83	-8904.81
138	84	-13032.271
137	85	-12517.155
136	86	-17224.811
135	87	-17869.755
134	88	-21858.111
133	89	-22523.188
132	90	-26056
131	91	-21527
130	92	-25711
129	93	1010
140	83	-7835.61
139	84	-11883.46
138	85	-12345.413
137	86	-15897.869
136	87	-16611.41
135	88	-21336.289
134	89	-21708.29
133	90	-25622.895
132	91	-21746.855
131	92	-25389
130	93	1010
141	83	-7878.96
140	84	-11845.85
139	85	-11284.453
138	86	-15710.319
137	87	-16132.601
136	88	-20466.749
135	89	-21307.117
134	90	-25098.71
133	91	-19952.39
132	92	-26836
131	93	1010
141	84	-11085.61
140	85	-11041.57
139	86	-14660.188
138	87	-15311.353
137	88	-19568.121
136	89	-20297.647
135	90	-24512.117
134	91	-22693.638
133	92	-23215.926
132	93	1010
142	84	-10656.57
141	85	-10369.59
140	86	-14589.959
139	87	-14613.929
138	88	-19086.777
137	89	-19946.085
136	90	-23689.939
135	91	-19162.205
134	92	-25891
133	93	1010
143	84	-10183.09
142	85	-9755.37
141	86	-13608.318
140	87	-13913.506
139	88	-17874.548
138	89	-18980.266
137	90	-22963.191
136	91	-20558.485
135	92	-24421.769
134	93	1010
143	85	-9513.94
142	86	-13465.738
141	87	-13548.454
140	88	-17489.809
139	89	-18314.907
138	90	-22441.384
137	91	1010
136	92	-24629.713
135	93	1010
134	94	1010
144	85	-8670.08
143	86	-12735.507
142	87	-12904.591
141	88	-16542.59
140	89	-17333.519
139	90	-21275.426
138	91	-22023.456
137	92	-22880.09
136	93	1010
135	94	1010
144	86	-12395.27
143	87	-12368.102
142	88	-16317.636
141	89	-16743.791
140	90	-20817.494
139	91	-21721.058
138	92	1010
137	93	-20650.235
136	94	1010
135	95	1010
145	86	-11510.44
144	87	-11744.76
143	88	-15444.494
142	89	-15845.365
141	90	-19905.953
140	91	-20647.086
139	92	-24679.954
138	93	-22060.844
137	94	1010
136	95	1010
145	87	-11113.14
144	88	-15033.365
143	89	-15120.424
142	90	-19204.7
141	91	-19803.597
140	92	-24010
139	93	1010
138	94	-25736
137	95	1010
136	96	1010
146	87	-10112.16
145	88	-14112.375
144	89	-14414.08
143	90	-18316.954
142	91	-18842.488
141	92	-22923.713
140	93	-23661.458
139	94	-24029.39
138	95	1010
137	96	1010
146	88	-13624.779
145	89	-13594.9
144	90	-17540.792
143	91	-18186.677
142	92	-22229.846
141	93	-23188.463
140	94	1010
139	95	-21846
138	96	1010
137	97	1010
147	88	-12369.29
146	89	-12816.614
145	90	-16598.047
144	91	-17011.358
143	92	-21077.97
142	93	-21934.875
141	94	-25933.414
140	95	-23015.48
139	96	1010
138	97	1010
147	89	-12081.555
146	90	-15964.552
