N	Z	P1n	P2n	P3n
85	38	99.51	0	0
86	38	0	100	0
87	38	100	0	0
88	38	0	100	0
89	38	100	0	0
90	38	100	0	0
91	38	99.75	0	0
92	38	0	100	0
93	38	99.87	0	0
50	39	0	0	0
51	39	0	0	0
52	39	0	0	0
53	39	0	0	0
54	39	0	0	0
55	39	0	0	0
56	39	0	0	0
57	39	0	0	0
58	39	0.02	0	0
59	39	1.24	0	0
60	39	0.57	0	0
61	39	0.4	0	0
62	39	1.52	0	0
63	39	1.27	0	0
64	39	3.91	0	0
65	39	3.8	0	0
66	39	16.53	0	0
67	39	16.91	0.55	0
68	39	35.4	0.12	0
69	39	34.78	2.38	0
70	39	55.07	1.8	0
71	39	52.34	10.47	0.09
72	39	57.93	7.6	1.39
73	39	17.41	51.46	4.1
74	39	53	35.37	9.07
75	39	27.32	60.26	6.12
76	39	70.72	20.71	7.6
77	39	33.58	59.36	5.65
78	39	48.7	41.27	9.08
79	39	21.93	66.44	10.49
80	39	31.11	37.16	30.88
81	39	0.84	68.15	29.76
82	39	14.79	63.48	20.37
83	39	1.42	71.27	26.42
84	39	2.84	4.34	92.82
85	39	99.65	0	0
86	39	0.18	99.82	0
87	39	99.62	0	0
88	39	0	100	0
89	39	100	0	0
90	39	100	0	0
91	39	99.83	0	0
92	39	0	100	0
93	39	99.78	0	0
94	39	0	100	0
95	39	99.89	0	0
50	40	0	0	0
51	40	0	0	0
52	40	0	0	0
53	40	0	0	0
54	40	0	0	0
55	40	0	0	0
56	40	0	0	0
57	40	0	0	0
58	40	0	0	0
59	40	0	0	0
60	40	0	0	0
61	40	0	0	0
62	40	0	0	0
63	40	0	0	0
64	40	0.03	0	0
65	40	0.03	0	0
66	40	0.63	0	0
67	40	1.49	0	0
68	40	1.96	0	0
69	40	4.67	0	0
70	40	7.17	0	0
71	40	14.7	1.01	0
72	40	26.32	0.47	0
73	40	64.85	8.46	0.02
74	40	45.56	2.34	0.07
75	40	55.06	4.73	0.29
76	40	54.84	2.04	0.1
77	40	69.12	6.75	0.33
78	40	70.28	4.34	0.83
79	40	73.39	12.05	2.4
80	40	79.99	6.24	3.82
81	40	75.71	19.37	3.12
82	40	29.99	5.13	4.21
83	40	76.75	11.6	10.21
84	40	5.64	74.71	19.65
85	40	0.47	3.95	94.72
86	40	1.62	0.14	98.24
87	40	99.52	0	0
88	40	0	100	0
89	40	99.79	0	0
90	40	0	100	0
91	40	99.48	0	0
92	40	0.77	99.23	0
93	40	99.63	0	0
94	40	0	100	0
95	40	99.67	0	0
96	40	0	100	0
97	40	99.76	0	0
51	41	0	0	0
52	41	0	0	0
53	41	0	0	0
54	41	0	0	0
55	41	0	0	0
56	41	0	0	0
57	41	0	0	0
58	41	0	0	0
59	41	0	0	0
60	41	0	0	0
61	41	0	0	0
62	41	0	0	0
63	41	0	0	0
64	41	0.24	0	0
65	41	0.2	0	0
66	41	3.12	0	0
67	41	16.58	0	0
68	41	16.35	0	0
69	41	19.57	0.04	0
70	41	55.63	0	0
71	41	61.19	1.72	0
72	41	86.54	2.14	0
73	41	38.3	12.45	0.01
74	41	56.92	1.29	0.09
75	41	46.44	9.97	0.03
76	41	62.23	3.16	0.27
77	41	48.96	23.18	0.42
78	41	80.49	7.14	1.29
79	41	46.36	40.42	2.14
80	41	73.17	20.35	4.73
81	41	28.43	54.51	2.58
82	41	54.48	8.32	5.36
83	41	34.03	55.04	9.34
84	41	4.23	34.53	61.06
85	41	0	4.14	95.51
86	41	1.24	0.04	98.72
87	41	99.8	0	0
88	41	0	100	0
89	41	99.77	0	0
90	41	0.33	99.67	0
91	41	99.79	0	0
92	41	0.58	99.42	0
93	41	99.83	0	0
94	41	0.5	99.5	0
95	41	99.84	0	0
96	41	0	100	0
97	41	99.87	0	0
98	41	0	100	0
99	41	99.87	0	0
50	42	0	0	0
52	42	0	0	0
53	42	0	0	0
54	42	0	0	0
55	42	0	0	0
56	42	0	0	0
57	42	0	0	0
58	42	0	0	0
59	42	0	0	0
60	42	0	0	0
61	42	0	0	0
62	42	0	0	0
63	42	0	0	0
64	42	0	0	0
65	42	0	0	0
66	42	0	0	0
67	42	0	0	0
68	42	0	0	0
69	42	0.03	0	0
70	42	0.31	0	0
71	42	3.36	0	0
72	42	4.42	0	0
73	42	6.16	0.02	0
74	42	7.76	0	0
75	42	16.81	0.32	0
76	42	12.65	0.05	0
77	42	29.15	1.34	0
78	42	32.47	0.61	0
79	42	47.49	4.39	0
80	42	57.86	3.01	0.03
81	42	75.37	5.98	0.01
82	42	14.01	3.2	0.01
83	42	82.73	10.39	0.56
84	42	11.21	78.48	8.17
85	42	0.8	7.69	89.62
86	42	4.89	1.34	93.38
87	42	0.09	1.14	98.13
88	42	0.23	0.45	99.32
89	42	99.27	0	0
90	42	1.24	98.76	0
91	42	98.45	0	0
92	42	2.1	97.9	0
93	42	0.02	2.17	97.25
94	42	1.29	0.09	98.62
95	42	99.51	0	0
96	42	0.8	99.2	0
97	42	99.52	0	0
98	42	0.29	99.71	0
99	42	99.72	0	0
100	42	0	100	0
101	42	99.71	0	0
102	42	0	100	0
53	43	0	0	0
55	43	0	0	0
56	43	0	0	0
57	43	0	0	0
58	43	0	0	0
59	43	0	0	0
60	43	0	0	0
61	43	0	0	0
62	43	0	0	0
63	43	0	0	0
64	43	0	0	0
65	43	0	0	0
66	43	0.01	0	0
67	43	0.08	0	0
68	43	0.42	0	0
69	43	0.88	0	0
70	43	4.86	0	0
71	43	8.31	0	0
72	43	20.66	0	0
73	43	17.25	0.07	0
74	43	25.15	0	0
75	43	25.59	0.73	0
76	43	31.98	0.12	0
77	43	31.1	2.47	0
78	43	44.79	0.92	0
79	43	41.47	6.73	0
80	43	64.33	4.33	0.19
81	43	32.34	9.5	0.04
82	43	42.99	2.99	0.17
83	43	45.36	23.16	2.12
84	43	34.46	46.12	18.2
85	43	1.15	41.24	56.99
86	43	1.5	1.3	96.84
87	43	0.01	1.98	97.69
88	43	1.07	0.22	98.71
89	43	99.71	0	0
90	43	0.7	99.3	0
91	43	99.77	0	0
92	43	0.81	99.19	0
93	43	0	0.82	98.98
94	43	0.8	0	99.2
95	43	99.78	0	0
96	43	0.72	99.28	0
97	43	99.79	0	0
98	43	0.59	99.41	0
99	43	99.85	0	0
100	43	0.44	99.56	0
101	43	99.86	0	0
102	43	0.26	99.74	0
103	43	99.76	0	0
104	43	0	100	0
52	44	0	0	0
54	44	0	0	0
55	44	0	0	0
56	44	0	0	0
57	44	0	0	0
58	44	0	0	0
59	44	0	0	0
60	44	0	0	0
61	44	0	0	0
62	44	0	0	0
63	44	0	0	0
64	44	0	0	0
65	44	0	0	0
66	44	0	0	0
67	44	0	0	0
68	44	0	0	0
69	44	0	0	0
70	44	0.01	0	0
71	44	1.19	0	0
72	44	0	0	0
73	44	0.42	0	0
74	44	1.2	0	0
75	44	2.85	0	0
76	44	3.37	0	0
77	44	7.12	0	0
78	44	8.48	0	0
79	44	16.29	0.21	0
80	44	15.83	0	0
81	44	15.34	0.33	0
82	44	16.97	0.01	0
83	44	52.26	7.16	0
84	44	67.2	25.65	2.16
85	44	3.96	69.51	22.52
86	44	7.91	3.18	84.79
87	44	0.23	23.21	75.79
88	44	2.6	1.15	96.25
89	44	0	1.47	96.25
90	44	2.65	0	96.93
91	44	0.06	2.61	95.65
92	44	2.89	2.08	94.44
93	44	2.19	8.06	89.08
94	44	3.46	1.48	94.54
95	44	0.07	3.01	96.34
96	44	2.14	0.41	97.28
97	44	0.01	1.64	97.81
98	44	1.98	0.11	97.91
99	44	99.49	0	0
100	44	1.26	98.74	0
101	44	99.59	0	0
102	44	0.89	99.11	0
103	44	99.46	0	0
104	44	0	100	0
105	44	100	0	0
106	44	0	100	0
57	45	0	0	0
58	45	0	0	0
59	45	0	0	0
60	45	0	0	0
61	45	0	0	0
62	45	0	0	0
63	45	0	0	0
64	45	0	0	0
65	45	0	0	0
66	45	0	0	0
67	45	0	0	0
68	45	0	0	0
69	45	0	0	0
70	45	0.02	0	0
71	45	0	0	0
72	45	1.28	0	0
73	45	1.05	0	0
74	45	3.77	0	0
75	45	4.02	0	0
76	45	8.61	0	0
77	45	9.2	0.01	0
78	45	16.61	0	0
79	45	16.75	0.4	0
80	45	23.4	0.04	0
81	45	22.98	0.43	0
82	45	25.97	0.26	0
83	45	61.95	11.34	0.01
84	45	70.6	24.26	2.98
85	45	1.86	69.18	26.43
86	45	3.54	13.69	81.64
87	45	0.64	11.83	87.08
88	45	1.32	1	97.68
89	45	99.69	0	0
90	45	1.18	98.68	0
91	45	0.25	2.31	96.92
92	45	1.51	0.22	97.95
93	45	0.23	4.03	95.29
94	45	1.39	0.36	97.64
95	45	0.26	1.75	97.68
96	45	1.38	0.28	98.34
97	45	0	2.42	97.41
98	45	2.1	0.02	97.87
99	45	99.83	0	0
100	45	1.88	98.12	0
101	45	99.84	0	0
102	45	0.92	99.08	0
103	45	99.87	0	0
104	45	0.34	99.66	0
105	45	99.89	0	0
106	45	0	100	0
107	45	99.89	0	0
108	45	0	100	0
56	46	0	0	0
58	46	0	0	0
59	46	0	0	0
60	46	0	0	0
61	46	0	0	0
62	46	0	0	0
63	46	0	0	0
64	46	0	0	0
65	46	0	0	0
66	46	0	0	0
67	46	0	0	0
68	46	0	0	0
69	46	0	0	0
70	46	0	0	0
71	46	0	0	0
72	46	0	0	0
73	46	0	0	0
74	46	0	0	0
75	46	0	0	0
76	46	0.06	0	0
77	46	0.35	0	0
78	46	0.77	0	0
79	46	2.91	0	0
80	46	3.98	0	0
81	46	8.15	0	0
82	46	6.7	0	0
83	46	75.84	2.35	0
84	46	75.86	9.59	0
85	46	10.07	73.2	4.62
86	46	15.15	30.3	44.51
87	46	23.34	51.26	24.09
88	46	5.12	14.92	79.96
89	46	98.78	0	0
90	46	9.72	88.79	0
91	46	0.71	23.61	73.14
92	46	17.21	7.25	74.49
93	46	4.21	28.62	63
94	46	14.22	8.87	75.04
95	46	1.49	20.81	76.18
96	46	7.6	9.9	81.56
97	46	0.98	12.5	85.9
98	46	5.14	3.26	90.91
99	46	2.73	6.02	90.61
100	46	3.48	2.56	93.48
101	46	0.06	2.85	96.59
102	46	2.02	0.35	97.62
103	46	0	1.74	97.74
104	46	1.42	0.08	98.5
105	46	99.72	0	0
106	46	0.3	99.7	0
107	46	98.72	0	0
108	46	0	100	0
109	46	99.12	0	0
110	46	0	100	0
59	47	0	0	0
60	47	0	0	0
61	47	0	0	0
62	47	0	0	0
63	47	0	0	0
64	47	0	0	0
65	47	0	0	0
66	47	0	0	0
67	47	0	0	0
68	47	0	0	0
69	47	0	0	0
70	47	0	0	0
71	47	0	0	0
72	47	0	0	0
73	47	0	0	0
74	47	0.05	0	0
75	47	0.22	0	0
76	47	0.76	0	0
77	47	1.26	0	0
78	47	4.1	0	0
79	47	3.99	0	0
80	47	6.91	0	0
81	47	7.14	0.01	0
82	47	9.84	0	0
83	47	64.35	2.54	0
84	47	85.27	11.28	0.02
85	47	3.27	88.08	4.03
86	47	8.36	69.36	19.39
87	47	0.49	74.09	24.43
88	47	3.39	22.13	73.54
89	47	0.39	46.22	52.74
90	47	1.85	1.66	96.49
91	47	99.06	0	0
92	47	3.98	95.18	0
93	47	0.11	13.69	83.66
94	47	3.36	0.27	93.38
95	47	1.2	8.75	87.37
96	47	3.64	3.54	91.59
97	47	0.54	7.35	91.5
98	47	1.63	1.08	96.71
99	47	0.31	6.21	92.86
100	47	1.23	0.53	97.74
101	47	0.18	0.94	98.62
102	47	0.8	0.23	98.88
103	47	0	1.86	97.99
104	47	1.38	0.04	98.58
105	47	99.88	0	0
106	47	1.08	98.92	0
107	47	99.16	0	0
108	47	1.27	98.73	0
109	47	99.48	0	0
110	47	2	98	0
111	47	99.6	0	0
112	47	2.07	97.93	0
113	47	99.9	0	0
58	48	0	0	0
60	48	0	0	0
62	48	0	0	0
63	48	0	0	0
64	48	0	0	0
65	48	0	0	0
66	48	0	0	0
67	48	0	0	0
68	48	0	0	0
69	48	0	0	0
70	48	0	0	0
71	48	0	0	0
72	48	0	0	0
73	48	0	0	0
74	48	0	0	0
75	48	0	0	0
76	48	0	0	0
77	48	0	0	0
78	48	0	0	0
79	48	0.16	0	0
80	48	0.65	0	0
81	48	0.72	0	0
82	48	2.72	0	0
83	48	39.81	0	0
84	48	64.31	0.23	0
85	48	21.05	50.33	0
86	48	31.28	43.43	3.67
87	48	14.13	42.3	23.53
88	48	21.42	35.37	29.28
89	48	40.83	43.8	9.21
90	48	33.84	42.05	22.35
91	48	5.28	59.44	31.52
92	48	42.08	17.28	38.99
93	48	11.25	48.27	36.79
94	48	29.66	17.64	48.87
95	48	10.94	36.99	49.32
96	48	31.79	32.24	34.39
97	48	8.23	43.92	44.66
98	48	21.72	18.09	58.87
99	48	2.49	26.25	65.05
100	48	13.02	13.99	71.75
101	48	2.79	19.4	76.4
102	48	7.77	7.33	83.99
103	48	1.11	11.46	86.86
104	48	2.12	4.9	92.67
105	48	0.08	2.14	97.38
106	48	1.54	0.26	98.2
107	48	0.01	0.64	98.96
108	48	1.32	0.07	98.61
109	48	99.36	0	0
110	48	1.23	98.77	0
111	48	99.45	0	0
112	48	1.03	98.97	0
113	48	99.73	0	0
114	48	0.13	99.87	0
115	48	99.7	0	0
63	49	0	0	0
64	49	0	0	0
65	49	0	0	0
66	49	0	0	0
67	49	0	0	0
68	49	0	0	0
69	49	0	0	0
70	49	0	0	0
71	49	0	0	0
72	49	0	0	0
73	49	0	0	0
74	49	0	0	0
75	49	0	0	0
76	49	0	0	0
77	49	0	0	0
78	49	0.02	0	0
79	49	0.05	0	0
80	49	0.86	0	0
81	49	1.19	0	0
82	49	4.3	0	0
83	49	10.61	0.01	0
84	49	92.69	0.21	0
85	49	6.47	86.67	0.02
86	49	23.51	64.26	7.39
87	49	4.36	76.97	12.08
88	49	14.92	67.39	14.33
89	49	1.24	84.67	12.08
90	49	11.41	69.62	17.88
91	49	0.65	79.18	18.85
92	49	9.2	24.77	62.97
93	49	2.22	51.95	43.95
94	49	3.84	6.1	89.52
95	49	0.31	31.3	66.86
96	49	9.22	7.06	82.95
97	49	1.13	41.93	56.09
98	49	5.36	11.18	82.75
99	49	2.87	16.04	80.39
100	49	2.99	7.26	89.07
101	49	0.71	10.89	87.84
102	49	2.09	3.55	93.46
103	49	0.75	3.27	95.29
104	49	1.78	0.88	97.05
105	49	0.1	2.07	97.68
106	49	1.52	0.2	98.28
107	49	0	1.45	98.4
108	49	1.27	0	98.73
109	49	99.86	0	0
110	49	0.74	99.26	0
111	49	99.89	0	0
112	49	0.51	99.49	0
113	49	99.89	0	0
114	49	0.51	99.49	0
115	49	99.88	0	0
116	49	0.34	99.66	0
117	49	99.9	0	0
62	50	0	0	0
64	50	0	0	0
65	50	0	0	0
66	50	0	0	0
67	50	0	0	0
68	50	0	0	0
69	50	0	0	0
70	50	0	0	0
71	50	0	0	0
72	50	0	0	0
73	50	0	0	0
74	50	0	0	0
75	50	0	0	0
76	50	0	0	0
77	50	0	0	0
78	50	0	0	0
79	50	0	0	0
80	50	0	0	0
81	50	0	0	0
82	50	0	0	0
83	50	0.02	0	0
84	50	57.91	0	0
85	50	51.74	5.47	0
86	50	64.42	1	0
87	50	49.49	23.32	0
88	50	83.3	3.94	0.01
89	50	48.84	31.96	0.45
90	50	88.07	3.55	0.63
91	50	33.88	6.68	0.4
92	50	91.65	4.22	1.46
93	50	20.25	35.27	3.24
94	50	76.87	5.78	4.6
95	50	42.24	36.01	3.66
96	50	72.22	11.51	5.83
97	50	35.25	43.74	6.39
98	50	57.61	26.65	9.47
99	50	12.72	64.54	12.25
100	50	41.9	37.71	15.56
101	50	10.27	60.62	25.61
102	50	27.46	32.42	35.97
103	50	7.85	35.11	53.33
104	50	15.71	17.25	66.04
105	50	2.17	21.88	75.47
106	50	6.55	6.59	86.08
107	50	0.23	5.06	94.2
108	50	2.11	3.38	93.96
109	50	1.68	1.88	95.78
110	50	2.04	0.96	96.48
111	50	0.04	1.54	98.02
112	50	1.39	0.32	98.29
113	50	0.01	1.81	97.76
114	50	1.22	0.08	98.69
115	50	0	0.55	99.1
116	50	0.93	0	99.07
117	50	99.71	0	0
118	50	0.92	99.08	0
119	50	99.78	0	0
69	51	0	0	0
70	51	0	0	0
71	51	0	0	0
72	51	0	0	0
73	51	0	0	0
74	51	0	0	0
75	51	0	0	0
76	51	0	0	0
77	51	0	0	0
78	51	0	0	0
79	51	0	0	0
80	51	0	0	0
81	51	0	0	0
82	51	0	0	0
83	51	0.14	0	0
84	51	31.71	0	0
85	51	33.5	6.19	0
86	51	56.36	0.52	0
87	51	37.32	30.48	0
88	51	76.89	9.96	0.02
89	51	10.79	66.93	0.92
90	51	92.69	3.25	0.76
91	51	39.7	51.34	1.4
92	51	89.47	6.9	1.89
93	51	47.1	38.63	1.34
94	51	79.33	15.82	3.48
95	51	22	72.18	3.17
96	51	61.45	30.32	7.07
97	51	5.42	83.11	9.63
98	51	39.22	42.72	17.15
99	51	3.8	67.05	24.25
100	51	17.08	41.53	40.62
101	51	3.12	52.41	43.33
102	51	8.35	27.65	63.3
103	51	2.12	26.22	70.3
104	51	6.29	9.07	83.84
105	51	0.91	12.54	86.15
106	51	1.49	2.9	95.17
107	51	0.58	1.58	97.56
108	51	1.32	0.64	97.78
109	51	0.16	3.18	96.49
110	51	1.06	0.35	98.34
111	51	0.11	1.95	97.81
112	51	0.75	0.17	98.95
113	51	0.03	1.18	98.67
114	51	0.67	0.1	99.23
115	51	99.89	0	0
116	51	0.53	99.47	0
117	51	99.9	0	0
118	51	0.37	99.57	0
119	51	0	0.51	99.4
120	51	0.29	0.03	99.68
121	51	99.92	0	0
68	52	0	0	0
70	52	0	0	0
71	52	0	0	0
72	52	0	0	0
73	52	0	0	0
74	52	0	0	0
75	52	0	0	0
76	52	0	0	0
77	52	0	0	0
78	52	0	0	0
79	52	0	0	0
80	52	0	0	0
81	52	0	0	0
82	52	0	0	0
83	52	0	0	0
84	52	2.43	0	0
85	52	5.08	0	0
86	52	1.5	0	0
87	52	26.62	0	0
88	52	10.43	0	0
89	52	36.18	1.04	0
90	52	12.75	0	0
91	52	17.56	1.26	0
92	52	25.94	0.08	0
93	52	21.03	2.03	0
94	52	35.52	0.65	0
95	52	36.62	4.34	0.01
96	52	49.82	2.36	0.07
97	52	61.94	14.57	0.45
98	52	80.83	4.33	0.77
99	52	43.74	32.96	2.07
100	52	76.08	7.27	3.17
101	52	33.81	46.72	4.11
102	52	68.19	19.16	5.42
103	52	21.25	59.99	7.27
104	52	39.77	40.9	9.79
105	52	15.28	60.73	21.58
106	52	19.88	39.29	39.69
107	52	2.78	23.65	72.79
108	52	12.42	11.54	74.98
109	52	0.98	14.18	82.23
110	52	7.17	8.34	83.51
111	52	0.87	8.15	88.02
112	52	3.69	4.18	91.43
113	52	1.51	3.35	94.69
114	52	2.48	1.22	95.77
115	52	0.13	2.45	96.99
116	52	1.67	1.75	96.08
117	52	0.07	1.46	98.15
118	52	1.04	0.43	98.3
119	52	0.05	0.84	98.62
120	52	1.3	0.21	98.49
121	52	99.74	0	0
122	52	0.92	99.08	0
123	52	99.74	0	0
124	52	0.77	98.82	0
71	53	0	0	0
73	53	0	0	0
74	53	0	0	0
75	53	0	0	0
76	53	0	0	0
77	53	0	0	0
78	53	0	0	0
79	53	0	0	0
80	53	0	0	0
81	53	0	0	0
82	53	0	0	0
83	53	0	0	0
84	53	2.66	0	0
85	53	2.39	0	0
86	53	22.84	0	0
87	53	32.46	0.02	0
88	53	69.35	0	0
89	53	67.57	1.85	0
90	53	75.62	0.03	0
91	53	28.63	1.69	0
92	53	48.92	0.32	0
93	53	26.76	3.33	0
94	53	58.63	1.1	0
95	53	65.89	14.62	0.01
96	53	90.09	5.19	0.31
97	53	50.87	34.33	0.65
98	53	81.9	12.97	2.15
99	53	22.64	62.67	2.61
100	53	62.24	31.01	4.49
101	53	22.47	66.8	5.11
102	53	40.13	49.1	8.85
103	53	11.39	75.42	11.04
104	53	25.25	44.96	29.04
105	53	2.19	57.03	40.09
106	53	5.55	20.72	73.1
107	53	0.48	13.45	85.36
108	53	2.26	6.01	91.11
109	53	1.58	7	90.71
110	53	2.12	2.13	95.28
111	53	1.06	4.69	93.79
112	53	1.44	1.43	96.75
113	53	0.5	3.23	96
114	53	1.02	0.71	98.06
115	53	0.14	1.13	98.56
116	53	0.78	0.31	98.7
117	53	0.13	0.83	98.85
118	53	0.72	0.22	99.06
119	53	0	0.93	98.9
120	53	0.61	0	99.33
121	53	0.01	0.63	99.28
122	53	0.51	0.01	99.48
123	53	0.03	0.49	99.4
124	53	0.44	0.04	99.41
125	53	0.02	0.52	99.39
126	53	0.26	0.13	99.33
70	54	0	0	0
72	54	0	0	0
74	54	0	0	0
75	54	0	0	0
76	54	0	0	0
77	54	0	0	0
78	54	0	0	0
79	54	0	0	0
80	54	0	0	0
81	54	0	0	0
82	54	0	0	0
83	54	0	0	0
84	54	0	0	0
85	54	0	0	0
86	54	0	0	0
87	54	0.07	0	0
88	54	0.15	0	0
89	54	1.55	0	0
90	54	0.94	0	0
91	54	4.3	0	0
92	54	4.17	0	0
93	54	6.53	0.01	0
94	54	10.65	0	0
95	54	22.39	0.38	0
96	54	25.73	0.04	0
97	54	23.86	1.09	0
98	54	37.75	0.5	0
99	54	48.47	3.41	0
100	54	57.69	1.72	0.01
101	54	59.99	7.98	0.12
102	54	64.18	3.03	0.33
103	54	51.31	20.14	1.07
104	54	77.38	7.51	2.37
105	54	36.96	44.64	3.43
106	54	52.85	35.18	6.28
107	54	14.65	70.8	11.06
108	54	34.76	48.53	14.65
109	54	8.78	60.69	26.74
110	54	20.07	40.5	36.84
111	54	3.95	33.12	58.73
112	54	15.1	19.44	64.34
113	54	3.61	18.33	76.54
114	54	8.79	10.2	80.18
115	54	1.32	10.74	87.38
116	54	5.4	4.95	88.81
117	54	0.75	6.02	92.8
118	54	3.69	2.42	93.19
119	54	0.32	3.51	95.65
120	54	1.86	3.14	94.35
121	54	0.12	2.35	97.26
122	54	0.88	0.93	97.74
123	54	0.37	1.14	98.19
124	54	1.29	0.4	97.67
125	54	0.26	0.95	98.52
126	54	0.84	0.42	97.87
127	54	0.12	1.18	94.59
128	54	0	0	100
75	55	0	0	0
77	55	0	0	0
78	55	0	0	0
79	55	0	0	0
80	55	0	0	0
81	55	0	0	0
82	55	0	0	0
83	55	0	0	0
84	55	0	0	0
85	55	0	0	0
86	55	0.22	0	0
87	55	1.08	0	0
88	55	13.58	0	0
89	55	22.17	0	0
90	55	16.49	0	0
91	55	35.23	0	0
92	55	16.8	0	0
93	55	35.15	0.06	0
94	55	61.47	0.11	0
95	55	65.87	1.75	0
96	55	78.85	0.52	0
97	55	46.93	2.65	0
98	55	84.67	1.84	0
99	55	64.05	17.31	0.01
100	55	89.69	4.18	0.12
101	55	51.04	41.77	0.27
102	55	84.63	10.24	0.98
103	55	36.01	53.41	1.61
104	55	53.77	40.55	3.97
105	55	17.07	75.55	5.02
106	55	23.68	54.65	20.63
107	55	1.91	57.36	39.33
108	55	14.56	23.5	61.1
109	55	1.74	28.33	67.57
110	55	6.57	15.15	77.53
111	55	2.88	17.26	78.35
112	55	4.25	7.98	87.13
113	55	0.74	11.2	87.35
114	55	3.87	3.33	92.27
115	55	0.55	5.24	93.78
116	55	1.42	2.89	95.25
117	55	0.4	4.24	95.1
118	55	1.22	1.23	97.19
119	55	0.46	1.54	97.81
120	55	0.68	0.66	98.13
121	55	0.29	0.98	98.64
122	55	0.34	0.47	98.79
123	55	0.29	0.62	98.9
124	55	0.74	0.4	98.55
125	55	0.28	0.62	98.93
126	55	0.82	0.46	98.3
127	55	0.66	2.73	96.54
128	55	0	1.48	98.52
129	55	100	0	0
130	55	100	0	0
74	56	0	0	0
76	56	0	0	0
78	56	0	0	0
79	56	0	0	0
80	56	0	0	0
81	56	0	0	0
82	56	0	0	0
83	56	0	0	0
84	56	0	0	0
85	56	0	0	0
86	56	0	0	0
87	56	0	0	0
88	56	0	0	0
89	56	0	0	0
90	56	0	0	0
91	56	0	0	0
92	56	0.09	0	0
93	56	0.17	0	0
94	56	1.07	0	0
95	56	4.29	0	0
96	56	4.99	0	0
97	56	5.71	0	0
98	56	10.53	0	0
99	56	23.57	0.32	0
100	56	25.86	0.02	0
101	56	39.65	1	0
102	56	40.09	0.27	0
103	56	47.03	2.44	0
104	56	57.27	1.87	0.02
105	56	51.63	12.81	0.28
106	56	78.57	4.42	1.18
107	56	36.68	47.02	2.3
108	56	70.84	8.79	2.62
109	56	25.98	60.16	3.66
110	56	62.1	28.45	4.67
111	56	16.33	69.05	7.02
112	56	41.66	45.14	7.84
113	56	10.51	72.65	10.8
114	56	26.68	57.03	11.72
115	56	6.09	63.31	29.04
116	56	14.35	40.5	43.82
117	56	4.13	42.04	50.55
118	56	10.23	47.7	41
119	56	2.29	26.22	70.75
120	56	7.75	21.95	69.43
121	56	1.7	5.82	92.16
122	56	2.52	4.72	91.79
123	56	1.11	2.35	95.77
124	56	1.9	35.08	62.06
125	56	0.66	27.52	71.46
126	56	1.08	45.31	52.58
127	56	0.7	1.13	95.22
128	56	2.24	2.22	95.54
129	56	100	0	0
130	56	100	0	0
131	56	100	0	0
132	56	100	0	0
133	56	100	0	0
79	57	0	0	0
81	57	0	0	0
82	57	0	0	0
83	57	0	0	0
84	57	0	0	0
85	57	0	0	0
86	57	0	0	0
87	57	0	0	0
88	57	0	0	0
89	57	0	0	0
90	57	0.01	0	0
91	57	0	0	0
92	57	1.42	0	0
93	57	1.07	0	0
94	57	14.82	0	0
95	57	25.8	0	0
96	57	47.19	0	0
97	57	20.23	0.08	0
98	57	57.59	0.01	0
99	57	59	1.26	0
100	57	53.85	0.21	0
101	57	52.58	2.85	0
102	57	71.25	0.77	0
103	57	59.8	9.77	0
104	57	80.89	4.69	0.17
105	57	58.11	26.77	0.46
106	57	65.19	24.96	1.7
107	57	29.74	58.87	2.87
108	57	49.93	38.02	5.53
109	57	11.46	72.06	7.87
110	57	24.6	47.5	26.75
111	57	3.64	63.63	28.09
112	57	16.12	31.12	51.76
113	57	4.62	40.59	53.14
114	57	10.66	16.95	71.48
115	57	1.76	22.63	74.49
116	57	6.6	9.56	83.17
117	57	1.02	22.61	75.71
118	57	4.01	5.13	90.38
119	57	0.66	6.3	92.6
120	57	1.23	3.57	94.79
121	57	0.41	3.33	96.01
122	57	1.1	1.14	97.18
123	57	0.51	1.76	97.29
124	57	1.41	1.06	97.06
125	57	0.32	1.28	97.98
126	57	1.37	0.66	97.45
127	57	2.29	1.43	96.13
128	57	1.61	0.29	98.1
129	57	99.96	0	0
130	57	0	100	0
131	57	100	0	0
132	57	0	100	0
133	57	99.83	0	0
134	57	0	100	0
135	57	100	0	0
78	58	0	0	0
80	58	0	0	0
82	58	0	0	0
83	58	0	0	0
84	58	0	0	0
85	58	0	0	0
86	58	0	0	0
87	58	0	0	0
88	58	0	0	0
89	58	0	0	0
90	58	0	0	0
91	58	0	0	0
92	58	0	0	0
93	58	0	0	0
94	58	0	0	0
95	58	0.02	0	0
96	58	0.11	0	0
97	58	0.25	0	0
98	58	0.91	0	0
99	58	2.83	0	0
100	58	3.61	0	0
101	58	8.24	0	0
102	58	14.29	0	0
103	58	24.79	0.24	0
104	58	36.37	0.12	0
105	58	30.05	1.32	0
106	58	60.07	1.08	0
107	58	61.82	8.78	0.06
108	58	69.92	2.29	0.19
109	58	56.71	19.8	0.57
110	58	74.94	3.08	0.87
111	58	40.57	41.68	1.56
112	58	82.36	7.31	1.96
113	58	24.82	60.69	2.49
114	58	75.35	14.44	3.09
115	58	16.83	71.34	4.65
116	58	59.47	28.36	5.55
117	58	18.97	68.77	5.42
118	58	51.01	37.89	7.02
