N	Z	Q(b2n)
1	0	1010
0	1	1010
1	1	1010
2	1	1010
1	2	1010
0	3	1010
3	1	1010
2	2	1010
1	3	1010
4	1	1818.588
3	2	-33578.653
2	3	1010
1	4	1010
5	1	23308.172
4	2	-23873.724
3	3	1010
2	4	1010
1	5	1010
6	1	21761.26
5	2	-1748.399
4	3	-38373.893
3	4	1010
2	5	1010
6	2	1380.168
5	3	-13571.867
4	4	-58520.906
3	5	1010
2	6	1010
7	2	9886.154
6	3	-6956.73
5	4	-32470.735
4	5	1010
3	6	1010
8	2	12083.882
7	3	11968.316
6	4	-26456.723
5	5	-39156.214
4	6	1010
3	7	1010
8	3	13237.167
7	4	-8381.956
6	5	-36385.722
5	6	1010
4	7	1010
9	3	20169.453
8	4	-3115.567
7	5	-18471.974
6	6	-54942.742
5	7	1010
4	8	1010
10	3	22021.083
9	4	8848.557
8	5	-10230.81
7	6	-37321.272
6	7	1010
5	8	1010
10	4	10442.453
9	5	7521.052
8	6	-30460.814
7	7	-45193.91
6	8	1010
5	9	1010
11	4	17055.24
10	5	9690.344
9	6	-11614.975
8	7	-39156.636
7	8	1010
6	9	1010
12	4	17640.812
11	5	17949.742
10	6	-5311.919
9	7	-18466.182
8	8	-52844.046
7	9	1010
6	10	1010
12	5	17755.038
11	6	4786.703
10	7	-11128.161
9	8	-33758.205
8	9	1010
7	10	1010
13	5	22010.368
12	6	3091.586
11	7	1707.534
10	8	-27605.709
9	9	-39255.68
8	10	1010
7	11	1010
14	5	21604.2
13	6	8399.901
12	7	521.654
11	8	-14761.478
10	9	-34130.528
9	10	-11177.337
8	11	1010
7	12	1010
15	5	26071.85
14	6	8301.81
13	7	6405.292
12	8	-13219.578
11	9	-21477.723
10	10	-48221.495
9	11	1010
8	12	1010
16	5	27166
15	6	13645.01
14	7	5775.667
13	8	-6593.284
12	9	-17942.293
11	10	-34803.798
10	11	-50155.662
9	12	1010
8	13	1010
16	6	15682.499
15	7	12099.873
14	8	-6841.844
13	9	-6307.329
12	10	-31017.956
11	11	-38882.82
10	12	-18601
9	13	1010
8	14	1010
17	6	22777
16	7	14117.12
15	8	-1474.364
14	9	-7097.814
13	10	-19112.042
12	11	-36585.998
11	12	-48606.335
10	13	1010
9	14	1010
17	7	21512.45
16	8	-435.604
15	9	-558.393
14	10	-16912.753
13	11	-24160.649
12	12	-48277.955
11	13	-49527.968
10	14	1010
9	15	1010
18	7	25219.43
17	8	7892.04
16	9	374.915
15	10	-8672.589
14	11	-20027.186
13	12	-36083.476
12	13	-48756.496
11	14	1010
10	15	1010
18	8	11030.876
17	9	8474.065
16	10	-7245.235
15	11	-9069.844
14	12	-32309.563
13	13	-39097.096
12	14	-56603
11	15	1010
10	16	1010
19	8	16944.49
18	9	10546.809
17	10	251.009
16	11	-8467.541
15	12	-21813.087
14	13	-37166.709
13	14	-48264.928
12	15	1010
11	16	1010
20	8	17272.25
19	9	16298.871
18	10	2009.714
17	11	-916.405
16	12	-18951.25
15	13	-25852.186
14	14	-48608.055
13	15	-50368.945
12	16	1010
11	17	1010
20	9	16447.34
19	10	7774.845
18	11	1123.956
17	12	-9548.717
16	13	-21962.903
15	14	-37315.248
14	15	-50123.043
13	16	1010
12	17	1010
21	9	20677.37
20	10	7885.253
19	11	7350.767
18	12	-8175.835
17	13	-10522.292
16	14	-33427.852
15	15	-40416.451
14	16	-57718
13	17	1010
12	18	1010
22	9	21075.91
21	10	11997.727
20	11	6721.132
19	12	-1060.311
18	13	-9202.53
17	14	-22139.215
16	15	-37426.766
15	16	-48952.401
14	17	1010
13	18	1010
22	10	12381.35
21	11	11550.755
20	12	-1098.989
19	13	-2808.202
18	14	-20019.712
17	15	-26388.5
16	16	-46601.859
15	17	-50967.323
14	18	1010
13	19	1010
23	10	17594
22	11	10946.91
21	12	3774.547
20	13	-1661.827
19	14	-12216.419
18	15	-23437.452
17	16	-35662.367
16	17	-48440.044
15	18	1010
14	19	1010
24	10	17890
23	11	15975.52
22	12	3279.239
21	13	4866.148
20	14	-11794.49
19	15	-14675.796
18	16	-32739.655
17	17	-38382.375
16	18	-55619
15	19	1010
14	20	1010
24	11	16734.95
23	12	7965.387
22	13	4151.856
21	14	-4165.688
20	15	-14414.574
19	16	-23985.517
18	17	-35771.88
17	18	-46232.519
16	19	1010
15	20	1010
25	11	21445.18
24	12	7306.424
23	13	9764.477
22	14	-3987.255
21	15	-6461.974
20	16	-22366.667
19	17	-27286.358
18	18	-45153.475
17	19	-47410.915
16	20	1010
15	21	1010
26	11	21360
25	12	12366.76
24	13	8027.331
23	14	2120.867
22	15	-6292.524
21	16	-14025.509
20	17	-24856.743
19	18	-35917.389
18	19	-45731.133
17	20	1010
16	21	1010
26	12	11980.84
25	13	12460.547
24	14	-61.903
23	15	-148.069
22	16	-13481.8
21	17	-15709.177
20	18	-33440.386
19	19	-38492.233
18	20	-53552
17	21	1010
16	22	1010
27	12	16323
26	13	11448
25	14	5173.825
24	15	-2075.497
23	16	-7543.454
22	17	-14995.182
21	18	-24584.63
20	19	-36813.758
19	20	-46908.992
18	21	1010
17	22	1010
28	12	16253
27	13	16000.34
26	14	3956.603
25	15	2644.131
24	16	-9182.393
23	17	-8985.628
22	18	-22381.773
21	19	-27619.626
20	20	-46443.05
19	21	-47331.95
18	22	1010
17	23	1010
28	13	15424.68
27	14	8806.305
26	15	2039.94
25	16	-5351.019
24	17	-10207.633
23	18	-15402.952
22	19	-24419.476
21	20	-37107.806
20	21	-46982.874
19	22	1010
18	23	1010
29	13	19265
28	14	8493.53
27	15	7704.955
26	16	-6222.566
25	17	-6015.724
24	18	-17029.819
23	19	-16318.273
22	20	-34166.54
21	21	-39413.39
20	22	-53133
19	23	1010
18	24	1010
30	13	19682
29	14	11937.96
28	15	7545.765
27	16	-1030.902
26	17	-7397.759
25	18	-12592.899
24	19	-17580.134
23	20	-25909.035
22	21	-36633.196
21	22	-45659.728
20	23	1010
19	24	1010
30	14	11361
29	15	11936.88
28	16	-433.874
27	17	-2329.685
26	18	-13793.863
25	19	-13376.884
24	20	-25490.15
23	21	-28853.947
22	22	-46071.191
21	23	-46500
20	24	1010
19	25	1010
31	14	16391
30	15	11376.24
29	16	4190.408
28	17	-2492.57
27	18	-9338.039
26	19	-14349.456
25	20	-20766.685
24	21	-27892.725
23	22	-37235.402
22	23	-45722.75
21	24	1010
20	25	1010
19	26	1010
31	15	15846
30	16	4504.77
29	17	2720.292
28	18	-10091.908
27	19	-10087.897
26	20	-21465.057
25	21	-20354.564
24	22	-36153.254
23	23	-39580.071
22	24	-52276
21	25	1010
20	26	1010
32	15	17086
31	16	9623
30	17	3531.15
29	18	-4738.004
28	19	-11042.463
27	20	-17414.913
26	21	-21469.14
25	22	-29198.489
24	23	-38633.634
23	24	-45571.445
22	25	-52139
21	26	1010
20	27	1010
32	16	10429
31	17	9526
30	18	-3168.19
29	19	-5288.718
28	20	-18606.889
27	21	-16519.056
26	22	-27559.766
25	23	-31145.874
24	24	-46007.222
23	25	-46053
22	26	1010
21	27	1010
20	28	1010
33	16	15157
32	17	10214
31	18	2708.85
30	19	-3410.676
29	20	-13106.902
28	21	-17767.303
27	22	-22699.646
26	23	-29542.7
25	24	-38909.885
24	25	-46188.011
23	26	-50739
22	27	1010
21	28	1010
33	17	14727
32	18	3221.99
31	19	2354.276
30	20	-11228.44
29	21	-12198.413
28	22	-23096.545
27	23	-22544.837
26	24	-37080.907
25	25	-40354.601
24	26	-51497
23	27	-50402
22	28	1010
34	17	15193
33	18	7600.82
32	19	2641.22
31	20	-5920.096
30	21	-10808.636
29	22	-17913.544
28	23	-23013.63
27	24	-29956.949
26	25	-39635.405
25	26	-46015.187
24	27	-50658
23	28	1010
34	18	8617
33	19	6903.58
32	20	-5858.133
31	21	-4878.461
30	22	-16387.624
29	23	-17324.533
28	24	-28933.495
27	25	-32360.861
26	26	-46693
25	27	-45234
24	28	1010
23	29	1010
35	18	13164
34	19	8515
33	20	-1371.24
32	21	-4518.198
31	22	-10768.94
30	23	-16541.567
29	24	-23185.029
28	25	-30629.351
27	26	-39747.226
26	27	-45862.803
25	28	1010
24	29	1010
35	19	13119
34	20	-754.12
33	21	-272.776
32	22	-10296.076
31	23	-10616.649
30	24	-22369.474
29	25	-23366.867
28	26	-38406.547
27	27	-40678.402
26	28	-52301
25	29	1010
24	30	1010
36	19	13022
35	20	3614.28
34	21	710.851
33	22	-5960.17
32	23	-10000.357
31	24	-16562.228
30	25	-22907.628
29	26	-30964.649
28	27	-40541.064
27	28	-47123.825
26	29	1010
25	30	1010
37	19	16562
36	20	3558
35	21	4723.1
34	22	-5455.85
33	23	-5332.037
32	24	-15867.36
31	25	-16799.613
30	26	-28739.734
29	27	-32959.519
28	28	-48308
27	29	-46965
26	30	1010
25	31	1010
37	20	6960
36	21	4817.29
35	22	-866.618
34	23	-5262.379
33	24	-10955.048
32	25	-16148.131
31	26	-22294.552
30	27	-30152.359
29	28	-40590.457
28	29	-48529
27	30	1010
26	31	1010
38	20	6670
37	21	8187
36	22	-1131.03
35	23	-1180.893
34	24	-11066.516
33	25	-11363.773
32	26	-22257.299
31	27	-22082.285
30	28	-38133.019
29	29	-42230.981
28	30	-54119
27	31	1010
26	32	1010
38	21	7423
37	22	2441.74
36	23	-1450.505
35	24	-6547.99
34	25	-11486.777
33	26	-17461.854
32	27	-22288.531
31	28	-29990.496
30	29	-39953.777
29	30	-47708
28	31	1010
27	32	1010
39	21	10917
38	22	1848.91
37	23	2450.14
36	24	-6818.948
35	25	-6956.103
34	26	-17708.455
33	27	-17564.197
32	28	-28948.032
31	29	-32189.029
30	30	-46824
29	31	-48214
28	32	1010
27	33	1010
40	21	10433
39	22	5341.95
38	23	1242.43
37	24	-3072.407
36	25	-7220.588
35	26	-12834.011
34	27	-17884.141
33	28	-24006.228
32	29	-30911.514
31	30	-38520.149
30	31	-46967
29	32	1010
28	33	1010
40	22	4534
39	23	4885.28
38	24	-4070
37	25	-3211.31
36	26	-13370.964
35	27	-13093.921
34	28	-24543.946
33	29	-24755.865
32	30	-37526.066
31	31	-40520
30	32	-52340
29	33	1010
41	22	8542
40	23	4320.34
39	24	-122.631
38	25	-4109.192
37	26	-8880.632
36	27	-13772.308
35	28	-19671.123
