N	Z	Q(b2n)
34	29	-25373.237
33	30	-31221.199
32	31	-38959.876
31	32	-45477
30	33	1010
41	23	8582
40	24	-1121
39	25	-253.62
38	26	-9688.357
37	27	-9188.659
36	28	-20454.145
35	29	-20399.214
34	30	-30159.979
33	31	-33077.255
32	32	-45876
31	33	1010
30	34	1010
42	23	7935
41	24	2762.08
40	25	-1474.356
39	26	-5513.124
38	27	-9815.506
37	28	-15688.575
36	29	-21192.979
35	30	-25507.34
34	31	-31878.742
33	32	-38994.165
32	33	1010
31	34	1010
43	23	11709
42	24	2311.01
41	25	2076.523
40	26	-6418.586
39	27	-5452.689
38	28	-16724.825
37	29	-16396.917
36	30	-26208.95
35	31	-25551.2
34	32	-38096.956
33	33	-41238
32	34	1010
43	24	6343
42	25	1768.33
41	26	-3025.965
40	27	-6339.166
39	28	-12621.861
38	29	-17549.612
37	30	-21365.371
36	31	-26543.312
35	32	-31863.59
34	33	-39568.936
33	34	1010
32	35	1010
44	24	5732
43	25	5626.86
42	26	-3559.447
41	27	-2060.067
40	28	-13348.38
39	29	-12810.608
38	30	-22425.42
37	31	-21621.347
36	32	-31096.351
35	33	-33669.077
34	34	1010
33	35	1010
44	25	5390
43	26	122.06
42	27	-2569.037
41	28	-8802.506
40	29	-13998.783
39	30	-17681.34
38	31	-22812.426
37	32	-26656.06
36	33	-32674.507
35	34	-39649.236
34	35	1010
33	36	1010
45	25	8466
44	26	-528.27
43	27	401.827
42	28	-9789.458
41	29	-9112.163
40	30	-18621.598
39	31	-18073.976
38	32	-27809.95
37	33	-26295.023
36	34	-39631.272
35	35	1010
34	36	1010
46	25	7713
45	26	3026.53
44	27	-533.908
43	28	-5812.652
42	29	-10436.161
41	30	-14143.608
40	31	-19181.081
39	32	-22936.93
38	33	-27600.98
37	34	-33177.669
36	35	-40210.212
35	36	1010
34	37	1010
46	26	2674
45	27	3287.17
44	28	-7392.322
43	29	-6360.923
42	30	-15377.99
41	31	-14169.055
40	32	-24386.702
39	33	-22442.538
38	34	-32585.199
37	35	-34261.746
36	36	1010
35	37	1010
47	26	5611
46	27	2367.44
45	28	-3539.655
44	29	-7801.295
43	30	-11596.938
42	31	-15935.511
41	32	-19547.104
40	33	-23948.881
39	34	-27867.603
38	35	-33463.014
37	36	-40390
36	37	1010
35	38	1010
48	26	4406
47	27	5621
46	28	-4815.84
45	29	-4003.353
44	30	-13311.095
43	31	-11606.355
42	32	-21335.277
41	33	-19134.513
40	34	-29288.512
39	35	-27490.305
38	36	-40357.849
37	37	1010
36	38	1010
48	27	4866
47	28	-1401.54
46	29	-5020.574
45	30	-9002.208
44	31	-13309.695
43	32	-17046.854
42	33	-20949.439
41	34	-24664.533
40	35	-28698.005
39	36	-34384.929
38	37	1010
37	38	1010
49	27	8216
48	28	-1746.41
47	29	-1361.909
46	30	-10396.036
45	31	-9016.83
44	32	-18495.467
43	33	-16220.802
42	34	-26106.331
41	35	-24099.871
40	36	-33240.787
39	37	-35794.442
38	38	1010
37	39	1010
49	28	1581
48	29	-2095.92
47	30	-6467.251
46	31	-10278.012
45	32	-14321.303
44	33	-17889.474
43	34	-21635
42	35	-25053.813
41	36	-29093.381
40	37	-34354.436
39	38	1010
38	39	1010
50	28	703.88
49	29	1662.916
48	30	-7329.224
47	31	-6635.697
46	32	-15713.313
45	33	-13707.641
44	34	-22879.474
43	35	-20580.618
42	36	-29843.128
41	37	-28830.417
40	38	-40715
39	39	1010
38	40	1010
51	28	4660
50	29	748.27
49	30	-3582.586
48	31	-7477.454
47	32	-11752.905
46	33	-15179.214
45	34	-18825.25
44	35	-22041.248
43	36	-25754.422
42	37	-29142.186
41	38	-34841
40	39	1010
39	40	1010
51	29	4909.99
50	30	-4085.295
49	31	-3504.251
48	32	-12860.975
47	33	-11331.183
46	34	-20449.983
45	35	-17852.071
44	36	-27100.526
43	37	-25144.157
42	38	-33927.578
41	39	-35986.86
40	40	1010
52	29	5500
51	30	205.381
50	31	-4243.997
49	32	-8798.252
48	33	-12758.527
47	34	-16463.586
46	35	-19676.007
45	36	-23034.461
44	37	-26122.408
43	38	-29313.869
42	39	-34795.335
41	40	1010
40	41	1010
53	29	9835
52	30	474.31
51	31	461.948
50	32	-9343.237
49	33	-8486.251
48	34	-17847.542
47	35	-15746.599
46	36	-24557.485
45	37	-22018.957
44	38	-31005.774
43	39	-28689
42	40	1010
41	41	1010
53	30	4747.2
52	31	891.932
51	32	-4585.752
50	33	-9422.945
49	34	-13507.547
48	35	-17461.22
47	36	-20676.002
46	37	-23685.134
45	38	-27228.511
44	39	-29950.772
43	40	-35106
42	41	1010
41	42	1010
54	30	4378
53	31	4989
52	32	-4187.968
51	33	-4402.279
50	34	-14593.076
49	35	-13335.399
48	36	-22394.165
47	37	-19891.545
46	38	-28729.229
45	39	-26092.943
44	40	-35362
43	41	1010
42	42	1010
55	30	7275
54	31	4770.38
53	32	403.264
52	33	-3991.208
51	34	-9542.867
50	35	-14728.068
49	36	-18552.34
48	37	-21512.354
47	38	-25041.383
46	39	-28074.248
45	40	-30906.149
44	41	-35735.923
43	42	1010
42	43	1010
55	31	7549
54	32	-49.22
53	33	842.944
52	34	-8862.715
51	35	-9335.546
50	36	-19649.335
49	37	-18240.091
48	38	-26772.36
47	39	-24005.296
46	40	-33090.774
45	41	-30773.634
44	42	1010
43	43	1010
56	31	7401
55	32	2968.6
54	33	653.098
53	34	-3993.288
52	35	-8553.985
51	36	-14684.821
50	37	-19637.147
49	38	-23180.54
48	39	-25986.95
47	40	-29209.494
46	41	-32506.181
45	42	-36992.764
44	43	1010
43	44	1010
56	32	2682
55	33	3640.34
54	34	-4394.577
53	35	-3592.923
52	36	-13086.911
51	37	-14228.433
50	38	-24780.79
49	39	-22472.732
48	40	-30638.082
47	41	-28208.373
46	42	-37532.229
45	43	1010
44	44	1010
57	32	5746
56	33	3485.1
55	34	-1243.348
54	35	-3707.378
53	36	-8080.626
52	37	-12974.839
51	38	-19333.039
50	39	-24505.25
49	40	-27145.726
48	41	-29883.22
47	42	-33467.527
46	43	-37605
45	44	1010
44	45	1010
58	32	5356
57	33	6411.34
56	34	-1226.889
55	35	-451.648
54	36	-8492.89
53	37	-7586.013
52	38	-17792.796
51	39	-19009.162
50	40	-28740.206
49	41	-26118.316
48	42	-34634.21
47	43	-32467.894
46	44	1010
45	45	1010
58	33	5953
57	34	1793.34
56	35	-714.139
55	36	-5404.359
54	37	-7679.009
53	38	-12085.89
52	39	-17618.119
51	40	-23413.402
50	41	-27766.273
49	42	-30956.499
48	43	-34022.735
47	44	-38352
46	45	1010
45	46	1010
59	33	8676
58	34	1133.86
57	35	2583.815
56	36	-5547.226
55	37	-4966.242
54	38	-12515.168
53	39	-12186.134
52	40	-21940.045
51	41	-22423.488
50	42	-32225.775
49	43	-30184.532
48	44	-38485.114
47	45	1010
46	46	1010
59	34	4249.32
58	35	1860.996
57	36	-2533.501
56	37	-5110.177
55	38	-9876.669
54	39	-12474.133
53	40	-16626.739
52	41	-21146.905
51	42	-26962.703
50	43	-31508.474
49	44	-34563.913
48	45	-38878
47	46	1010
46	47	1010
60	34	3287
59	35	5026.91
58	36	-2717.882
57	37	-1838.031
56	38	-10171.326
55	39	-10035.851
54	40	-16959.794
53	41	-15704.014
52	42	-25629.788
51	43	-25998.524
50	44	-35727.138
49	45	-33980.567
48	46	1010
47	47	1010
61	34	6368
60	35	4222.45
59	36	318.409
58	37	-1950.6
57	38	-7037.233
56	39	-10231.272
55	40	-14591.21
54	41	-16121.373
53	42	-20247.898
52	43	-24946.029
51	44	-30587.331
50	45	-35343.941
49	46	-39840
48	47	1010
47	48	1010
61	35	7041.46
60	36	-659.527
59	37	1348.754
58	38	-6719.642
57	39	-7213.323
56	40	-15218.033
55	41	-13336.62
54	42	-20779.162
53	43	-19379.432
52	44	-29314.143
51	45	-29728.061
50	46	-39913.523
49	47	1010
48	48	1010
62	35	5960.79
61	36	2327.759
60	37	460.493
59	38	-3513.525
58	39	-6608.253
57	40	-12305.999
56	41	-14040.099
55	42	-17666.088
54	43	-19904.988
53	44	-23921.33
52	45	-28774.271
51	46	-34351
50	47	-40338
49	48	1010
48	49	1010
63	35	8489
62	36	900.39
61	37	2468.893
60	38	-4227.016
59	39	-2998.616
58	40	-11828.319
57	41	-10879.373
56	42	-18437.087
55	43	-16494.64
54	44	-24680.933
53	45	-23135.587
52	46	-32951.97
51	47	-33636
50	48	1010
49	49	1010
63	36	3617.08
62	37	1234.179
61	38	-2527.4
60	39	-3849.916
59	40	-8158.971
58	41	-10930.875
57	42	-14892.754
56	43	-17350.108
55	44	-21168.174
54	45	-23914.785
53	46	-27498.026
52	47	-32401.35
51	48	-38884
50	49	1010
49	50	1010
64	36	3124
63	37	3736.2
62	38	-3672.186
61	39	-2183.449
60	40	-8994.238
59	41	-7831.124
58	42	-15900.99
57	43	-13937.724
56	44	-22191.369
55	45	-20409.872
54	46	-28303.446
53	47	-26644.183
52	48	-36440.624
51	49	1010
50	50	1010
65	36	5935
64	37	3557.31
63	38	-1048.93
62	39	-3585.203
61	40	-6981.59
60	41	-9061.656
59	42	-12332.256
58	43	-14861.85
57	44	-18519.221
56	45	-21372.219
55	46	-24860.823
54	47	-27545.888
53	48	-30603
52	49	-36812
51	50	1010
65	37	5980.15
64	38	-1167.67
63	39	-934.034
62	40	-7933.063
61	41	-6263.758
60	42	-13693.233
59	43	-11489.379
58	44	-19657.313
57	45	-17695.842
56	46	-25935.672
55	47	-24194.57
54	48	-31489.199
53	49	-29553.41
52	50	1010
66	37	5811
65	38	1501.59
64	39	-1429.649
63	40	-5076.087
62	41	-7651.327
61	42	-10768.364
60	43	-12789.942
59	44	-15995.445
58	45	-18740.03
57	46	-22293.292
56	47	-25106.465
55	48	-28180.48
54	49	-30466.52
53	50	1010
52	51	1010
66	38	925
65	39	1386.9
64	40	-5562.268
63	41	-4397.358
62	42	-11927.958
61	43	-9546.921
60	44	-17455.942
59	45	-15167.326
58	46	-23291.073
57	47	-21599.427
56	48	-29417.121
55	49	-27391.553
54	50	1010
53	51	1010
67	38	3705
66	39	856.85
65	40	-2588.5
64	41	-5087.767
63	42	-8883.979
62	43	-11171.941
61	44	-14047.095
60	45	-16508.152
59	46	-19760.1
58	47	-22561.471
57	48	-25846.956
56	49	-28813.696
55	50	-33301.896
54	51	1010
53	52	1010
68	38	3131
67	39	3535
66	40	-3225.14
65	41	-1986.404
64	42	-9776.265
63	43	-7824.28
62	44	-15509.325
61	45	-13109.444
60	46	-20933.712
59	47	-19116.657
58	48	-27091.983
57	49	-25123.602
56	50	-34325.769
55	51	1010
54	52	1010
69	38	5780
68	39	2963
67	40	-499.82
66	41	-2519.502
65	42	-6407.596
64	43	-8958.022
63	44	-12152.585
62	45	-14588.728
61	46	-17444.322
60	47	-20215.387
59	48	-23492.31
58	49	-26368.901
57	50	-30638.775
56	51	-33984.343
55	52	1010
54	53	1010
69	39	5468
68	40	-1295.92
67	41	452.223
66	42	-7129.603
65	43	-5740.997
64	44	-13440.168
63	45	-11267.15
62	46	-18724.733
61	47	-16617.307
60	48	-24787.17
59	49	-22908.898
58	50	-31739.283
57	51	-30369.279
56	52	1010
55	53	1010
70	39	4925
69	40	1384.53
68	41	-204.656
67	42	-4067.2
66	43	-6562.864
65	44	-10015.136
64	45	-12770.044
63	46	-15342.669
62	47	-17872.271
61	48	-21082.752
60	49	-24118.338
59	50	-28120.33
58	51	-31857.364
57	52	-34284.207
56	53	1010
55	54	1010
70	40	518
69	41	2483.6
68	42	-4771.002
67	43	-3515.755
66	44	-11181.288
65	45	-9447.251
64	46	-16867.476
63	47	-14347.846
62	48	-22371.46
61	49	-20543.461
60	50	-29539.29
59	51	-27810.7
58	52	-35725.928
57	53	1010
56	54	1010
71	40	2918
70	41	1654.16
69	42	-1799.579
68	43	-4428.821
67	44	-7925.896
66	45	-10840.658
65	46	-13409.261
64	47	-15854.55
63	48	-18907.778
62	49	-21902.623
61	50	-25831.103
60	51	-29263.979
59	52	-32056.929
58	53	-34926.811
57	54	1010
72	40	2182
71	41	4133
70	42	-2574.25
69	43	-1327.114
68	44	-8942.366
67	45	-7543.995
66	46	-15006.702
65	47	-12377.582
64	48	-20247.674
63	49	-18291.721
62	50	-27348.896
61	51	-25511.777
60	52	-33245.968
59	53	-31287.378
58	54	1010
57	55	1010
72	41	3284
71	42	110.36
70	43	-2170.987
69	44	-5708.327
68	45	-8923.865
67	46	-11517.652
66	47	-13916.348
65	48	-16794.979
64	49	-19568.941
63	50	-23634.134
62	51	-26972.237
61	52	-29535.853
60	53	-32869.604
59	54	1010
58	55	1010
73	41	5934
72	42	-694
71	43	718.05
70	44	-6631.771
69	45	-5534.227
68	46	-13050.075
67	47	-10497.627
66	48	-18166.405
65	49	-16055.041
64	50	-25101.001
63	51	-23070.775
62	52	-30968
61	53	-28912.1
60	54	-36941.239
59	55	1010
58	56	1010
74	41	5273
73	42	1920
72	43	-180.12
71	44	-3678.731
70	45	-6780.613
69	46	-9542.432
68	47	-12082.042
67	48	-14861.205
66	49	-17350.74
65	50	-21759.39
64	51	-24799.004
63	52	-27085.882
62	53	-30276.799
61	54	-33035
60	55	1010
59	56	1010
74	42	1125
73	43	2623.48
72	44	-4498.122
71	45	-3390.506
70	46	-11043.686
69	47	-8670.447
68	48	-16286.79
67	49	-13835.041
66	50	-23172.981
65	51	-21075.723
64	52	-28615.725
63	53	-26548.982
62	54	-34507
61	55	-32245
60	56	1010
59	57	1010
75	42	3596
74	43	1779.53
73	44	-1433.033
72	45	-4613.645
71	46	-7584.654
70	47	-10240.296
69	48	-13024.752
68	49	-15051.87
67	50	-19537.018
66	51	-22719.439
65	52	-24900.266
64	53	-27921.963
63	54	-30628.245
62	55	-33611.404
61	56	1010
60	57	1010
75	43	4136
74	44	-2662.29
73	45	-1198.464
72	46	-8988.862
71	47	-6983.871
70	48	-14594.61
69	49	-11844.895
68	50	-20973.87
67	51	-18869.916
66	52	-26347.182
65	53	-24066.961
64	54	-32158.689
63	55	-29855
62	56	-37795
61	57	1010
76	43	3006
75	44	191.16
74	45	-2540.74
73	46	-5368.702
72	47	-8369.944
71	48	-11176.676
70	49	-13444.357
69	50	-17568.136
68	51	-20521.43
67	52	-22887.767
66	53	-25722.827
65	54	-28443.951
64	55	-30825.995
63	56	-34145
62	57	1010
61	58	1010
77	43	5598
76	44	-1266
75	45	432.04
74	46	-6869.047
73	47	-5092.417
72	48	-12871.733
71	49	-10218.34
70	50	-19244.978
69	51	-16863.836
68	52	-24539.77
67	53	-21816.763
66	54	-29905.695
65	55	-27677
64	56	-35410
63	57	1010
62	58	1010
77	44	1633
76	45	-1164.84
75	46	-3679.187
74	47	-6568.335
73	48	-9516.962
72	49	-11913.757
71	50	-15865.901
70	51	-18559.996
69	52	-20921.369
68	53	-23599.865
67	54	-26318.564
66	55	-28654.875
65	56	-31920
64	57	-34362
63	58	1010
62	59	1010
78	44	261
77	45	1964.41
76	46	-5107.291
75	47	-3291.385
74	48	-11026.419
73	49	-8616.999
72	50	-17666.201
71	51	-15108.074
70	52	-22703.89
69	53	-20050.654
68	54	-27608.968
67	55	-25398.755
66	56	-33064
65	57	-30888
64	58	1010
63	59	1010
79	44	2925
78	45	531
77	46	-2156.89
76	47	-4616.887
75	48	-7720.636
74	49	-10375.604
73	50	-14360.445
72	51	-16823.189
71	52	-19063.135
70	53	-21605.357
69	54	-24288.998
68	55	-26441.443
67	56	-29527
66	57	-32025
65	58	-34809
64	59	1010
80	44	1611
79	45	3306
78	46	-3590.66
77	47	-1730.392
76	48	-9271.354
75	49	-7071.31
74	50	-16043.243
73	51	-13449.201
72	52	-20587.497
71	53	-18153.373
70	54	-25658.928
69	55	-23265.03
68	56	-30689.165
67	57	-28528
66	58	-36114
65	59	1010
64	60	1010
80	45	2068
79	46	-816.79
78	47	-2958.693
77	48	-6060.274
76	49	-8803.081
75	50	-12814.224
74	51	-15226.75
73	52	-17221.88
72	53	-19731.123
71	54	-22292.002
70	55	-24575.525
69	56	-27160.481
68	57	-29616
67	58	-32463
66	59	1010
65	60	1010
81	45	4648
80	46	-1957
79	47	-220.76
78	48	-7529.223
77	49	-5681.323
76	50	-14536.92
75	51	-12010.617
74	52	-18842.247
73	53	-16392.886
72	54	-23556.862
71	55	-21403.313
70	56	-28553.924
69	57	-26199.91
68	58	-33812
67	59	-31941
66	60	1010
65	61	1010
81	46	647
80	47	-1376.05
79	48	-4156.305
78	49	-7144.509
77	50	-11357.613
76	51	-13819.157
75	52	-15587.104
74	53	-17933.519
73	54	-20376.336
72	55	-22713.817
71	56	-25201.096
70	57	-27380.772
69	58	-30090
68	59	-33087
67	60	1010
66	61	1010
82	46	-233
81	47	1212.28
80	48	-5611.6
79	49	-4273.299
78	50	-13111.368
77	51	-10707.607
76	52	-17225.076
75	53	-14735.782
74	54	-21652.453
73	55	-19404.297
72	56	-26548.077
71	57	-23947.503
70	58	-31353.161
69	59	-29481
68	60	-37260
67	61	1010
66	62	1010
82	47	138
81	48	-2753.23
80	49	-5509.3
79	50	-10050.256
78	51	-12490.31
77	52	-14163.575
76	53	-16328.225
75	54	-18598.545
74	55	-20823.944
73	56	-23309.815
72	57	-25487.907
71	58	-27886.938
70	59	-30381
69	60	-33671
68	61	1010
67	62	1010
83	47	5179.39
82	48	-3530.54
81	49	-2664.47
80	50	-11645.194
79	51	-9435.159
78	52	-15756.872
77	53	-13218.513
76	54	-20091.529
75	55	-17663.468
74	56	-24778.939
73	57	-22236.081
72	58	-29234.778
