N	Z	Q(b4n)
1	0	1010
0	1	1010
1	1	1010
2	1	1010
1	2	1010
0	3	1010
3	1	1010
2	2	1010
1	3	1010
4	1	1010
3	2	-32466.693
2	3	1010
1	4	1010
5	1	1010
4	2	1010
3	3	1010
2	4	1010
1	5	1010
6	1	-15750.74
5	2	1010
4	3	-40498.943
3	4	1010
2	5	1010
6	2	-39160.832
5	3	1010
4	4	-59800.766
3	5	1010
2	6	1010
7	2	-21516.546
6	3	1010
5	4	-31050.735
4	5	1010
3	6	1010
8	2	-14929.638
7	3	-23539.834
6	4	1010
5	5	-39525.494
4	6	1010
3	7	1010
8	3	-21166.143
7	4	1010
6	5	-36661.412
5	6	1010
4	7	1010
9	3	-11671.937
8	4	-40720.237
7	5	1010
6	6	-53472.742
5	7	1010
4	8	1010
10	3	-1646.837
9	4	-26252.243
8	5	1010
7	6	-38587.162
6	7	1010
5	8	1010
10	4	-20174.837
9	5	-32528.818
8	6	1010
7	7	-45234.91
6	8	1010
5	9	1010
11	4	-4331.44
10	5	-26712.126
9	6	1010
8	7	-37806.636
7	8	1010
6	9	1010
12	4	4318.672
11	5	-10937.348
10	6	-42738.709
9	7	1010
8	8	-54173.856
7	9	1010
6	10	1010
12	5	-2051.962
11	6	-26211.037
10	7	1010
9	8	-35165.975
8	9	1010
7	10	1010
13	5	9821.918
12	6	-22858.194
11	7	-33103.636
10	8	1010
9	9	-40391.68
8	10	1010
7	11	1010
14	5	9603.19
13	6	-11181.879
12	7	-30369.376
11	8	1010
10	9	1010
9	10	1010
8	11	1010
7	12	1010
15	5	14508.2
14	6	-8731.4
13	7	-22096.898
12	8	-47548.538
11	9	1010
10	10	-47420.495
9	11	1010
8	12	1010
16	5	15752.41
15	6	-1057.79
14	7	-17850.793
13	8	-37849.944
12	9	-54999.803
11	10	1010
10	11	-50265.662
9	12	1010
8	13	1010
16	6	2350.709
15	7	-5025.547
14	8	-35016.604
13	9	-40408.569
12	10	1010
11	11	1010
10	12	1010
9	13	1010
8	14	1010
17	6	9995.02
16	7	-1447.78
15	8	-24962.214
14	9	-39627.224
13	10	-55497.042
12	11	1010
11	12	-49849.335
10	13	1010
9	14	1010
17	7	7442.89
16	8	-19814.674
15	9	-30234.653
14	10	-51304.753
13	11	-62896.649
12	12	1010
11	13	-48009.968
10	14	1010
9	15	1010
18	7	12171.03
17	8	-8078.56
16	9	-23487.225
15	10	-40479.459
14	11	-56040.186
13	12	1010
12	13	-48666.496
11	14	1010
10	15	1010
18	8	-3554.584
17	9	-9949.545
16	10	-35550.365
15	11	-43097.804
14	12	-70798.563
13	13	1010
12	14	-55642
11	15	1010
10	16	1010
19	8	4642
18	9	-6989.671
17	10	-24172.211
16	11	-40821.891
15	12	-58416.087
14	13	1010
13	14	-47060.928
12	15	1010
11	16	1010
20	8	7002.08
19	9	1352.051
18	10	-18773.336
17	11	-31410.855
16	12	-53214.25
15	13	-65000.186
14	14	1010
13	15	-51515.945
12	16	1010
11	17	1010
20	9	4288.49
19	10	-9375.705
18	11	-24529.364
17	12	-41921.337
16	13	-58289.903
15	14	1010
14	15	-51075.043
13	16	1010
12	17	1010
21	9	10669.74
20	10	-7279.307
19	11	-11732.033
18	12	-37371.335
17	13	-44797.142
16	14	-72643.852
15	15	1010
14	16	-57868
13	17	1010
12	18	1010
22	9	12413.77
21	10	-895.223
20	11	-10475.458
19	12	-24691.031
18	13	-41231.28
17	14	-59115.215
16	15	1010
15	16	-51135.401
14	17	1010
13	18	1010
22	10	1012.64
21	11	-4236.605
20	12	-21345.889
19	13	-30907.362
18	14	-53940.712
17	15	-66221.5
16	16	1010
15	17	-51933.323
14	18	1010
13	19	1010
23	10	7938.11
22	11	-2761.01
21	12	-14264.893
20	13	-25347.787
19	14	-42296.269
18	15	-60258.452
17	16	1010
16	17	-48740.044
15	18	1010
14	19	1010
24	10	9776.99
23	11	3953.84
22	12	-13107.221
21	13	-15192.642
20	14	-39042.54
19	15	-46996.376
18	16	-71200.655
17	17	1010
16	18	-57889
15	19	1010
14	20	1010
24	11	6746.24
23	12	-6697.693
22	13	-14251.144
21	14	-28318.528
20	15	-44220.324
19	16	-58343.517
18	17	1010
17	18	-47752.519
16	19	1010
15	20	1010
25	11	12865.95
24	12	-4538.536
23	13	-7110.593
22	14	-25211.815
21	15	-34457.854
20	16	-54705.667
19	17	-63731.358
18	18	1010
17	19	-48250.915
16	20	1010
15	21	1010
26	11	12983.48
25	12	2085.81
24	13	-6165.499
23	14	-16769.753
22	15	-30335.394
21	16	-43795.449
20	17	-58923.743
19	18	1010
18	19	-48180.133
17	20	1010
16	21	1010
26	12	1419.68
25	13	120.847
24	14	-16480.603
23	15	-20773.979
22	16	-41008.12
21	17	-47459.157
20	18	-69479.386
19	19	1010
18	20	-55709
17	21	1010
16	22	1010
27	12	6347.2
26	13	-960.57
25	14	-9007.475
24	15	-20512.677
23	16	-32693.084
22	17	-45284.452
21	18	-58383.63
20	19	1010
19	20	-48519.992
18	21	1010
17	22	1010
28	12	6705.5
27	13	3881.05
26	14	-9945.757
25	15	-13823.579
24	16	-30059.763
23	17	-37916.148
22	18	-54501.773
21	19	-63278.626
20	20	1010
19	21	-50582.95
18	22	1010
17	23	1010
28	13	3435.81
27	14	-4843.325
26	15	-13928.01
25	16	-23246.009
24	17	-34205.453
23	18	-46015.282
22	19	-58457.476
21	20	1010
20	21	-50261.874
19	22	1010
18	23	1010
29	13	8322.47
28	14	-5004.28
27	15	-7820.455
26	16	-23851.736
25	17	-25859.214
24	18	-44770.259
23	19	-48715.183
22	20	-69814.54
21	21	1010
20	22	-55219
19	23	1010
18	24	1010
30	13	10352.48
29	14	-1220.11
28	15	-7539.175
27	16	-18189.382
26	17	-26811.319
25	18	-36281.219
24	19	-47346.314
23	20	-60164.035
22	21	1010
21	22	-49851.728
20	23	1010
19	24	1010
30	14	-478.37
29	15	-2456.33
28	16	-17335.974
27	17	-21393.735
26	18	-35631.333
25	19	-41963.424
24	20	-58129.15
23	21	-64874.947
22	22	1010
21	23	-48531
20	24	1010
19	25	1010
31	14	6211.25
30	15	-2527.38
29	16	-11992.472
28	17	-21038.54
27	18	-30363.749
26	19	-40180.126
25	20	-50873.515
24	21	-61249.725
23	22	1010
22	23	1010
21	24	1010
20	25	1010
19	26	1010
31	15	2645.86
30	16	-11270.3
29	17	-15092.078
28	18	-30179.068
27	19	-32808.957
26	20	-50565.917
25	21	-52333.564
24	22	-71913.254
23	23	1010
22	24	-54502
21	25	1010
20	26	1010
32	15	5503.15
31	16	-5615.97
30	17	-14142.79
29	18	-24145.094
28	19	-33112.373
27	20	-43682.803
26	21	-52657.86
25	22	-62774.489
24	23	-75798.634
23	24	1010
22	25	-55557
21	26	1010
20	27	1010
32	16	-2584.19
31	17	-7703
30	18	-22053.74
29	19	-25796.088
28	20	-42151.689
27	21	-46009.816
26	22	-60068.766
25	23	-66290.874
24	24	1010
23	25	1010
22	26	1010
21	27	1010
20	28	1010
33	16	5114.85
32	17	-4885.08
31	18	-15659.23
30	19	-23179.716
29	20	-35204.692
28	21	-44681.743
27	22	-53913.576
26	23	-62844.7
25	24	-75228.885
24	25	1010
23	26	-54390
22	27	1010
21	28	1010
33	17	3219.9
32	18	-12964.74
31	19	-16727.304
30	20	-32118.16
29	21	-35781.103
28	22	-52542.975
27	23	-54760.837
26	24	-71871.907
25	25	-77873.601
24	26	-54310
23	27	-55553
22	28	1010
34	17	4011.73
33	18	-5209.56
32	19	-14670.46
31	20	-26305.466
30	21	-33069.636
29	22	-44662.934
28	23	-54607.87
27	24	-63111.949
26	25	-75889.405
25	26	-50207.187
24	27	-57616
23	28	1010
34	18	-3144.63
33	19	-7277.22
32	20	-24220.523
31	21	-26177.471
30	22	-40609.884
29	23	-47310.833
28	24	-61284.495
27	25	-67077.861
26	26	1010
25	27	-48718
24	28	1010
23	29	1010
35	18	2142.76
34	19	-4725.77
33	20	-17160.18
32	21	-24495.668
31	22	-33357.12
30	23	-43428.607
29	24	-54644.149
28	25	-63464.351
27	26	1010
26	27	-50463.803
25	28	1010
24	29	1010
35	19	848.16
34	20	-15345.25
33	21	-17931.016
32	22	-31288.376
31	23	-34680.859
30	24	-52531.474
29	25	-55258.867
28	26	-73225.547
27	27	1010
26	28	-56055
25	29	1010
24	30	1010
36	19	2041.83
35	20	-9821.98
34	21	-15254.529
33	22	-25125.48
32	23	-32676.897
31	24	-44075.498
30	25	-54754.658
29	26	-64388.649
28	27	1010
27	28	-50336.825
26	29	1010
25	30	1010
37	19	6811.1
36	20	-8815.63
35	21	-9767.08
34	22	-22952.81
33	23	-25827.227
32	24	-40040.47
31	25	-47626.243
30	26	-61378.734
29	27	-67265.519
28	28	1010
27	29	-51632
26	30	1010
25	31	1010
37	20	-4267.4
36	21	-8740.84
35	22	-16783.658
34	23	-24105.559
33	24	-32413.368
32	25	-43038.761
31	26	-54110.042
30	27	-63919.359
29	28	1010
28	29	-52693
27	30	1010
26	31	1010
38	20	-3669.03
37	21	-4509.12
36	22	-16190.38
35	23	-18871.573
34	24	-31015.906
33	25	-33827.653
32	26	-51829.299
31	27	-54944.285
30	28	-73446.019
29	29	1010
28	30	-59857
27	31	1010
26	32	1010
38	21	-4086.98
37	22	-11740.08
36	23	-18076.125
35	24	-25574.8
34	25	-32702.307
33	26	-42653.964
32	27	-53099.531
31	28	-64455.496
30	29	1010
29	30	-53027
28	31	1010
27	32	1010
39	21	105.22
38	22	-11434.1
37	23	-12950.4
36	24	-24764.748
35	25	-27343.113
34	26	-40528.505
33	27	-45582.407
32	28	-61382.032
31	29	-68228.029
30	30	1010
29	31	-53123
28	32	1010
27	33	1010
40	21	-273.23
39	22	-7017.49
38	23	-13156.53
37	24	-19883.547
36	25	-26428.428
35	26	-34602.751
34	27	-43160.511
33	28	-53312.228
32	29	-64473.514
31	30	1010
30	31	-53348
29	32	1010
28	33	1010
40	22	-7122
39	23	-8723.03
38	24	-19986.74
37	25	-21627.27
36	26	-33956.014
35	27	-36230.331
34	28	-52888.946
33	29	-55187.865
32	30	-72550.066
31	31	-46137
30	32	-59969
29	33	1010
41	22	-2745.57
40	23	-8537.42
39	24	-15218.641
38	25	-21542.822
37	26	-28618.732
36	27	-35779.358
35	28	-45226.303
34	29	-54707.237
