N	Z	Q(b4n)
33	30	-63404.199
32	31	-45796.876
31	32	-54184
30	33	1010
41	23	-3652.13
40	24	-15631.7
39	25	-16748.87
38	26	-28468.117
37	27	-30167.569
36	28	-43443.085
35	29	-48959.214
34	30	-61372.979
33	31	1010
32	32	-51670
31	33	1010
30	34	1010
42	23	-3793.51
41	24	-10714.75
40	25	-17229.906
39	26	-23339.914
38	27	-29656.826
37	28	-37941.445
36	29	-46892.609
35	30	-54960.34
34	31	1010
33	32	-44573.165
32	33	1010
31	34	1010
43	23	468.07
42	24	-10448.27
41	25	-12973.917
40	26	-23395.196
39	27	-24490.599
38	28	-37758.775
37	29	-39831.087
36	30	-54723.95
35	31	-56132.2
34	32	-44737.956
33	33	-49724
32	34	1010
43	24	-5936.21
42	25	-12991.74
41	26	-19223.925
40	27	-24450.066
39	28	-32986.061
38	29	-39872.032
37	30	-47158.181
36	31	-56105.312
35	32	1010
34	33	-46051.936
33	34	1010
32	35	1010
44	24	-5925.82
43	25	-7973.3
42	26	-19011.047
41	27	-19310.487
40	28	-32852.7
39	29	-34324.998
38	30	-45437.5
37	31	-50585.347
36	32	1010
35	33	-41037.077
34	34	1010
33	35	1010
44	25	-6988.6
43	26	-14438.01
42	27	-19249.207
41	28	-27394.046
40	29	-34584.063
39	30	-40348.91
38	31	-48809.476
37	32	-55982.06
36	33	1010
35	34	-46710.236
34	35	1010
33	36	1010
45	25	-3426.68
44	26	-14080.24
43	27	-15298.673
42	28	-27756.478
41	29	-28837.843
40	30	-40211.548
39	31	-41957.056
38	32	-56936.95
37	33	1010
36	34	-46440.272
35	35	1010
34	36	1010
46	25	-3857.21
45	26	-10091.02
44	27	-15587.718
43	28	-22766.582
42	29	-29384.601
41	30	-35067.138
40	31	-42035.511
39	32	-49470.51
38	33	-57635.98
37	34	1010
36	35	-48146.212
35	36	1010
34	37	1010
46	26	-10275.26
45	27	-11436.24
44	28	-23213.082
43	29	-24527.623
42	30	-35408.59
41	31	-36249.975
40	32	-48171.042
39	33	-51577.538
38	34	1010
37	35	-42020.746
36	36	1010
35	37	1010
47	26	-6807.94
46	27	-12039.82
45	28	-19242.525
44	29	-25334.995
43	30	-30799.268
42	31	-37159.031
41	32	-42834.904
40	33	-50316.061
39	34	-57787.603
38	35	1010
37	36	-47665
36	37	1010
35	38	1010
48	26	-7959.84
47	27	-8132.86
46	28	-20419.84
45	29	-20982.533
44	30	-32083.985
43	31	-32094.015
42	32	-43698.837
41	33	-43668.403
40	34	-59230.512
39	35	1010
38	36	-48703.849
37	37	1010
36	38	1010
48	27	-8242.14
47	28	-16309.42
46	29	-21722.654
45	30	-27226.288
44	31	-33394.425
43	32	-38649.024
42	33	-44863.949
41	34	-51944.533
40	35	-59509.005
39	36	-42162.929
38	37	-50707
37	38	1010
49	27	-4472.94
48	28	-16136.07
47	29	-17294.989
46	30	-27969.986
45	31	-28198.21
44	32	-39638.917
43	33	-39045.742
42	34	-50812.061
41	35	-53662.871
40	36	1010
39	37	-44438.442
38	38	1010
37	39	1010
49	28	-12089.4
48	29	-17594.45
47	30	-23492.011
46	31	-28850.652
45	32	-34591.623
44	33	-39877.924
43	34	-45389.43
42	35	-52381.193
41	36	1010
40	37	-43017.436
39	38	1010
38	39	1010
50	28	-12848.06
49	29	-13128.884
48	30	-23997.444
47	31	-24552.287
46	32	-35019.003
45	33	-35015.711
44	34	-45478.444
43	35	-45649.558
42	36	-59911.128
41	37	1010
40	38	-47820
39	39	1010
38	40	1010
51	28	-8037.97
50	29	-13708.1
49	30	-19444.966
48	31	-24938.024
47	32	-30728.785
46	33	-35594.684
45	34	-40940.38
44	35	-45857.338
43	36	-53475.422
42	37	1010
41	38	-42917
40	39	1010
39	40	1010
51	29	-8905.9
50	30	-19625.425
49	31	-20380.451
48	32	-31440.495
47	33	-31187.553
46	34	-41832.663
45	35	-41132.241
44	36	-51863.526
43	37	-55501.157
42	38	-39961.578
41	39	-44896.86
40	40	1010
52	29	-7407.73
51	30	-14834.499
50	31	-20858.217
49	32	-26848.482
48	33	-32153.697
47	34	-37259.896
46	35	-41869.877
45	36	-46531.931
44	37	-53602.408
43	38	1010
42	39	-40177.335
41	40	1010
40	41	1010
53	29	-2187.4
52	30	-13556.95
51	31	-15515.132
50	32	-27094.137
49	33	-27325.891
48	34	-38002.512
47	35	-37587.799
46	36	-47616.175
45	37	-46587.957
44	38	1010
43	39	-35370
42	40	1010
41	41	1010
53	30	-8531.44
52	31	-14202.258
51	32	-21766.132
50	33	-27860.795
49	34	-33264.147
48	35	-38873.33
47	36	-43311.432
46	37	-47341.894
45	38	-54834.511
44	39	1010
43	40	-41053
42	41	1010
41	42	1010
54	30	-7515.1
53	31	-9507.44
52	32	-20616.408
51	33	-22393.929
50	34	-34306.866
49	35	-34117.539
48	36	-44367.315
47	37	-43511.545
46	38	-53691.229
45	39	1010
44	40	-40606
43	41	1010
42	42	1010
55	30	-2387.46
54	31	-8445.32
53	32	-15301.436
52	33	-21624.138
51	34	-28782.207
50	35	-35176.368
49	36	-40332.57
48	37	-44918.504
47	38	-49053.183
46	39	-55040.248
45	40	1010
44	41	-42050.923
43	42	1010
42	43	1010
55	31	-3149.08
54	32	-14041.02
53	33	-16126.016
52	34	-27993.395
51	35	-29351.826
50	36	-41181.695
49	37	-40930.841
48	38	-51027.36
47	39	-49756.296
46	40	1010
45	41	-36432.634
44	42	1010
43	43	1010
56	31	-2754.12
55	32	-8490.24
54	33	-14718.732
53	34	-22566.378
52	35	-28473.375
51	36	-36003.671
50	37	-41952.287
49	38	-46916.8
48	39	-51504.64
47	40	-57007.494
46	41	1010
45	42	-43512.764
44	43	1010
43	44	1010
56	32	-8544.34
55	33	-8927.91
54	34	-20399.197
53	35	-23133.713
52	36	-34245.101
51	37	-36030.743
50	38	-47966.53
49	39	-47191.662
48	40	-57165.082
47	41	1010
46	42	-43326.229
45	43	1010
44	44	1010
57	32	-4779.22
56	33	-8483.8
55	34	-14500.428
54	35	-21178.728
53	36	-28914.066
52	37	-34647.329
51	38	-42227.769
50	39	-48778.01
49	40	-52993.166
48	41	-58200.22
47	42	1010
46	43	-42831
45	44	1010
44	45	1010
58	32	-4070.97
57	33	-4999.26
56	34	-14125.259
55	35	-14621.848
54	36	-26831.63
53	37	-28873.873
52	38	-40421.666
51	39	-42638.142
50	40	-53926.216
49	41	-52745.316
48	42	1010
47	43	-38708.894
46	44	1010
45	45	1010
58	33	-4627.81
57	34	-10382.18
56	35	-14300.429
55	36	-20189.719
54	37	-26841.409
53	38	-34241.71
52	39	-40954.529
51	40	-48147.442
50	41	-54042.273
49	42	-59864.499
48	43	1010
47	44	-44146
46	45	1010
45	46	1010
59	33	-1276.7
58	34	-10416.57
57	35	-10477.295
56	36	-20012.056
55	37	-20794.952
54	38	-32449.328
53	39	-34963.704
52	40	-46283.685
51	41	-47983.528
50	42	-59408.775
49	43	1010
48	44	-45005.114
47	45	1010
46	46	1010
59	34	-6768.14
58	35	-10715.144
57	36	-16551.911
56	37	-20479.337
55	38	-26593.709
54	39	-33214.373
53	40	-40388.479
52	41	-46266.735
51	42	-53321.703
50	43	-60514.474
49	44	1010
48	45	-45100
47	46	1010
46	47	1010
60	34	-6645.9
59	35	-7094.08
58	36	-16396.302
57	37	-16791.941
56	38	-26229.426
55	39	-27783.501
54	40	-38333.834
53	41	-40129.034
52	42	-51680.948
51	43	-53172.524
50	44	1010
49	45	-39867.567
48	46	1010
47	47	1010
61	34	-3048.56
60	35	-6956.52
59	36	-12807.891
58	37	-16632.11
57	38	-22751.943
56	39	-27278.212
55	40	-33148.59
54	41	-38503.793
53	42	-45719.338
52	43	-51914.029
51	44	-60059.331
50	45	1010
49	46	-46547
48	47	1010
47	48	1010
61	35	-3185.28
60	36	-12790.907
59	37	-12967.586
58	38	-22099.892
57	39	-23736.743
56	40	-33023.953
55	41	-32974.79
54	42	-43700.652
53	43	-45603.182
52	44	-57557.143
51	45	1010
50	46	-46340.523
49	47	1010
48	48	1010
62	35	-3641.81
61	36	-8730.731
60	37	-12968.997
59	38	-18479.195
58	39	-22583.823
57	40	-29647.379
56	41	-32845.539
55	42	-38064.418
54	43	-43888.798
53	44	-51292.33
52	45	-58740.271
51	46	1010
50	47	-46765
49	48	1010
48	49	1010
63	35	-1149.75
62	36	-9201.24
61	37	-9521.647
60	38	-18293.186
59	39	-18462.466
58	40	-28581.689
57	41	-29167.653
56	42	-38068.367
55	43	-37776.09
54	44	-49378.343
53	45	-51341.587
52	46	1010
51	47	-41115
50	48	1010
49	49	1010
63	36	-7054.08
62	37	-9584.461
61	38	-15393.74
60	39	-18417.966
59	40	-24409.531
58	41	-28576.045
57	42	-34017.084
56	43	-37868.138
55	44	-43197.434
54	45	-49534.785
53	46	-57827.026
52	47	1010
51	48	-45768
50	49	1010
49	50	1010
64	36	-8051.37
63	37	-7495.89
62	38	-16087.786
61	39	-16400.719
60	40	-24725.608
59	41	-24972.834
58	42	-34456.73
57	43	-33986.604
56	44	-43405.549
55	45	-43110.692
54	46	-54862.446
53	47	1010
52	48	-42951.624
51	49	1010
50	50	1010
65	36	-4618.93
64	37	-8131.65
63	38	-13747.76
62	39	-17275.273
61	40	-22138.5
60	41	-25537.026
59	42	-30307.726
58	43	-34253.9
57	44	-39283.761
56	45	-43420.189
55	46	-48240.823
54	47	-56049.888
53	48	-37906
52	49	-45482.85
51	50	1010
65	37	-5374.28
64	38	-13817.57
63	39	-14457.654
62	40	-22626.423
61	41	-22285.448
60	42	-31028.073
59	43	-30335.789
58	44	-39908.523
57	45	-39303.412
56	46	-48459.082
55	47	-47987.98
54	48	-38428.199
53	49	-37556.41
52	50	1010
66	37	-4982.33
65	38	-10778.15
64	39	-15022.659
63	40	-19479.557
62	41	-23103.017
61	42	-27528.224
60	43	-30986.952
59	44	-35603.995
58	45	-39698.2
57	46	-44451.292
56	47	-47912.985
55	48	1010
54	49	-38357.52
53	50	1010
52	51	1010
66	38	-10732.22
65	39	-11541.19
64	40	-19641.498
63	41	-19530.828
62	42	-28245.858
61	43	-27153.531
60	44	-36468.362
59	45	-35618.666
58	46	-44922.623
57	47	-44435.357
56	48	1010
55	49	-34722.553
54	50	1010
53	51	1010
67	38	-7324.45
66	39	-11662.24
65	40	-16422.19
64	41	-19899.277
63	42	-24849.109
62	43	-28247.301
61	44	-32460.265
60	45	-36332.632
59	46	-40913.79
58	47	-45072.581
57	48	-49826.956
56	49	1010
55	50	-40128.896
54	51	1010
53	52	1010
68	38	-7386.14
67	39	-8392.54
66	40	-16635.97
65	41	-16357.684
64	42	-25324.995
63	43	-24479.34
62	44	-33477.895
61	45	-32415.854
60	46	-41501.692
59	47	-40985.927
58	48	-50537.363
57	49	1010
56	50	-40757.769
55	51	1010
54	52	1010
69	38	-4170.82
68	39	-8394.31
67	40	-13097.41
66	41	-16590.122
65	42	-21563.536
64	43	-25055.412
63	44	-29630.985
62	45	-33387.768
61	46	-37510.632
60	47	-41532.267
59	48	-46272.08
58	49	-50236.351
57	50	1010
56	51	-41371.343
55	52	1010
54	53	1010
69	39	-5296.16
68	40	-13583.92
67	41	-13027.347
66	42	-21942.373
65	43	-21500.587
64	44	-30247.228
63	45	-29530.32
62	46	-38379.293
61	47	-37476.207
60	48	-46901.84
59	49	-46614.518
58	50	1010
57	51	-37348.279
56	52	1010
55	53	1010
70	39	-5332.19
69	40	-10290.93
68	41	-13223.146
67	42	-18345.91
66	43	-21939.614
65	44	-26471.056
64	45	-30426.794
63	46	-34408.989
62	47	-38133.591
61	48	-42823.222
60	49	-47440.038
59	50	-52362.33
58	51	1010
57	52	-41959.207
56	53	1010
55	54	1010
70	40	-10736.33
69	41	-10070.29
68	42	-18710.692
67	43	-18465.555
66	44	-27174.998
65	45	-26686.101
64	46	-35360.936
63	47	-34262.526
62	48	-43518.5
61	49	-43134.251
60	50	-53499.57
59	51	1010
58	52	-43235.928
57	53	1010
56	54	1010
71	40	-7966.44
70	41	-10535.31
69	42	-15246.949
68	43	-18951.331
67	44	-23564.926
66	45	-27732.008
65	46	-31454.861
64	47	-35305.79
63	48	-39636.098
62	49	-43917.343
61	50	-49254.363
60	51	-53629.519
59	52	-39123.929
58	53	-43207.811
57	54	1010
72	40	-8183.25
71	41	-7567.77
70	42	-15620.79
69	43	-15460.054
68	44	-24210.956
67	45	-23913.665
66	46	-32669.642
65	47	-31334.222
64	48	-40539.544
63	49	-39772.041
62	50	-50090.686
61	51	-49762.247
60	52	1010
59	53	-39065.378
58	54	1010
57	55	1010
72	41	-7945.8
71	42	-12495.36
70	43	-15918.407
69	44	-20661.467
68	45	-24856.675
67	46	-28635.202
66	47	-32447.708
65	48	-36517.949
64	49	-40471.131
63	50	-45942.464
62	51	-50925.967
61	52	1010
60	53	-40125.604
59	54	1010
58	55	1010
73	41	-4801.95
72	42	-12817.17
71	43	-12593.91
70	44	-21121.491
69	45	-21115.897
68	46	-29770.035
67	47	-28541.607
66	48	-37205.715
65	49	-36518.741
64	50	-46977.001
63	51	-46272.875
62	52	-55505.61
61	53	1010
60	54	-43927.239
59	55	1010
58	56	1010
74	41	-5303.12
73	42	-9684.17
72	43	-13158.04
71	44	-17777.241
70	45	-21964.383
69	46	-25855.592
68	47	-29930.272
67	48	-33590.165
66	49	-37209.1
65	50	-43120.31
64	51	-47394.754
63	52	-51163.882
62	53	1010
61	54	-40871
60	55	1010
59	56	1010
74	42	-10043.24
73	43	-9859.85
72	44	-18252.612
71	45	-18230.856
70	46	-26867.666
69	47	-25781.737
68	48	-34755.43
67	49	-33358.071
66	50	-44011.981
65	51	-43179.193
64	52	-52138.725
63	53	-51428.982
62	54	1010
61	55	-39809
60	56	1010
59	57	1010
75	42	-7214.95
74	43	-10361.21
73	44	-14775.053
72	45	-19090.355
71	46	-23134.014
70	47	-26746.876
69	48	-30803.552
68	49	-34227.17
67	50	-39777.938
66	51	-44390.659
65	52	-47836.266
64	53	-52661.963
63	54	1010
62	55	-42087.404
61	56	1010
60	57	1010
75	43	-7563.67
74	44	-15816.06
73	45	-15330.264
72	46	-24110.002
71	47	-23253.401
70	48	-31911.84
69	49	-30415.345
68	50	-40595.32
67	51	-40044.886
66	52	-48836.182
65	53	-47866.961
64	54	-57219.689
63	55	-37987
62	56	-46982
61	57	1010
76	43	-8120.07
75	44	-12415.19
74	45	-16242.03
73	46	-20267.762
72	47	-24179.864
71	48	-28153.966
70	49	-31672.787
69	50	-37040.216
68	51	-41273.14
67	52	-44842.357
66	53	-48833.857
65	54	-52965.951
64	55	1010
63	56	-42016
62	57	1010
61	58	1010
77	43	-5435.96
76	44	-13506.34
75	45	-12966.23
74	46	-21512.017
73	47	-20680.757
72	48	-29436.103
71	49	-28032.38
70	50	-38169.748
69	51	-37099.836
68	52	-46161.68
67	53	-44493.763
66	54	-54114.695
65	55	1010
64	56	-44035
63	57	1010
62	58	1010
77	44	-10266.68
76	45	-14404.18
75	46	-17958.507
74	47	-21843.395
73	48	-25783.952
72	49	-29419.447
71	50	-34494.641
70	51	-38389.206
69	52	-41861.279
68	53	-45897.245
67	54	-49764.564
66	55	-53515.875
65	56	1010
64	57	-42904
63	58	1010
62	59	1010
78	44	-11336.24
77	45	-10833.24
76	46	-19094.291
75	47	-18276.975
74	48	-27084.699
73	49	-25705.889
72	50	-36136.091
71	51	-34433.264
70	52	-43102.64
69	53	-41913.594
68	54	-50606.968
67	55	-49617.755
66	56	1010
65	57	-39346
64	58	1010
63	59	1010
79	44	-8362.89
78	45	-11951.99
77	46	-15893.8
76	47	-19378.427
75	48	-23489.516
74	49	-27146.104
73	50	-32195.155
72	51	-35733.529
71	52	-39147.085
70	53	-42658.107
69	54	-46811.998
68	55	-50101.443
67	56	-54388
66	57	-40175
65	58	-43947
64	59	1010
80	44	-9625.66
79	45	-8925.93
78	46	-17030.56
77	47	-16165.722
76	48	-24701.364
75	49	-23424.81
74	50	-33471.153
73	51	-31897.911
72	52	-40316.707
71	53	-38776.843
70	54	-47516.928
69	55	-46450.03
68	56	-55038.165
67	57	1010
66	58	-44954
65	59	1010
64	60	1010
80	45	-10008.55
79	46	-14005.81
78	47	-17181.353
77	48	-21234.334
76	49	-24796.531
75	50	-29850.334
74	51	-33313.7
73	52	-36408.71
72	53	-39887.773
71	54	-43543.002
70	55	-47089.525
69	56	-50997.481
68	57	1010
67	58	-41200
66	59	1010
65	60	1010
81	45	-7049.76
80	46	-15002.35
79	47	-14144.44
78	48	-22444.143
77	49	-21363.983
76	50	-31225.14
75	51	-29637.767
74	52	-37603.997
73	53	-36115.646
72	54	-44414.352
71	55	-43450.313
70	56	-51868.924
69	57	-50809.91
68	58	1010
67	59	-41302
66	60	1010
65	61	1010
81	46	-11917.09
80	47	-15093.49
79	48	-18742.165
78	49	-22545.849
77	50	-27646.953
76	51	-31090.327
75	52	-33882.044
74	53	-37225.129
73	54	-40655.596
72	55	-44177.817
71	56	-47855.096
70	57	-51459.772
69	58	1010
68	59	-42085
67	60	1010
66	61	1010
82	46	-12748.66
81	47	-12277.09
80	48	-19991.25
79	49	-19344.349
78	50	-29081.408
77	51	-27564.957
76	52	-34948.816
75	53	-33587.422
74	54	-41447.053
73	55	-40260.287
72	56	-48698.077
71	57	-47411.503
70	58	-56084.161
69	59	1010
68	60	-47031
67	61	1010
66	62	1010
82	47	-13140.51
81	48	-16825.72
80	49	-20375.11
79	50	-25716.136
78	51	-29007.45
77	52	-31565.315
76	53	-34716.205
75	54	-38169.685
74	55	-41274.734
73	56	-44682.815
72	57	-48409.907
