N	Z	Q(bn)
80	51	-2700.276
79	52	-6346.176
78	53	-5633.642
77	54	-9585.202
76	55	-8868.458
75	56	-13127.876
74	57	-12417.666
73	58	-16604.304
72	59	-15775.743
71	60	-20443
70	61	-20488
69	62	-24381
68	63	1010
84	48	9690.35
83	49	6791.9
82	50	-2633.32
81	51	-2495.877
80	52	-5816.715
79	53	-5361.177
78	54	-9291.405
77	55	-8543.648
76	56	-12737.048
75	57	-12086.509
74	58	-16241.619
73	59	-15516.766
72	60	-19574
71	61	-19566
70	62	-23881
69	63	1010
85	48	10418
84	49	11008.39
83	50	690.05
82	51	-1805.637
81	52	-5299.889
80	53	-4678.93
79	54	-8558.64
78	55	-7707.263
77	56	-11901.276
76	57	-11094.738
75	58	-15276.044
74	59	-14583.088
73	60	-18775.726
72	61	-18400
71	62	-23078
70	63	1010
69	64	1010
85	49	11142.66
84	50	4418.961
83	51	840.205
82	52	-4720.743
81	53	-4486.849
80	54	-8124.689
79	55	-7408.879
78	56	-11526.985
77	57	-10871.75
76	58	-14966.628
75	59	-14266.939
74	60	-18310.101
73	61	-17579
72	62	-22211
71	63	-21979
70	64	1010
86	49	11832.67
85	50	5316.982
84	51	4775.054
83	52	-1740.07
82	53	-3735.973
81	54	-7596.932
80	55	-6703.072
79	56	-10703.385
78	57	-9881.932
77	58	-14159.686
76	59	-13360.742
75	60	-17546.174
74	61	-16721.709
73	62	-21000
72	63	-20916
71	64	1010
70	65	1010
86	50	5719.51
85	51	5146.746
84	52	1291.834
83	53	-1200.026
82	54	-6918.658
81	55	-6559.516
80	56	-10314.95
79	57	-9492.44
78	58	-13644.043
77	59	-13198.13
76	60	-17243.676
75	61	-16394.601
74	62	-20734
73	63	-20023
72	64	-24336
71	65	1010
87	50	6650.35
86	51	6324.351
85	52	2169.939
84	53	2001.586
83	54	-4115.802
82	55	-5730.001
81	56	-9755.288
80	57	-8703.63
79	58	-12649.699
78	59	-12073.869
77	60	-16475.379
76	61	-15333.273
75	62	-19854
74	63	-19100
73	64	-23226
72	65	1010
88	50	7098
87	51	6693.71
86	52	2588.734
85	53	2332.189
84	54	-1497.723
83	55	-3236.912
82	56	-9192.27
81	57	-8674.409
80	58	-12438.22
79	59	-11618.487
78	60	-16016.777
77	61	-14985.271
76	62	-19450.093
75	63	-18608
74	64	-22761
73	65	1010
72	66	1010
88	51	7836.81
87	52	3703.507
86	53	3441.888
85	54	-828.845
84	55	-510.601
83	56	-6463.394
82	57	-7731.162
81	58	-11889.78
80	59	-10874.146
79	60	-15145.479
78	61	-14074.16
77	62	-18701.867
76	63	-17813
75	64	-22034
74	65	-21271
73	66	1010
89	51	8195.03
88	52	4030.989
87	53	3977.371
86	54	-356.631
85	55	-207.674
84	56	-4112.961
83	57	-5439.357
82	58	-11329.36
81	59	-10747.846
80	60	-14824.48
79	61	-13899.668
78	62	-18129.21
77	63	-17425.663
76	64	-21723
75	65	-20912
74	66	1010
73	67	1010
89	52	5037
88	53	5010.84
87	54	781.717
86	55	721.766
85	56	-3485.853
84	57	-2926.747
83	58	-8816.14
82	59	-9833.964
81	60	-14056.148
80	61	-13138.304
79	62	-17019.246
78	63	-16214.666
77	64	-20813.267
76	65	-19782
75	66	-24195
74	67	1010
90	52	5463
89	53	5355.994
88	54	1176.192
87	55	1143.634
86	56	-2979.444
85	57	-2659.139
84	58	-6587.63
83	59	-7666.165
82	60	-13498.287
81	61	-13279.513
80	62	-17132.3
79	63	-16160.701
78	64	-20490
77	65	-19248
76	66	-23826
75	67	1010
74	68	1010
91	52	6421
90	53	6531.45
89	54	2243.643
88	55	2097.747
87	56	-1984.562
86	57	-1710.016
85	58	-5889.284
84	59	-5189.462
83	60	-10931.394
82	61	-12045.182
81	62	-16274.413
80	63	-15353.1
79	64	-19743.107
78	65	-18371.242
77	66	-22990
76	67	-22267
75	68	1010
91	53	6851.26
90	54	2730.055
89	55	2595.243
88	56	-1666.968
87	57	-1314.753
86	58	-5435.054
85	59	-4819.59
84	60	-8858.693
83	61	-9970.544
82	62	-15795.469
81	63	-15459.116
80	64	-19411.643
79	65	-18270.559
78	66	-22593.569
77	67	-21588
76	68	1010
75	69	1010
92	53	7861.65
91	54	3705.859
90	55	3639.958
89	56	-737.841
88	57	-474.861
87	58	-4387.849
86	59	-3949.287
85	60	-8087.225
84	61	-7373.193
83	62	-13103.446
82	63	-14303.356
81	64	-18627.178
80	65	-17803.161
79	66	-21704.403
78	67	-20584
77	68	-25056
76	69	1010
92	54	4029.551
91	55	3875.91
90	56	-176.303
89	57	-51.205
88	58	-4080.56
87	59	-3320.205
86	60	-7729.745
85	61	-6874.29
84	62	-11075.976
83	63	-12264.698
82	64	-17854.923
81	65	-17592.132
80	66	-21506.128
79	67	-20233.206
78	68	-24811
77	69	1010
93	54	4891.43
92	55	4850.784
91	56	711.481
90	57	885.362
89	58	-3404.471
88	59	-2589.58
87	60	-6763.747
86	61	-6117.046
85	62	-10219.909
84	63	-9530.184
83	64	-15664.486
82	65	-16258.912
81	66	-21029.135
80	67	-19506.396
79	68	-23787.406
78	69	1010
94	54	4945.41
93	55	4896.235
92	56	1013.34
91	57	1233.825
90	58	-3025.69
89	59	-2460.051
88	60	-6437.195
87	61	-5670.378
86	62	-9862.987
85	63	-9014.117
84	64	-13598.131
83	65	-14406.564
82	66	-20167.439
81	67	-19454.669
80	68	-23575.902
79	69	1010
78	70	1010
94	55	5761
93	56	1616.5
92	57	2107.15
91	58	-2205.868
90	59	-1702.877
89	60	-5581.52
88	61	-4798.932
87	62	-8907.036
86	63	-8242.477
85	64	-12666.787
84	65	-11706.96
83	66	-17779.57
82	67	-18254.763
81	68	-23048
80	69	-21755
79	70	1010
95	55	6134
94	56	1894
93	57	2215.75
92	58	-1878.799
91	59	-1996.438
90	60	-5686.716
89	61	-4532.68
88	62	-8681.302
87	63	-7736.39
86	64	-12346.063
85	65	-11477.561
84	66	-15718.305
83	67	-16275.537
82	68	-22020
81	69	-21363
80	70	1010
79	71	1010
96	55	7326
95	56	2920
94	57	3046.48
93	58	-995.97
92	59	-1171.707
91	60	-5417.164
90	61	-4406.24
89	62	-7855.094
88	63	-6959.691
87	64	-11153.628
86	65	-10384.832
85	66	-14877.603
84	67	-13862.618
83	68	-19846.567
82	69	-20210.411
81	70	-24974
80	71	1010
96	56	3563
95	57	3617
94	58	-348.91
93	59	-887.064
92	60	-4834.676
91	61	-4749.254
90	62	-8181.307
89	63	-6770.731
88	64	-11154.66
87	65	-10035.496
86	66	-14566.679
85	67	-13404.07
84	68	-17787.532
83	69	-18299.582
82	70	-24284
81	71	1010
97	56	4541
96	57	4746
95	58	663.29
94	59	508.973
93	60	-4148.058
92	61	-3956.941
91	62	-7742.994
90	63	-6731.359
89	64	-10236.957
88	65	-9266.318
87	66	-13614.862
86	67	-12589.672
85	68	-16772.922
84	69	-15740
83	70	-21857
82	71	1010
81	72	1010
97	57	5193
96	58	1146.74
95	59	1064.55
94	60	-3108.12
93	61	-4003.59
92	62	-7159.515
91	63	-6926.574
90	64	-10463.711
89	65	-9084.423
88	66	-13452.697
87	67	-12238.45
86	68	-16686.944
85	69	-15290.038
84	70	-19580
83	71	-20484
82	72	1010
98	57	6096
97	58	2197.83
96	59	2197.835
95	60	-1863.694
94	61	-2556.698
93	62	-6524.304
92	63	-6183.136
91	64	-9984.884
90	65	-8927.11
89	66	-12586.963
88	67	-11505.545
87	68	-15853.131
86	69	-14765.029
85	70	-18858.6
84	71	-17888
83	72	1010
82	73	1010
98	58	2473
97	59	2644.76
96	60	-1605.03
95	61	-2044.764
94	62	-5616.868
93	63	-6087.216
92	64	-9356.134
91	65	-9006.452
90	66	-12560.5
89	67	-11340.671
88	68	-15655.861
87	69	-14397.613
86	70	-18779.677
85	71	-17458.648
84	72	-21948
83	73	1010
99	58	3488
98	59	3861.78
97	60	-369.22
96	61	-1005.627
95	62	-4663.726
94	63	-4995.336
93	64	-8804.044
92	65	-8305.755
91	66	-12016.612
90	67	-10691.504
89	68	-14631.753
88	69	-13549.041
87	70	-17746.903
86	71	-16660
85	72	-20921
84	73	1010
83	74	1010
99	59	4061
98	60	171.52
97	61	-482.947
96	62	-3863.234
95	63	-4503.663
94	64	-7997.432
93	65	-8117.621
92	66	-11646.905
91	67	-10868.305
90	68	-14638.955
89	69	-13349.001
88	70	-17624.832
87	71	-16380.789
86	72	-20530
85	73	-19527
84	74	1010
100	59	4895
99	60	1210.61
98	61	624.644
97	62	-3023.901
96	63	-3425.29
95	64	-7162.162
94	65	-7196.797
93	66	-11051.18
92	67	-10096.17
91	68	-13928.285
90	69	-12631.489
89	70	-16697.775
88	71	-15677.406
87	72	-19757.491
86	73	-18821
85	74	1010
84	75	1010
100	60	1349
99	61	1134.67
98	62	-2263.229
97	63	-2990.975
96	64	-6480.604
95	65	-6740.589
94	66	-10414.08
93	67	-9892.576
92	68	-13565.15
91	69	-12534.587
90	70	-16527.614
89	71	-15488.495
88	72	-19558.318
87	73	-18458.24
86	74	-22710
85	75	1010
101	60	2343
100	61	1927.52
99	62	-1262.816
98	63	-1921.892
97	64	-5740.797
96	65	-5860.718
95	66	-9744.387
94	67	-9203.621
93	68	-12969.587
92	69	-11805.12
91	70	-15640.504
90	71	-14702.394
89	72	-18512.564
88	73	-17396
87	74	-21696
86	75	1010
85	76	1010
101	61	2231
100	62	-809.41
99	63	-1260.9
98	64	-4890.081
97	65	-5691.469
96	66	-9054.954
95	67	-8911.825
94	68	-12505.818
93	69	-11708.67
92	70	-15335.479
91	71	-14587.671
90	72	-18538.917
89	73	-17295.975
88	74	-21181
87	75	-20353
86	76	1010
102	61	3209
101	62	-96.59
100	63	-430.59
99	64	-3710.535
98	65	-4485.918
97	66	-8410.375
96	67	-8115.409
95	68	-11761.41
94	69	-10972.387
93	70	-14538.812
92	71	-13693.665
91	72	-17554.986
90	73	-16605.697
89	74	-20477.909
88	75	-19576
87	76	1010
102	62	466
101	63	-91
100	64	-3250.21
99	65	-3768.12
98	66	-7660.673
97	67	-7885.511
96	68	-11285.322
95	69	-10675.789
94	70	-14297.486
93	71	-13449.716
92	72	-17354.834
91	73	-16445.763
90	74	-20291.754
89	75	-19209.331
88	76	1010
87	77	1010
103	62	1455
102	63	1017
101	64	-2480
100	65	-2669.96
99	66	-6701.848
98	67	-7028.001
97	68	-10687.991
96	69	-9982.548
95	70	-13724.33
94	71	-12695.334
93	72	-16424.026
92	73	-15691.036
91	74	-19409.541
90	75	-18243
89	76	-22330
88	77	1010
103	63	1486
102	64	-2035
101	65	-2343.5
100	66	-5756.528
99	67	-6621.516
98	68	-10068.077
97	69	-9663.838
96	70	-13224.354
95	71	-12456.788
94	72	-16082.698
93	73	-15307.897
92	74	-19315.799
91	75	-18169.795
90	76	-21865
89	77	1010
88	78	1010
104	63	2575
103	64	-1001
102	65	-1414.87
101	66	-4931.76
100	67	-5426.783
99	68	-9474.132
98	69	-9020.093
97	70	-12641.236
96	71	-11713.459
95	72	-15441.297
94	73	-14534.218
93	74	-18277
92	75	-17477.67
91	76	-21219.435
90	77	-20357
89	78	1010
104	64	-508
103	65	-863.26
102	66	-4350.26
101	67	-4841.31
100	68	-8517.971
99	69	-8793.769
98	70	-12151.631
97	71	-11670.947
96	72	-15080.814
95	73	-14365.945
94	74	-18121.968
93	75	-17364.048
92	76	-20980.485
91	77	-19982.765
90	78	1010
105	64	499
104	65	160.07
103	66	-3608.2
102	67	-3878.196
101	68	-7680.611
100	69	-7765.52
99	70	-11381.03
98	71	-10794.861
97	72	-14394.299
96	73	-13468.893
95	74	-17194.152
94	75	-16493.594
93	76	-20077.405
92	77	-19091
91	78	1010
90	79	1010
105	65	803
104	66	-2936.82
103	67	-3387.77
102	68	-6904.768
101	69	-7490.517
100	70	-10751.945
99	71	-10661.459
98	72	-14034.74
97	73	-13291.263
96	74	-16952.628
95	75	-16266.142
94	76	-19920
93	77	-18918
92	78	-22588
91	79	1010
106	65	1560
105	66	-2021.61
104	67	-2481.61
103	68	-5994.414
102	69	-6518.059
101	70	-10072.309
100	71	-9647.444
99	72	-13365.002
98	73	-12501.123
97	74	-16239.65
96	75	-15395.144
95	76	-19015.292
94	77	-18183.706
93	78	-21789.288
92	79	1010
91	80	1010
106	66	-1562
105	67	-1835.99
104	68	-5343.917
103	69	-6138.179
102	70	-9497.513
101	71	-9378.11
100	72	-12753.268
99	73	-12315.201
98	74	-15918.222
97	75	-15294.405
96	76	-18898.01
95	77	-17980.749
94	78	-21601.149
93	79	-20727.262
92	80	1010
107	66	-526
106	67	-937
105	68	-4350.87
104	69	-5069.581
103	70	-8885.414
102	71	-8551.682
101	72	-12153.126
100	73	-11370.665
99	74	-15272.388
98	75	-14381.552
97	76	-18130.118
96	77	-17242.145
95	78	-20645.764
94	79	-19779
93	80	1010
107	67	-107
106	68	-3766.42
105	69	-4384.63
104	70	-8134.281
103	71	-8231.667
102	72	-11521.443
101	73	-11084.698
100	74	-14744.542
99	75	-14306.241
98	76	-17798.098
97	77	-16996.901
96	78	-20573
95	79	-19597
94	80	1010
108	67	675
107	68	-2857.36
106	69	-3437.36
105	70	-7195.762
104	71	-7392.212
103	72	-10814.394
102	73	-10252.872
101	74	-14031.018
100	75	-13364.535
99	76	-17307.76
98	77	-16147.313
97	78	-19535.7
96	79	-18840.357
95	80	1010
108	68	-2390.43
107	69	-2744.43
106	70	-6393.456
105	71	-6971.697
104	72	-10241.108
103	73	-9803.901
102	74	-13424.618
101	75	-13029.025
100	76	-16774.816
99	77	-16230.585
98	78	-19589.566
97	79	-18495.024
96	80	1010
95	81	1010
109	68	-1560
108	69	-2050.4
107	70	-5671.876
106	71	-5878.681
105	72	-9588.98
104	73	-9146.755
103	74	-12710.155
102	75	-12242.543
101	76	-16161.116
100	77	-15185.004
99	78	-19045.149
98	79	-17843.083
97	80	-21435.193
96	81	1010
109	69	-1202.4
108	70	-5379.377
107	71	-5528.054
106	72	-8792
105	73	-8969.97
104	74	-12211.526
103	75	-11775.527
102	76	-15567.862
101	77	-14952.761
100	78	-18523.531
99	79	-17614.848
98	80	-21063
97	81	1010
96	82	1010
110	69	22
109	70	-4269.45
108	71	-4694.555
107	72	-7935.578
106	73	-8021.718
105	74	-11715.282
104	75	-11112.177
103	76	-14838.729
102	77	-14153.362
101	78	-18013.126
100	79	-16743.633
99	80	-20201.674
98	81	-19920.426
97	82	1010
110	70	-3610.19
109	71	-4284.76
108	72	-7493.341
107	73	-7710.098
106	74	-11125.057
105	75	-10889.379
104	76	-14353.954
103	77	-13780.914
102	78	-17518.251
101	79	-16741.603
100	80	-20041.349
99	81	-19383.929
98	82	1010
111	70	-2480.93
110	71	-3086.932
109	72	-6540.398
108	73	-6874.385
107	74	-10487.416
106	75	-10230.345
105	76	-13643.75
104	77	-13107.438
103	78	-16851.397
102	79	-15692.136
101	80	-19470.156
100	81	-18940.276
99	82	1010
111	71	-2546
110	72	-5681.65
109	73	-6251.115
108	74	-9798.05
107	75	-9969.071
106	76	-13208.755
105	77	-12748.615
104	78	-16368.345
103	79	-15710.961
102	80	-18849.291
101	81	-18262.003
100	82	1010
112	71	-1735.468
111	72	-4924.18
110	73	-5119.71
109	74	-8990.81
108	75	-9273.459
107	76	-12683.682
106	77	-12106.414
105	78	-15542.898
104	79	-14683.729
103	80	-18567.738
102	81	-17833.031
101	82	1010
113	71	-1197.76
112	72	-4276.76
111	73	-4545.66
110	74	-7967.659
109	75	-8631.995
108	76	-12124.652
107	77	-11909.819
106	78	-15221.022
105	79	-14585.492
104	80	-17832.728
103	81	-17373.448
102	82	1010
101	83	1010
114	71	-457.56
113	72	-3549.564
112	73	-3760.21
111	74	-7236.542
110	75	-7637.291
109	76	-11270.309
108	77	-11068.044
107	78	-14440.749
106	79	-13589.45
105	80	-17373.649
104	81	-16777.665
103	82	-20800
102	83	1010
114	72	-3099.085
113	73	-3291.18
112	74	-6759.506
111	75	-7192.119
110	76	-10738.14
109	77	-10557.945
108	78	-14068.982
107	79	-13610.623
106	80	-16852.307
105	81	-16416.723
104	82	-20517.509
103	83	1010
102	84	1010
115	72	-2277.72
114	73	-2460.711
113	74	-6046.949
112	75	-6287.483
111	76	-10117.558
110	77	-9756.213
109	78	-13041.512
108	79	-12560.299
107	80	-16302.387
106	81	-15832.507
105	82	-19931.829
104	83	-18546.95
103	84	1010
116	72	-2050.14
115	73	-1777.063
114	74	-5522.65
113	75	-5869.186
112	76	-9661.218
111	77	-9737.646
110	78	-12872.483
109	79	-12230.474
108	80	-15839.479
107	81	-15420.815
106	82	-19502.959
105	83	-18088.703
104	84	1010
117	72	-1621
116	73	-1230.98
115	74	-4669.978
114	75	-4912.766
113	76	-8708.399
112	77	-8699.018
111	78	-12279.911
110	79	-11442.02
109	80	-15361.154
108	81	-14858.506
107	82	-18764.818
106	83	-17591.736
105	84	1010
117	73	-966.68
116	74	-4471.493
115	75	-4717.85
114	76	-8324.05
113	77	-8341.514
112	78	-11814.6
111	79	-11328.318
110	80	-14839
109	81	-14572.64
108	82	-18422.999
107	83	-17248.277
106	84	1010
118	73	-182.6
117	74	-3612.499
116	75	-3713.934
115	76	-7712.553
114	77	-7456.914
113	78	-10889.535
112	79	-10512.29
111	80	-14285.059
110	81	-13937.683
109	82	-17708.149
108	83	-16747.267
107	84	-8932.513
106	85	1010
119	73	-52
118	74	-3369.09
117	75	-3263.28
116	76	-7244.43
115	77	-7207.511
114	78	-10552.351
113	79	-10254.244
112	80	-13799.533
111	81	-13707.792
110	82	-17397.01
109	83	-16538.042
108	84	-20005.6
107	85	1010
119	74	-2768.86
118	75	-2422.74
117	76	-6629.715
116	77	-6317.458
115	78	-9777.171
114	79	-9466.181
113	80	-13261.917
112	81	-12983.092
111	82	-16730.318
110	83	-15873.615
109	84	-19366.637
108	85	1010
107	86	1010
120	74	-2362
119	75	-1912.46
118	76	-5970.19
117	77	-6123.418
116	78	-9427.949
115	79	-9221.62
114	80	-12778.054
113	81	-12814.318
112	82	-16406
111	83	-15748.37
110	84	-19008.284
109	85	-17825.774
108	86	1010
120	75	-1212.72
119	76	-5049.119
118	77	-5003.092
117	78	-8654.464
116	79	-8456.851
115	80	-12133.439
114	81	-12018.973
113	82	-15748.571
112	83	-15092.289
111	84	-18420.779
110	85	-17270.603
109	86	1010
121	75	-1101.52
120	76	-4655.774
119	77	-4712.914
118	78	-8148.757
117	79	-8211.634
116	80	-11742.994
115	81	-11854.793
114	82	-15406.408
113	83	-15019.355
112	84	-18078.026
111	85	-17034.199
110	86	1010
122	75	-294
121	76	-3942.22
120	77	-3690.195
119	78	-7353.339
118	79	-7385.529
117	80	-11115.761
116	81	-11050.556
115	82	-14810.996
114	83	-14275.814
113	84	-17516.758
112	85	-16386.585
111	86	1010
123	75	97
122	76	-3643
121	77	-3470.05
120	78	-6836.034
119	79	-7112.278
118	80	-10686.29
117	81	-10817.458
116	82	-14434.373
115	83	-14082.733
114	84	-17200
113	85	-16268.74
112	86	1010
123	76	-2734
122	77	-2565.833
121	78	-5879.69
120	79	-6211.422
119	80	-10122.856
118	81	-10080.618
117	82	-13933.509
116	83	-13395.853
115	84	-16563.551
114	85	-15664.394
113	86	1010
112	87	1010
124	76	-2450
123	77	-2291.8
122	78	-5577.218
121	79	-5765.114
120	80	-9515.51
119	81	-9887.189
118	82	-13524.397
117	83	-13228.007
116	84	-16202.197
115	85	-15559.453
114	86	-18846.99
113	87	1010
125	76	-1700
124	77	-1367.35
123	78	-4572.02
122	79	-4968.606
121	80	-8686.493
120	81	-8999.715
119	82	-12960.04
118	83	-12531.655
117	84	-15608.226
116	85	-14846.336
115	86	-18278.621
114	87	1010
113	88	1010
126	76	-1262
125	77	-1106.56
124	78	-4362.556
123	79	-4761.573
122	80	-8237.878
121	81	-8798.328
120	82	-12596.876
119	83	-12287.208
118	84	-15206.081
117	85	-14589.64
116	86	-17947
115	87	-16820
114	88	1010
126	77	-69
125	78	-3344.82
124	79	-3869.305
123	80	-7353.694
122	81	-7891.94
121	82	-12116.549
120	83	-11671.427
119	84	-14791.274
118	85	-13959.557
117	86	-17322.563
116	87	-16286.172
115	88	1010
127	77	1867
126	78	-2850
125	79	-3452.73
124	80	-7000.668
123	81	-7630.93
122	82	-11656.445
121	83	-11406.134
120	84	-14249.589
119	85	-13787.466
118	86	-16930.575
117	87	-16130.805
116	88	1010
127	78	-388
126	79	-2150.59
125	80	-6013.169
124	81	-6782.292
123	82	-11195.459
122	83	-10794.671
121	84	-13705.096
120	85	-13058.591
119	86	-16392.558
118	87	-15428.265
117	88	1010
128	78	1067
127	79	1.95
126	80	-5196.167
125	81	-6554.441
124	82	-10792.226
123	83	-10589.867
122	84	-13289.424
121	85	-12786.45
120	86	-15876.896
119	87	-15152.639
118	88	1010
117	89	1010
128	79	2068.44
127	80	-2305.921
126	81	-5319.659
125	82	-10495.08
124	83	-9937.073
123	84	-12787.635
122	85	-12182.822
121	86	-15463.536
120	87	-14481.461
119	88	-17994.205
118	89	1010
129	79	2314.72
128	80	-303.324
127	81	-2368.988
126	82	-9765.283
125	83	-9795.729
124	84	-12313.564
123	85	-11906.232
122	86	-14882.204
121	87	-14276.027
120	88	-17502.42
119	89	1010
118	90	1010
130	79	2726
129	80	33.2
128	81	39.078
127	82	-6815.732
126	83	-8860.32
125	84	-11967.259
124	85	-11298.456
123	86	-14334.329
122	87	-13554.264
121	88	-16976.356
120	89	-15901.005
119	90	1010
131	79	2902
130	80	201.31
129	81	296.753
128	82	-4541.144
127	83	-6497.212
126	84	-11141.649
125	85	-11114.151
124	86	-13907.901
123	87	-13257.92
122	88	-16455.32
121	89	-15818.482
120	90	1010
131	80	550.73
130	81	578.662
129	82	-3771.151
128	83	-3976.783
127	84	-8531.787
126	85	-10113.61
125	86	-13493.822
124	87	-12671.451
123	88	-16028.924
122	89	-14928.732
121	90	1010
132	80	764
131	81	868.74
130	82	-3760.397
129	83	-3756.204
128	84	-6793.532
127	85	-7944.095
126	86	-12590.741
125	87	-12419.119
124	88	-15472.206
123	89	-14700.105
122	90	1010
121	91	1010
133	80	1145
132	81	1259.734
131	82	-3155.947
130	83	-2932.556
129	84	-6096.608
128	85	-5991.238
127	86	-10253.415
126	87	-11425.324
125	88	-14991.309
124	89	-14012.921
123	90	-17566.756
122	91	1010
134	80	1322
133	81	1594.54
132	82	-3021.824
131	83	-2618.069
130	84	-5961.754
129	85	-5752.83
128	86	-8838.011
127	87	-9387.453
126	88	-14134.685
125	89	-13744.798
124	90	-17022.122
123	91	1010
135	80	1672
134	81	2021
133	82	-2454.91
132	83	-1953.13
131	84	-5232.048
130	85	-5006.797
129	86	-8281.316
128	87	-7845.795
127	88	-11981.793
126	89	-12752.678
125	90	-16635.207
124	91	1010
136	80	1877
135	81	2230
134	82	-2239.91
133	83	-1657.193
132	84	-5032.473
131	85	-4645.598
130	86	-8136.505
129	87	-7634.032
128	88	-10810.919
127	89	-10848.373
126	90	-15641.494
125	91	1010
136	81	2762
135	82	-1705.35
134	83	-1125.336
133	84	-4443.52
132	85	-3928.627
131	86	-7383.728
130	87	-7047.736
129	88	-10328.103
128	89	-9666.157
127	90	-13653.027
126	91	1010
125	92	1010
137	81	2780
136	82	-1348.24
135	83	-740.608
134	84	-4108.438
133	85	-3631.161
132	86	-7168.416
131	87	-6899.565
130	88	-10123.624
129	89	-9445.324
128	90	-12774.464
127	91	-12358.527
126	92	1010
137	82	-1009
136	83	-147.76
135	84	-3489.045
134	85	-2891.965
133	86	-6299.891
132	87	-6104.187
131	88	-9520.868
130	89	-8868.305
129	90	-12282.693
128	91	-11442.806
127	92	1010
126	93	1010
138	82	-685
137	83	65.78
136	84	-3205.046
135	85	-2526.467
134	86	-6076.337
133	87	-5982.703
132	88	-9370.614
131	89	-8800.328
130	90	-11942
129	91	-11139
128	92	-14414
127	93	1010
138	83	762.98
137	84	-2673.313
136	85	-1902.156
135	86	-5081.806
134	87	-5063.256
133	88	-8851.137
132	89	-8217.162
131	90	-11351.023
130	91	-10629
129	92	-13899
128	93	1010
139	83	826.19
138	84	-2367.781
137	85	-1590.985
136	86	-4975.881
135	87	-4685.795
134	88	-8273.201
133	89	-8387.918
132	90	-11245
131	91	-10400
130	92	-13695
129	93	1010
140	83	1579
139	84	-1945.34
138	85	-1017.343
137	86	-4031.339
136	87	-4008.92
135	88	-7458.259
134	89	-7447.94
133	90	-10839.915
132	91	-9971.855
131	92	-13251
130	93	1010
141	83	1616
140	84	-1589.31
139	85	-750.043
138	86	-4010.199
137	87	-3511.031
136	88	-7070.689
135	89	-7222.437
134	90	-10398.4
133	91	-10047.55
132	92	-12957
131	93	1010
141	84	-1252
140	85	-121.27
139	86	-3332.268
138	87	-3077.843
137	88	-6312.011
136	89	-6426.667
135	90	-9623.417
134	91	-9444.478
133	92	-12568.926
132	93	1010
142	84	-918
141	85	8.73
140	86	-3144.929
139	87	-2525.069
138	88	-6040.337
137	89	-6071.385
136	90	-9214.839
135	91	-9415.715
134	92	-12330
133	93	1010
143	84	-405
142	85	664.32
141	86	-2726.038
140	87	-2055.106
139	88	-5202.348
138	89	-5417.586
137	90	-8298.471
136	91	-8568.505
135	92	-11826.009
134	93	1010
143	85	727.31
142	86	-2513.638
141	87	-1881.704
140	88	-4980.209
139	89	-4981.257
138	90	-8131.004
137	91	-8169.219
136	92	-11411.313
135	93	1010
134	94	1010
144	85	1508.62
143	86	-2077.987
142	87	-1339.161
141	88	-4419.19
140	89	-4145.429
139	90	-7408.986
138	91	-7395.286
137	92	-10456.49
136	93	-10370.568
135	94	1010
144	86	-1698.1
143	87	-1109.252
142	88	-4253.216
141	89	-3819.711
140	90	-7105.454
139	91	-7107.438
138	92	-10236.15
137	93	-10228.365
136	94	1010
135	95	1010
145	86	-1128.49
144	87	-523.22
143	88	-3693.214
142	89	-3172.715
141	90	-6428.553
140	91	-6260.356
139	92	-9500.294
138	93	-9379.994
137	94	-12718
136	95	1010
145	87	-301.85
144	88	-3337.215
143	89	-2734.444
142	90	-6048.56
141	91	-5930.857
140	92	-9086
139	93	-8995.94
138	94	-12147
137	95	1010
136	96	1010
146	87	465.08
145	88	-2903.385
144	89	-2212
143	90	-5285.644
142	91	-5192.138
141	92	-8511.733
140	93	-8484.518
139	94	-11287
138	95	-11212
137	96	1010
146	88	-2486.079
145	89	-1963.77
144	90	-4946.912
143	91	-4651.207
142	92	-7874.476
141	93	-8166.753
140	94	-10985
139	95	-10902.31
138	96	1010
137	97	1010
147	88	-1708.35
146	89	-1328.614
145	90	-4393.927
144	91	-3929.248
143	92	-7107.34
142	93	-7376.325
141	94	-10348.414
140	95	-10169
139	96	-13404
138	97	1010
147	89	-868.075
146	90	-4105.012
145	91	-3658.025
144	92	-6669.673
143	93	-6875.705
142	94	-9795
141	95	-10040
140	96	-12920
139	97	1010
148	89	-48.42
147	90	-3450.177
146	91	-2990.217
145	92	-6058.7
144	93	-6100.701
143	94	-9020
142	95	-9354.9
141	96	-12366
140	97	1010
139	98	1010
148	90	-2972.9
147	91	-2569.334
146	92	-5635.671
145	93	-5708.324
144	94	-8477.343
143	95	-8895.455
142	96	-11814
141	97	-11792
140	98	1010
149	90	-2358
148	91	-2043.38
147	92	-4953.729
146	93	-4923.677
145	94	-7904.537
144	95	-8124.155
143	96	-11139
142	97	-11098
141	98	1010
140	99	1010
149	91	-1842.99
148	92	-4667.526
147	93	-4343.627
146	94	-7336.32
145	95	-7707.789
144	96	-10597
143	97	-10651
142	98	-13637
141	99	1010
150	91	-1098
149	92	-4192.09
148	93	-3936.52
147	94	-6626.307
146	95	-6860.684
145	96	-10033
144	97	-10028
143	98	-12943
142	99	1010
141	100	1010
150	92	-3712.72
149	93	-3609.72
148	94	-6288.941
147	95	-6305.022
146	96	-9299
145	97	-9663
144	98	-12548
143	99	-12396
142	100	1010
