N_stab	Z_stab	N	Z	N_P	Z_P	P1n	P2n	P3n	Ele_MOE
0	0	36	26	33	27	0	0	0	Co
0	0	35	27	34	27	0	0	0	Co
0	0	34	28	35	27	0	0	0	Co
0	0	33	29	36	27	0	0	0	Co
0	0	32	30	37	27	0	0	0	Co
0	0	31	31	38	27	0	0	0	Co
0	0	30	32	39	27	0	0	0	Co
0	0	29	33	40	27	0.06	0	0	Co
0	0	41	22	41	27	0.73	0	0	Co
0	0	40	23	42	27	0.89	0	0	Co
0	0	39	24	43	27	2.03	0	0	Co
0	0	38	25	44	27	3.1	0	0	Co
0	0	37	26	45	27	3.47	0.3	0	Co
0	0	36	27	46	27	4.63	0.01	0	Co
0	0	35	28	47	27	6.36	1.45	0	Co
0	0	34	29	48	27	11.32	0.77	0	Co
0	0	33	30	49	27	26.37	5.64	0	Co
0	0	32	31	50	27	69.41	6.79	0.04	Co
0	0	31	32	51	27	41.3	25.45	0.74	Co
0	0	30	33	52	27	66.58	16.06	15.25	Co
0	0	41	23	53	27	1.12	72.63	24.66	Co
0	0	40	24	54	27	3.33	3.8	92.59	Co
0	0	39	25	55	27	0.05	33.57	65.97	Co
0	0	38	26	56	27	1.87	0.08	98.06	Co
0	0	37	27	57	27	99.53	0	0	Co
0	0	36	28	58	27	2.85	97.15	0	Co
0	0	35	29	59	27	98.99	0	0	Co
0	0	34	30	60	27	4.05	95.95	0	Co
0	0	33	31	61	27	99.59	0	0	Co
0	0	32	32	62	27	4.02	95.98	0	Co
0	0	31	33	63	27	99.6	0	0	Co
0	0	30	34	64	27	0.9	99.1	0	Co
0	0	42	23	65	27	99.69	0	0	Co
0	0	41	24	66	27	0	100	0	Co
0	0	40	25	67	27	99.71	0	0	Co
0	0	39	26	68	27	0	100	0	Co
0	0	38	27	69	27	99.75	0	0	Co
0	0	37	28	30	28	0	0	0	Ni
0	0	36	29	32	28	0	0	0	Ni
0	0	35	30	33	28	0	0	0	Ni
0	0	34	31	34	28	0	0	0	Ni
0	0	33	32	35	28	0	0	0	Ni
0	0	32	33	36	28	0	0	0	Ni
0	0	31	34	37	28	0	0	0	Ni
0	0	43	23	38	28	0	0	0	Ni
0	0	42	24	39	28	0	0	0	Ni
0	0	41	25	40	28	0	0	0	Ni
0	0	40	26	41	28	0	0	0	Ni
0	0	39	27	42	28	0	0	0	Ni
0	0	38	28	43	28	0	0	0	Ni
0	0	37	29	44	28	0	0	0	Ni
0	0	36	30	45	28	0.16	0	0	Ni
0	0	35	31	46	28	2.26	0	0	Ni
0	0	34	32	47	28	6.08	0	0	Ni
0	0	33	33	48	28	20.49	0	0	Ni
0	0	32	34	49	28	25.23	0	0	Ni
0	0	43	24	50	28	39.16	0	0	Ni
0	0	42	25	51	28	62.09	4.75	0	Ni
0	0	41	26	52	28	63.71	13.55	0.02	Ni
0	0	40	27	53	28	20.25	57.46	6.34	Ni
0	0	39	28	54	28	36.98	21.66	28.75	Ni
0	0	38	29	55	28	34.81	21.83	13.63	Ni
0	0	37	30	56	28	41.76	22.97	32.11	Ni
0	0	36	31	57	28	1.59	50.02	46.27	Ni
0	0	35	32	58	28	27.53	9.4	62.3	Ni
0	0	34	33	59	28	0.12	19.34	78.95	Ni
0	0	33	34	60	28	11.78	10.71	76.88	Ni
0	0	32	35	61	28	0.76	16.94	74.79	Ni
0	0	44	24	62	28	14.8	5.65	79.36	Ni
0	0	43	25	63	28	0.05	6.93	91.84	Ni
0	0	42	26	64	28	3.01	2.6	94.39	Ni
0	0	41	27	65	28	97.11	0	0	Ni
0	0	40	28	66	28	0.68	99.32	0	Ni
0	0	39	29	67	28	99.53	0	0	Ni
0	0	38	30	68	28	0	100	0	Ni
0	0	37	31	69	28	99.47	0	0	Ni
0	0	36	32	70	28	0	100	0	Ni
0	0	35	33	71	28	97.94	0	0	Ni
0	0	34	34	34	29	0	0	0	Cu
0	0	33	35	35	29	0	0	0	Cu
0	0	44	25	36	29	0	0	0	Cu
0	0	43	26	37	29	0	0	0	Cu
0	0	42	27	38	29	0	0	0	Cu
0	0	41	28	39	29	0	0	0	Cu
0	0	40	29	40	29	0	0	0	Cu
0	0	39	30	41	29	0	0	0	Cu
0	0	38	31	42	29	0	0	0	Cu
0	0	37	32	43	29	0	0	0	Cu
0	0	36	33	44	29	0.02	0	0	Cu
0	0	35	34	45	29	0.15	0	0	Cu
0	0	34	35	46	29	2.56	0	0	Cu
0	0	33	36	47	29	2.5	0	0	Cu
0	0	45	25	48	29	10.54	0	0	Cu
0	0	44	26	49	29	10.57	0.09	0	Cu
0	0	43	27	50	29	25.38	0	0	Cu
0	0	42	28	51	29	43.94	12.61	0	Cu
0	0	41	29	52	29	62.12	21.28	0.25	Cu
0	0	40	30	53	29	28.91	56.99	4.93	Cu
0	0	39	31	54	29	46.44	30.57	17.53	Cu
0	0	38	32	55	29	13.17	64.39	18.26	Cu
0	0	37	33	56	29	24.02	42.82	30.68	Cu
0	0	36	34	57	29	1.51	65.15	31.85	Cu
0	0	35	35	58	29	6.61	31.65	61.24	Cu
0	0	34	36	59	29	0.06	17.85	81.59	Cu
0	0	46	25	60	29	1.38	2.12	96.15	Cu
0	0	45	26	61	29	0.72	12.09	86.45	Cu
0	0	44	27	62	29	1.86	0.32	97.82	Cu
0	0	43	28	63	29	0	2.43	97.13	Cu
0	0	42	29	64	29	1.11	0	98.57	Cu
0	0	41	30	65	29	0.01	1.63	98.08	Cu
0	0	40	31	66	29	0.86	0.08	99.07	Cu
0	0	39	32	67	29	99.72	0	0	Cu
0	0	38	33	68	29	0.62	99.38	0	Cu
0	0	37	34	69	29	99.72	0	0	Cu
0	0	36	35	70	29	0.94	99.06	0	Cu
0	0	35	36	71	29	99.8	0	0	Cu
0	0	34	37	72	29	0	100	0	Cu
0	0	46	26	73	29	99.86	0	0	Cu
0	0	45	27	34	30	0	0	0	Zn
0	0	44	28	36	30	0	0	0	Zn
0	0	43	29	37	30	0	0	0	Zn
0	0	42	30	38	30	0	0	0	Zn
0	0	41	31	39	30	0	0	0	Zn
0	0	40	32	40	30	0	0	0	Zn
0	0	39	33	41	30	0	0	0	Zn
0	0	38	34	42	30	0	0	0	Zn
0	0	37	35	43	30	0	0	0	Zn
0	0	36	36	44	30	0	0	0	Zn
0	0	35	37	45	30	0	0	0	Zn
0	0	47	26	46	30	0	0	0	Zn
0	0	46	27	47	30	0	0	0	Zn
0	0	45	28	48	30	0	0	0	Zn
0	0	44	29	49	30	0.34	0	0	Zn
0	0	43	30	50	30	6.19	0	0	Zn
0	0	42	31	51	30	13.38	0	0	Zn
0	0	41	32	52	30	44.8	0	0	Zn
0	0	40	33	53	30	28.81	21.1	0	Zn
0	0	39	34	54	30	48.69	12.95	0.06	Zn
0	0	38	35	55	30	28.14	8.96	0.53	Zn
0	0	37	36	56	30	64.25	5.3	1.1	Zn
0	0	36	37	57	30	46.32	27.48	4.66	Zn
0	0	35	38	58	30	65.23	9.6	7.9	Zn
0	0	48	26	59	30	23.5	50.15	16.25	Zn
0	0	47	27	60	30	56.6	19.27	19.33	Zn
0	0	46	28	61	30	16.29	37.39	21.99	Zn
0	0	45	29	62	30	50.34	15.88	31.06	Zn
0	0	44	30	63	30	4.39	49.08	44.05	Zn
0	0	43	31	64	30	27.94	14.33	56.5	Zn
0	0	42	32	65	30	1.62	29.65	66.85	Zn
0	0	41	33	66	30	6.11	4.7	89.19	Zn
0	0	40	34	67	30	95.44	0	0	Zn
0	0	39	35	68	30	5.28	94.72	0	Zn
0	0	38	36	69	30	0	2.27	96.95	Zn
0	0	37	37	70	30	2.03	0	97.97	Zn
0	0	36	38	71	30	99.43	0	0	Zn
0	0	48	27	72	30	0.63	99.37	0	Zn
0	0	47	28	73	30	99.67	0	0	Zn
0	0	46	29	74	30	0	100	0	Zn
0	0	45	30	75	30	99.73	0	0	Zn
0	0	44	31	38	31	0	0	0	Ga
0	0	43	32	39	31	0	0	0	Ga
0	0	42	33	40	31	0	0	0	Ga
0	0	41	34	41	31	0	0	0	Ga
0	0	40	35	42	31	0	0	0	Ga
0	0	39	36	43	31	0	0	0	Ga
0	0	38	37	44	31	0	0	0	Ga
0	0	37	38	45	31	0	0	0	Ga
0	0	49	27	46	31	0	0	0	Ga
0	0	48	28	47	31	0	0	0	Ga
0	0	47	29	48	31	0.06	0	0	Ga
0	0	46	30	49	31	0.43	0	0	Ga
0	0	45	31	50	31	4.74	0	0	Ga
0	0	44	32	51	31	9.3	0	0	Ga
0	0	43	33	52	31	59.1	0.02	0	Ga
0	0	42	34	53	31	27.37	14.54	0	Ga
0	0	41	35	54	31	60.9	10.48	0.14	Ga
0	0	40	36	55	31	20.63	44.38	1.59	Ga
0	0	39	37	56	31	68.98	12.88	6.68	Ga
0	0	38	38	57	31	34.52	40.92	2.41	Ga
0	0	37	39	58	31	70.02	18.78	8.67	Ga
0	0	49	28	59	31	19.7	46.68	10.3	Ga
0	0	48	29	60	31	38.54	15.71	23	Ga
0	0	47	30	61	31	3.79	67.64	23.27	Ga
0	0	46	31	62	31	40.7	13.07	39.94	Ga
0	0	45	32	63	31	13.83	38.22	42.17	Ga
0	0	44	33	64	31	20.67	15.98	60.78	Ga
0	0	43	34	65	31	0.83	16	82.38	Ga
0	0	42	35	66	31	2.22	1.3	96.16	Ga
0	0	41	36	67	31	0.17	2.66	96.37	Ga
0	0	40	37	68	31	1.5	0.16	97.94	Ga
0	0	39	38	69	31	0.16	2.06	97.27	Ga
0	0	38	39	70	31	1.98	0.05	97.97	Ga
0	0	50	28	71	31	0	1.92	97.82	Ga
0	0	49	29	72	31	0.82	0.32	98.86	Ga
0	0	48	30	73	31	99.75	0	0	Ga
0	0	47	31	74	31	0.32	99.68	0	Ga
0	0	46	32	75	31	99.8	0	0	Ga
0	0	45	33	76	31	0	100	0	Ga
0	0	44	34	77	31	99.76	0	0	Ga
0	0	43	35	38	32	0	0	0	Ge
0	0	42	36	40	32	0	0	0	Ge
0	0	41	37	41	32	0	0	0	Ge
0	0	40	38	42	32	0	0	0	Ge
0	0	39	39	43	32	0	0	0	Ge
0	0	38	40	44	32	0	0	0	Ge
0	0	51	28	45	32	0	0	0	Ge
0	0	50	29	46	32	0	0	0	Ge
0	0	49	30	47	32	0	0	0	Ge
0	0	48	31	48	32	0	0	0	Ge
0	0	47	32	49	32	0	0	0	Ge
0	0	46	33	50	32	0	0	0	Ge
0	0	45	34	51	32	0.09	0	0	Ge
0	0	44	35	52	32	9.68	0	0	Ge
0	0	43	36	53	32	10.71	0.04	0	Ge
0	0	42	37	54	32	23.85	0	0	Ge
0	0	41	38	55	32	30.73	4.58	0	Ge
0	0	40	39	56	32	49.07	0.47	0	Ge
0	0	39	40	57	32	9.86	1.19	0	Ge
0	0	51	29	58	32	74.02	3.1	0.06	Ge
0	0	50	30	59	32	42.56	18.91	0.65	Ge
0	0	49	31	60	32	57.68	6.04	1.34	Ge
0	0	48	32	61	32	21.33	26.85	2.04	Ge
0	0	47	33	62	32	58.85	9.01	4.68	Ge
0	0	46	34	63	32	31.4	46.22	9.27	Ge
0	0	45	35	64	32	57.77	21.96	12.38	Ge
0	0	44	36	65	32	19.97	50.86	14.29	Ge
0	0	43	37	66	32	43.4	28.28	22.14	Ge
0	0	42	38	67	32	8.15	52.02	36.78	Ge
0	0	41	39	68	32	31.77	30.29	34.35	Ge
0	0	40	40	69	32	3.84	30.47	64.59	Ge
0	0	52	29	70	32	15.96	11.85	71.07	Ge
0	0	51	30	71	32	1.12	15.72	81.05	Ge
0	0	50	31	72	32	5.07	4.19	90.73	Ge
0	0	49	32	73	32	99.34	0	0	Ge
0	0	48	33	74	32	1.28	98.72	0	Ge
0	0	47	34	75	32	99.5	0	0	Ge
0	0	46	35	76	32	0.94	99.06	0	Ge
0	0	45	36	77	32	99.32	0	0	Ge
0	0	44	37	78	32	0.78	99.22	0	Ge
0	0	43	38	79	32	99.42	0	0	Ge
0	0	42	39	80	32	0	100	0	Ge
0	0	41	40	41	33	0	0	0	As
0	0	40	41	42	33	0	0	0	As
0	0	53	29	43	33	0	0	0	As
0	0	52	30	44	33	0	0	0	As
0	0	51	31	45	33	0	0	0	As
0	0	50	32	46	33	0	0	0	As
0	0	49	33	47	33	0	0	0	As
0	0	48	34	48	33	0	0	0	As
0	0	47	35	49	33	0	0	0	As
0	0	46	36	50	33	0	0	0	As
0	0	45	37	51	33	0.07	0	0	As
0	0	44	38	52	33	11.59	0	0	As
0	0	43	39	53	33	20.28	0.11	0	As
0	0	42	40	54	33	37.1	0	0	As
0	0	41	41	55	33	32.18	2.2	0	As
0	0	53	30	56	33	76.35	1.33	0	As
0	0	52	31	57	33	27.78	2.61	0	As
0	0	51	32	58	33	89.34	3.16	0.09	As
0	0	50	33	59	33	45.23	38.95	0.56	As
0	0	49	34	60	33	81.67	12.16	1.84	As
0	0	48	35	61	33	31.54	43.74	2.01	As
0	0	47	36	62	33	68.29	19.11	8.42	As
0	0	46	37	63	33	10.54	71.85	11.68	As
0	0	45	38	64	33	35.73	37.05	24.07	As
0	0	44	39	65	33	2.12	65.48	30.16	As
0	0	43	40	66	33	18.34	31.23	48.96	As
0	0	42	41	67	33	1.19	46.65	50.18	As
0	0	41	42	68	33	11.76	17.88	69.15	As
0	0	54	30	69	33	1.18	21.71	76.18	As
0	0	53	31	70	33	2.78	6.11	90.05	As
0	0	52	32	71	33	1.25	8.2	90.1	As
0	0	51	33	72	33	1.54	1.01	97.45	As
0	0	50	34	73	33	0	1.76	97.93	As
0	0	49	35	74	33	1.3	0	98.7	As
0	0	48	36	75	33	99.78	0	0	As
0	0	47	37	76	33	0.77	99.23	0	As
0	0	46	38	77	33	99.8	0	0	As
0	0	45	39	78	33	0.87	99.13	0	As
0	0	44	40	79	33	99.65	0	0	As
0	0	43	41	80	33	0.94	99.06	0	As
0	0	42	42	81	33	99.81	0	0	As
0	0	55	30	82	33	0.16	99.15	0	As
0	0	54	31	40	34	0	0	0	Se
0	0	53	32	42	34	0	0	0	Se
0	0	52	33	43	34	0	0	0	Se
0	0	51	34	44	34	0	0	0	Se
0	0	50	35	45	34	0	0	0	Se
0	0	49	36	46	34	0	0	0	Se
0	0	48	37	47	34	0	0	0	Se
0	0	47	38	48	34	0	0	0	Se
0	0	46	39	49	34	0	0	0	Se
0	0	45	40	50	34	0	0	0	Se
0	0	44	41	51	34	0	0	0	Se
0	0	43	42	52	34	0	0	0	Se
0	0	42	43	53	34	0.01	0	0	Se
0	0	55	31	54	34	0.29	0	0	Se
0	0	54	32	55	34	2.73	0	0	Se
0	0	53	33	56	34	0.83	0	0	Se
0	0	52	34	57	34	3.78	0.01	0	Se
0	0	51	35	58	34	3.23	0	0	Se
0	0	50	36	59	34	9.58	0.21	0	Se
0	0	49	37	60	34	4.04	0.06	0	Se
0	0	48	38	61	34	25.6	2.55	0	Se
0	0	47	39	62	34	42.23	1.42	0	Se
0	0	46	40	63	34	50.5	14.24	0.21	Se
0	0	45	41	64	34	58.95	7.34	0.76	Se
0	0	44	42	65	34	31.53	18.94	1.75	Se
0	0	43	43	66	34	65.84	5.27	3.42	Se
0	0	56	31	67	34	48.54	29.13	5.52	Se
0	0	55	32	68	34	67.4	4.89	7.28	Se
0	0	54	33	69	34	27.47	52.34	9.97	Se
0	0	53	34	70	34	67.85	13.06	12.23	Se
0	0	52	35	71	34	11.53	62.96	17.64	Se
0	0	51	36	72	34	25.73	40.71	31.74	Se
0	0	50	37	73	34	0.71	24.55	73.94	Se
0	0	49	38	74	34	10.94	4.94	83.44	Se
0	0	48	39	75	34	0.11	10.73	84.97	Se
0	0	47	40	76	34	1.5	0.32	98.18	Se
0	0	46	41	77	34	99.39	0	0	Se
0	0	45	42	78	34	7.04	90.6	0	Se
0	0	44	43	79	34	0.82	2.73	95.85	Se
0	0	43	44	80	34	1.43	3.76	94.67	Se
0	0	56	32	81	34	0.03	0.41	99.08	Se
0	0	55	33	82	34	0.62	0.1	97.87	Se
0	0	54	34	83	34	0.64	0.82	95.83	Se
0	0	53	35	84	34	0	4.41	95.59	Se
0	0	52	36	43	35	0	0	0	Br
0	0	51	37	44	35	0	0	0	Br
0	0	50	38	45	35	0	0	0	Br
0	0	49	39	46	35	0	0	0	Br
0	0	48	40	47	35	0	0	0	Br
0	0	47	41	48	35	0	0	0	Br
0	0	46	42	49	35	0	0	0	Br
0	0	45	43	50	35	0	0	0	Br
0	0	44	44	51	35	0	0	0	Br
0	0	57	32	52	35	0.25	0	0	Br
0	0	56	33	53	35	1.36	0	0	Br
0	0	55	34	54	35	10.58	0	0	Br
0	0	54	35	55	35	13.38	0	0	Br
0	0	53	36	56	35	54.01	0	0	Br
0	0	52	37	57	35	8.89	0.04	0	Br
0	0	51	38	58	35	86.39	0.08	0	Br
0	0	50	39	59	35	14.6	0.28	0	Br
0	0	49	40	60	35	93.89	0.15	0	Br
0	0	48	41	61	35	32.18	2.17	0	Br
0	0	47	42	62	35	86.99	3.87	0.01	Br
0	0	46	43	63	35	63.08	27.56	0.19	Br
0	0	45	44	64	35	80.72	13.51	1.6	Br
0	0	44	45	65	35	46.39	27.34	1.3	Br
0	0	58	32	66	35	76.73	11.77	3.79	Br
0	0	57	33	67	35	33.23	50.3	4.71	Br
0	0	56	34	68	35	60.61	23.85	7.09	Br
0	0	55	35	69	35	23.64	59.09	8.82	Br
0	0	54	36	70	35	41.45	30.28	21.79	Br
0	0	53	37	71	35	5.99	55.92	31.67	Br
0	0	52	38	72	35	19.6	20.09	59.61	Br
0	0	51	39	73	35	2.64	25.9	70.94	Br
0	0	50	40	74	35	5.54	7.69	86.12	Br
0	0	49	41	75	35	0	1.53	98.21	Br
0	0	48	42	76	35	0.77	0.11	99.12	Br
0	0	47	43	77	35	0	1.14	98.3	Br
0	0	46	44	78	35	1.5	0.07	97.38	Br
0	0	45	45	79	35	1.06	1.53	97.05	Br
0	0	58	33	80	35	0.85	1.87	97.07	Br
0	0	57	34	81	35	0.03	1.05	98.71	Br
0	0	56	35	82	35	0.89	0.19	98.36	Br
0	0	55	36	83	35	1.2	0.86	97.79	Br
0	0	54	37	84	35	0.2	0.95	98.85	Br
0	0	53	38	85	35	100	0	0	Br
0	0	52	39	86	35	100	0	0	Br
0	0	51	40	42	36	0	0	0	Kr
0	0	50	41	44	36	0	0	0	Kr
0	0	49	42	46	36	0	0	0	Kr
0	0	48	43	47	36	0	0	0	Kr
0	0	47	44	48	36	0	0	0	Kr
0	0	46	45	49	36	0	0	0	Kr
0	0	45	46	50	36	0	0	0	Kr
0	0	59	33	51	36	0	0	0	Kr
0	0	58	34	52	36	0	0	0	Kr
0	0	57	35	53	36	0	0	0	Kr
0	0	56	36	54	36	0	0	0	Kr
0	0	55	37	55	36	0	0	0	Kr
0	0	54	38	56	36	0.05	0	0	Kr
0	0	53	39	57	36	0.02	0	0	Kr
0	0	52	40	58	36	0.14	0	0	Kr
0	0	51	41	59	36	0.78	0	0	Kr
0	0	50	42	60	36	0.74	0	0	Kr
0	0	49	43	61	36	4.04	0.04	0	Kr
0	0	48	44	62	36	1.61	0	0	Kr
0	0	47	45	63	36	32.83	1.46	0	Kr
0	0	46	46	64	36	29.05	0.39	0	Kr
0	0	59	34	65	36	20.96	2.55	0	Kr
0	0	58	35	66	36	42.36	1.77	0.01	Kr
0	0	57	36	67	36	48.55	8.61	0.13	Kr
0	0	56	37	68	36	55.56	3.76	0.29	Kr
0	0	55	38	69	36	53.74	14.24	1.39	Kr
0	0	54	39	70	36	67.48	6.01	3.06	Kr
0	0	53	40	71	36	35	41.12	6.54	Kr
0	0	52	41	72	36	66.32	13.25	11.44	Kr
0	0	51	42	73	36	13.42	65.9	18.09	Kr
0	0	50	43	74	36	39.06	19.61	40.3	Kr
0	0	49	44	75	36	0.17	31.2	67.34	Kr
0	0	48	45	76	36	11.9	19.13	67.92	Kr
0	0	47	46	77	36	2.98	34.36	59.41	Kr
0	0	46	47	78	36	59.82	18.75	20.15	Kr
0	0	60	34	79	36	1.35	77.8	20.08	Kr
0	0	59	35	80	36	5.06	14.09	79.83	Kr
0	0	58	36	81	36	0.52	16.66	82.18	Kr
0	0	57	37	82	36	32.83	34.98	30.52	Kr
0	0	56	38	83	36	1.04	28.69	68.9	Kr
0	0	55	39	84	36	2.38	2.34	95.28	Kr
0	0	54	40	85	36	100	0	0	Kr
0	0	53	41	86	36	0	100	0	Kr
0	0	52	42	87	36	100	0	0	Kr
0	0	51	43	88	36	100	0	0	Kr
0	0	50	44	47	37	0	0	0	Rb
0	0	49	45	48	37	0	0	0	Rb
0	0	48	46	49	37	0	0	0	Rb
0	0	47	47	50	37	0	0	0	Rb
0	0	61	34	51	37	0	0	0	Rb
0	0	60	35	52	37	0	0	0	Rb
0	0	59	36	53	37	0	0	0	Rb
0	0	58	37	54	37	0	0	0	Rb
0	0	57	38	55	37	0.05	0	0	Rb
0	0	56	39	56	37	2.59	0	0	Rb
0	0	55	40	57	37	1.65	0	0	Rb
0	0	54	41	58	37	32.54	0	0	Rb
0	0	53	42	59	37	10.73	0.01	0	Rb
0	0	52	43	60	37	13.1	0	0	Rb
0	0	51	44	61	37	18.39	0.2	0	Rb
0	0	50	45	62	37	27.49	0.03	0	Rb
0	0	49	46	63	37	25.78	0.92	0	Rb
0	0	48	47	64	37	35.34	0.11	0	Rb
0	0	47	48	65	37	20.07	1.95	0	Rb
0	0	61	35	66	37	54.07	1.49	0.01	Rb
0	0	60	36	67	37	46.82	11.64	0.05	Rb
0	0	59	37	68	37	70.9	4.15	0.54	Rb
0	0	58	38	69	37	51.17	22.39	1.04	Rb
0	0	57	39	70	37	68.09	10.25	3.76	Rb
0	0	56	40	71	37	23.33	54.07	5.46	Rb
0	0	55	41	72	37	41.34	38.25	15.23	Rb
0	0	54	42	73	37	11.07	58.35	28.22	Rb
0	0	53	43	74	37	20.63	34.18	44.51	Rb
0	0	52	44	75	37	10.45	21.52	67.42	Rb
0	0	51	45	76	37	2.83	8.23	87.93	Rb
0	0	50	46	77	37	0.86	13.23	84.76	Rb
0	0	49	47	78	37	3.36	19.4	76.41	Rb
0	0	48	48	79	37	0.87	8.68	89.89	Rb
0	0	62	35	80	37	1.78	2.56	94.95	Rb
0	0	61	36	81	37	0.64	1.55	97.28	Rb
0	0	60	37	82	37	1.93	2.05	95.24	Rb
0	0	59	38	83	37	1.16	1.59	96.98	Rb
0	0	58	39	84	37	0.91	2.03	97.06	Rb
0	0	57	40	85	37	99.77	0	0	Rb
0	0	56	41	86	37	0	100	0	Rb
0	0	55	42	87	37	100	0	0	Rb
0	0	54	43	88	37	100	0	0	Rb
0	0	53	44	89	37	100	0	0	Rb
0	0	52	45	90	37	100	0	0	Rb
0	0	51	46	91	37	99.8	0	0	Rb
0	0	50	47	46	38	0	0	0	Sr
0	0	49	48	48	38	0	0	0	Sr
0	0	48	49	49	38	0	0	0	Sr
0	0	63	35	50	38	0	0	0	Sr
0	0	62	36	51	38	0	0	0	Sr
0	0	61	37	52	38	0	0	0	Sr
0	0	60	38	53	38	0	0	0	Sr
0	0	59	39	54	38	0	0	0	Sr
0	0	58	40	55	38	0	0	0	Sr
0	0	57	41	56	38	0	0	0	Sr
0	0	56	42	57	38	0	0	0	Sr
0	0	55	43	58	38	0	0	0	Sr
0	0	54	44	59	38	0	0	0	Sr
0	0	53	45	60	38	0.35	0	0	Sr
0	0	52	46	61	38	0.23	0	0	Sr
0	0	51	47	62	38	0.4	0	0	Sr
0	0	50	48	63	38	3.84	0	0	Sr
0	0	49	49	64	38	2.87	0	0	Sr
0	0	63	36	65	38	2.82	0	0	Sr
0	0	62	37	66	38	8.41	0	0	Sr
0	0	61	38	67	38	15.36	0.66	0	Sr
0	0	60	39	68	38	17.28	0.07	0	Sr
0	0	59	40	69	38	26	3.33	0	Sr
0	0	58	41	70	38	29.84	1.83	0	Sr
0	0	57	42	71	38	58.6	10.64	0.17	Sr
0	0	56	43	72	38	70.45	8.57	1.08	Sr
0	0	55	44	73	38	40.09	37.32	5.5	Sr
0	0	54	45	74	38	66.09	23.26	7.97	Sr
0	0	53	46	75	38	21.58	65.95	6.9	Sr
0	0	52	47	76	38	86.4	2.64	6.52	Sr
0	0	51	48	77	38	44.06	42.99	6.46	Sr
0	0	50	49	78	38	84.3	3.43	8.05	Sr
0	0	49	50	79	38	23.1	65.07	9.83	Sr
0	0	64	36	80	38	53.57	32.29	11.52	Sr
0	0	63	37	81	38	1.23	86.41	11.4	Sr
0	0	62	38	82	38	81.63	3.29	12.89	Sr
0	0	61	39	83	38	23.09	55.49	20.17	Sr
0	0	60	40	84	38	3.73	2.87	93.4	Sr
0	0	59	41	85	38	99.51	0	0	Sr
0	0	58	42	86	38	0	100	0	Sr
0	0	57	43	87	38	100	0	0	Sr
0	0	56	44	88	38	0	100	0	Sr
0	0	55	45	89	38	100	0	0	Sr
0	0	54	46	90	38	100	0	0	Sr
0	0	53	47	91	38	99.75	0	0	Sr
0	0	52	48	92	38	0	100	0	Sr
0	0	51	49	93	38	99.87	0	0	Sr
0	0	50	50	50	39	0	0	0	Y
0	0	65	36	51	39	0	0	0	Y
0	0	64	37	52	39	0	0	0	Y
0	0	63	38	53	39	0	0	0	Y
0	0	62	39	54	39	0	0	0	Y
0	0	61	40	55	39	0	0	0	Y
0	0	60	41	56	39	0	0	0	Y
0	0	59	42	57	39	0	0	0	Y
0	0	58	43	58	39	0.02	0	0	Y
0	0	57	44	59	39	1.24	0	0	Y
0	0	56	45	60	39	0.57	0	0	Y
0	0	55	46	61	39	0.4	0	0	Y
0	0	54	47	62	39	1.52	0	0	Y
0	0	53	48	63	39	1.27	0	0	Y
0	0	52	49	64	39	3.91	0	0	Y
0	0	51	50	65	39	3.8	0	0	Y
0	0	65	37	66	39	16.53	0	0	Y
0	0	64	38	67	39	16.91	0.55	0	Y
0	0	63	39	68	39	35.4	0.12	0	Y
0	0	62	40	69	39	34.78	2.38	0	Y
0	0	61	41	70	39	55.07	1.8	0	Y
0	0	60	42	71	39	52.34	10.47	0.09	Y
0	0	59	43	72	39	57.93	7.6	1.39	Y
0	0	58	44	73	39	17.41	51.46	4.1	Y
0	0	57	45	74	39	53	35.37	9.07	Y
0	0	56	46	75	39	27.32	60.26	6.12	Y
0	0	55	47	76	39	70.72	20.71	7.6	Y
0	0	54	48	77	39	33.58	59.36	5.65	Y
0	0	53	49	78	39	48.7	41.27	9.08	Y
0	0	52	50	79	39	21.93	66.44	10.49	Y
0	0	66	37	80	39	31.11	37.16	30.88	Y
0	0	65	38	81	39	0.84	68.15	29.76	Y
0	0	64	39	82	39	14.79	63.48	20.37	Y
0	0	63	40	83	39	1.42	71.27	26.42	Y
0	0	62	41	84	39	2.84	4.34	92.82	Y
0	0	61	42	85	39	99.65	0	0	Y
0	0	60	43	86	39	0.18	99.82	0	Y
0	0	59	44	87	39	99.62	0	0	Y
0	0	58	45	88	39	0	100	0	Y
0	0	57	46	89	39	100	0	0	Y
0	0	56	47	90	39	100	0	0	Y
0	0	55	48	91	39	99.83	0	0	Y
0	0	54	49	92	39	0	100	0	Y
0	0	53	50	93	39	99.78	0	0	Y
0	0	52	51	94	39	0	100	0	Y
0	0	66	38	95	39	99.89	0	0	Y
0	0	65	39	50	40	0	0	0	Zr
0	0	64	40	51	40	0	0	0	Zr
0	0	63	41	52	40	0	0	0	Zr
0	0	62	42	53	40	0	0	0	Zr
0	0	61	43	54	40	0	0	0	Zr
0	0	60	44	55	40	0	0	0	Zr
0	0	59	45	56	40	0	0	0	Zr
0	0	58	46	57	40	0	0	0	Zr
0	0	57	47	58	40	0	0	0	Zr
0	0	56	48	59	40	0	0	0	Zr
0	0	55	49	60	40	0	0	0	Zr
0	0	54	50	61	40	0	0	0	Zr
0	0	53	51	62	40	0	0	0	Zr
0	0	67	38	63	40	0	0	0	Zr
