N_stab	Z_stab	N	Z	N_P	Z_P	P1n	P2n	P3n	Ele_MOE
58	48	13	11	29	13	30.89	32.98	25.46	Al
60	48	12	12	30	13	4.96	54.59	40.45	Al
62	48	11	13	31	13	99.39	0	0	Al
63	48	10	14	32	13	1.89	98.11	0	Al
64	48	9	15	33	13	99.59	0	0	Al
65	48	18	7	34	13	0	100	0	Al
66	48	17	8	35	13	99.3	0	0	Al
68	48	16	9	36	13	0	100	0	Al
64	49	15	10	37	13	98.92	0	0	Al
66	49	14	11	38	13	0	100	0	Al
62	50	13	12	14	14	0	0	0	Si
64	50	12	13	15	14	0	0	0	Si
65	50	11	14	16	14	0	0	0	Si
66	50	10	15	17	14	0	0	0	Si
67	50	18	8	18	14	0	0	0	Si
68	50	17	9	19	14	0	0	0	Si
69	50	16	10	20	14	0	0	0	Si
70	50	15	11	21	14	0.52	0	0	Si
72	50	14	12	22	14	29.27	0	0	Si
74	50	13	13	23	14	12.92	0.21	0	Si
70	51	12	14	24	14	35.95	0	0	Si
72	51	11	15	25	14	27.06	2.39	0	Si
68	52	10	16	26	14	48.67	0.04	0	Si
70	52	19	8	27	14	44.8	9.8	0	Si
71	52	18	9	28	14	40.37	4.44	0.01	Si
72	52	17	10	29	14	23.7	29.42	2.95	Si
73	52	16	11	30	14	57.15	18.86	23.99	Si
74	52	15	12	31	14	93.62	0	0	Si
76	52	14	13	32	14	25.61	68.64	0	Si
78	52	13	14	33	14	1.95	21.26	40.39	Si
74	53	12	15	34	14	2.21	0.49	97.3	Si
70	54	11	16	35	14	98.81	0	0	Si
72	54	20	8	36	14	0	100	0	Si
74	54	19	9	37	14	97.42	0	0	Si
75	54	18	10	38	14	0	100	0	Si
76	54	17	11	39	14	99.67	0	0	Si
77	54	16	12	40	14	0	100	0	Si
78	54	15	13	16	15	0	0	0	P
80	54	14	14	17	15	0	0	0	P
82	54	13	15	18	15	0	0	0	P
78	55	12	16	19	15	0	0	0	P
74	56	11	17	20	15	0	0	0	P
76	56	20	9	21	15	0	0	0	P
78	56	19	10	22	15	2.14	0	0	P
79	56	18	11	23	15	1.62	0	0	P
80	56	17	12	24	15	6.37	0	0	P
81	56	16	13	25	15	10.78	0.26	0	P
82	56	15	14	26	15	19.4	0.05	0	P
81	57	14	15	27	15	36.32	12.79	0	P
82	57	13	16	28	15	41.88	3.24	0	P
78	58	12	17	29	15	50.89	32.1	1.56	P
80	58	21	9	30	15	43.91	27.2	20.85	P
82	58	20	10	31	15	2.63	82.47	13.4	P
84	58	19	11	32	15	9.99	8.57	75.29	P
82	59	18	12	33	15	0	49.5	49.7	P
82	60	17	13	34	15	3.23	0.61	96.16	P
83	60	16	14	35	15	98.67	0	0	P
84	60	15	15	36	15	2.08	97.92	0	P
85	60	14	16	37	15	98.66	0	0	P
86	60	13	17	38	15	0	100	0	P
88	60	12	18	39	15	99.01	0	0	P
90	60	22	9	40	15	0	100	0	P
82	62	21	10	41	15	99.27	0	0	P
85	62	20	11	42	15	0	100	0	P
86	62	19	12	16	16	0	0	0	S
87	62	18	13	17	16	0	0	0	S
88	62	17	14	18	16	0	0	0	S
90	62	16	15	19	16	0	0	0	S
92	62	15	16	20	16	0	0	0	S
88	63	14	17	21	16	0	0	0	S
90	63	13	18	22	16	0	0	0	S
88	64	22	10	23	16	0	0	0	S
90	64	21	11	24	16	0	0	0	S
91	64	20	12	25	16	0.01	0	0	S
92	64	19	13	26	16	1.46	0	0	S
93	64	18	14	27	16	11.5	0	0	S
94	64	17	15	28	16	52.4	0	0	S
96	64	16	16	29	16	24.54	1.66	0	S
94	65	15	17	30	16	57.48	1.39	0	S
90	66	14	18	31	16	10.12	10.25	0.12	S
