N	Z	P1n	P2n	P3n	P4n	P5n
25	15	40.3	30.1	0.7	0.5	0.2
26	15	56.9	19.4	1.5	0.3	0.3
27	15	15.1	62.9	2	0.9	0.6
28	15	25.7	45.1	17.1	0.6	0.8
29	15	11.6	42.5	26.8	3.1	1.1
30	15	26.3	6.1	56.5	2.8	1.7
31	15	14.2	17.8	16.7	39.7	2.6
32	15	26.6	7.9	17.4	29.8	14.6
33	15	3	29.3	4.2	25	33.1
34	15	12.7	13.6	12.7	2.9	55.6
35	15	0	14.7	6.3	17.4	59.5
36	15	0.9	0.5	10.6	6.2	79.9
37	15	0	0.6	0.2	5.2	92.5
38	15	0.1	0	0.6	0.2	97.8
39	15	0	0.1	0	0.4	98.3
40	15	0	0	0.1	0	98.9
41	15	0	0	0	0.1	98.9
19	16	0	0	0	0	0
21	16	0	0	0	0	0
22	16	0.3	0	0	0	0
23	16	1.5	0.4	0	0	0
24	16	3.7	0.3	0	0	0
25	16	16.3	1.2	0.3	0	0
26	16	41.3	0.9	0.4	0	0
27	16	61.4	3.5	0.5	0.3	0.1
28	16	66.6	2.1	0.7	0.2	0.2
29	16	37.6	30.3	0.7	0.5	0.4
30	16	49.3	17.7	1.5	0.4	0.5
31	16	8.6	53.4	5.6	1	0.8
32	16	11.3	37.9	16.7	1	1
33	16	7.2	15.1	29.7	14.4	1.6
34	16	10.5	4.5	34	15.9	3
35	16	7.3	60.8	4.2	11.6	6.5
36	16	18.8	46.6	8.9	5.2	9.7
37	16	1.2	9.7	11.9	56.7	16.6
38	16	4.8	2.4	27.2	39.8	20
39	16	0	2.3	1.8	7.5	85.9
40	16	0.5	0.2	1.7	2.8	92.3
41	16	0	0.3	0.1	1.3	96.5
42	16	0	0	0.2	0	98.2
43	16	0	0	0	0.1	98.6
19	17	0	0	0	0	0
21	17	0	0	0	0	0
22	17	0.5	0	0	0	0
23	17	1.6	0.3	0	0	0
24	17	2.8	0.2	0	0	0
25	17	3.9	0.8	0.2	0	0
26	17	41.2	0.8	0.3	0	0
27	17	64.5	3.6	0.4	0.3	0
28	17	74.3	2.3	0.8	0.2	0.1
29	17	25.9	49.1	0.6	0.5	0.3
30	17	47.4	33.4	1.7	0.4	0.4
31	17	13.3	62.6	2.6	0.9	0.6
32	17	26.3	37.7	21.9	0.8	0.9
33	17	16	22.5	37	7.3	1.2
34	17	32.3	5.4	45.1	9.7	2.3
35	17	3.1	74.7	4.2	11.6	2.4
36	17	12.5	42.6	29.9	5.3	6.6
37	17	0.4	14.7	41.1	30.1	10.9
38	17	3.4	3.2	64.9	12	14.1
