N	Z	P1n	P2n	P3n	P4n	P5n
51	32	2.4	0.8	0.2	0	0
52	32	8.2	0.7	0.3	0	0
53	32	8.4	2.5	0.4	0.3	0
54	32	8.5	1.1	0.7	0.3	0.1
55	32	8.1	3.1	0.5	0.5	0.3
56	32	8.4	1.6	0.7	0.3	0.4
57	32	11.9	3.6	0.6	0.5	0.6
58	32	9.1	1.8	0.8	0.3	0.6
59	32	20.7	4	1.1	0.6	0.8
60	32	12.6	1.8	1.4	0.3	0.8
61	32	39.5	6	1.7	0.9	1
62	32	17.1	2	2	0.5	1
63	32	61.1	14.1	1.7	2.1	1.4
64	32	45.2	2.7	2.6	0.9	1.4
65	32	28.2	53.2	2.8	2.9	2.5
66	32	65.1	5	3	1.8	2.4
67	32	7.7	66.4	10.4	3.9	5.1
68	32	57.3	16.1	5.2	1.6	4.8
69	32	2	21.7	42.7	20	8.4
70	32	15.8	39.8	23.1	3	7.7
71	32	0.8	4.7	6.1	47.3	37.8
72	32	4.3	4.3	25.8	37.5	21.6
73	32	0	1.9	1	6.8	87.4
74	32	1.3	0.6	3.6	3.9	86
75	32	0	0.5	0.2	1.8	95.3
76	32	0.2	0	1.1	0.4	95
77	32	0	0.1	0	0.4	97.7
78	32	0	0	0.1	0	97.7
79	32	0	0	0	0.1	98.4
43	33	0	0	0	0	0
44	33	0	0	0	0	0
45	33	0	0	0	0	0
46	33	0	0	0	0	0
47	33	1.4	0	0	0	0
48	33	1.6	0	0	0	0
49	33	1.9	0.5	0	0	0
50	33	3	0.3	0	0	0
51	33	4.2	1	0.2	0	0
52	33	60	1	0.5	0	0
53	33	59.7	3.8	0.5	0.3	0.1
54	33	74.1	1.6	0.9	0.3	0.1
55	33	62.8	5	0.6	0.6	0.3
56	33	77.5	1.8	1	0.3	0.5
57	33	71.7	6.9	0.7	0.6	0.6
58	33	80.9	2.2	1.3	0.3	0.6
59	33	73.3	10.7	1.2	0.7	0.8
60	33	83.4	2.7	1.9	0.4	0.9
61	33	53.6	32.5	1.4	1.2	1
62	33	82.7	4.4	2.6	0.5	1.1
63	33	12.6	75.2	1.9	2.2	1.4
64	33	77.4	9.8	3.8	1.1	1.5
65	33	4.1	81.2	4.3	3.5	2.2
66	33	41.3	41.8	7.8	1.6	2.7
67	33	1.9	49.2	34.3	6.7	4.4
68	33	13	37.9	38.3	2	5
69	33	0.6	13	19.1	56.8	7.5
70	33	5.6	7	70.6	4.9	8.8
71	33	0.2	2.9	3.3	59.5	31.8
72	33	1.9	1.4	14.8	26.4	53.1
73	33	0	1.2	0.4	8.5	87.9
74	33	0.8	0.1	3.6	1.8	91.7
75	33	0	0.5	0.1	1.7	96.1
76	33	0.3	0	1	0.2	96.7
77	33	0	0.2	0	0.6	97.8
78	33	0.1	0	0.3	0	98.2
79	33	0	0	0	0.2	98.4
81	33	0	0	0	0.2	98.7
41	34	0	0	0	0	0
45	34	0	0	0	0	0
47	34	0	0	0	0	0
49	34	0	0	0	0	0
50	34	0	0	0	0	0
51	34	1.4	0.3	0	0	0
52	34	3.8	0.3	0	0	0
53	34	3.5	1.3	0.2	0	0
54	34	3.9	0.7	0.4	0	0
55	34	3.6	1.3	0.3	0.3	0
56	34	3.7	0.7	0.4	0.2	0
57	34	4.3	1.4	0.4	0.3	0.2
58	34	4	0.7	0.5	0.2	0.2
59	34	6.1	1.7	0.5	0.3	0.4
60	34	4.6	0.9	0.5	0.2	0.3
61	34	6.1	2.4	0.5	0.4	0.5
62	34	5.5	1.2	0.6	0.3	0.5
63	34	17.1	3.4	0.8	0.5	0.7
64	34	8.4	1.7	0.8	0.3	0.7
65	34	49.7	5.5	1.4	0.7	0.9
66	34	21.8	2	1.6	0.4	0.9
67	34	67.1	14.1	2	1.6	1.3
68	34	50.1	2.8	2.6	0.7	1.2
69	34	19.8	63.3	2.7	3.1	2
70	34	67.1	5.1	3.2	1.8	1.8
71	34	5.2	64.4	15.6	4.5	5
72	34	34.1	41.3	7.2	2.3	4.9
73	34	1.6	14.5	37.7	32.8	9.3
74	34	7.6	13.9	56.7	5.7	9.7
75	34	0.6	3.5	4.4	37	51.4
76	34	3	2.3	15.6	37.2	37.2
77	34	0.1	1.8	1	5.2	89.3
78	34	1.5	0.4	3.2	2.6	88.5
79	34	0	0.6	0.4	1.7	95.1
80	34	0.6	0.1	1	0.6	94.5
81	34	0	0.2	0	0.8	97
82	34	0	0	0.4	0.1	97
83	34	0	0	0	0.4	97.9
45	35	0	0	0	0	0
47	35	0	0	0	0	0
48	35	0	0	0	0	0
49	35	0	0	0	0	0
50	35	1.1	0	0	0	0
51	35	2.1	0.6	0	0	0
52	35	16.2	0.7	0	0	0
53	35	12.1	1.9	0.4	0	0
54	35	24	0.9	0.6	0	0
55	35	14.4	2.1	0.4	0.4	0
56	35	23.7	1	0.6	0.2	0.1
57	35	19.2	2.5	0.4	0.4	0.2
58	35	29.9	1.1	0.7	0.2	0.2
59	35	55.2	3	0.6	0.4	0.4
60	35	55	1.3	0.8	0.2	0.4
61	35	48.3	4.6	0.5	0.5	0.5
62	35	70.9	1.7	0.9	0.3	0.6
63	35	76	8.3	0.9	0.6	0.7
64	35	81.2	2.4	1.4	0.3	0.7
65	35	61.2	26.6	1.4	0.9	0.9
66	35	83.9	4	2.3	0.4	1
67	35	12.9	76.1	2.2	1.9	1.3
68	35	78.8	9.3	3.6	0.8	1.3
69	35	3.7	82.4	4.2	3.5	1.9
70	35	43.3	41.4	6.7	1.7	2.2
71	35	1.5	38.8	44.7	7.5	4.3
72	35	8.4	24.6	56	2.4	5.3
73	35	0.4	9.4	14.8	64.7	8.1
74	35	3.1	3.1	66.8	13	11.4
75	35	0.3	2.4	2.9	46.9	45.5
76	35	1.4	1	10.5	14.9	70
77	35	0	1.3	0.3	8.1	88.3
78	35	0.9	0	3.7	1.1	92.4
79	35	0	0.5	0.1	1.9	95.8
80	35	0.4	0	1.2	0.3	96.4
81	35	0	0.3	0	0.7	97.5
82	35	0.1	0	0.4	0	98
83	35	0	0.1	0	0.5	98.1
84	35	0	0	0.1	0	98.5
85	35	0	0	0	0.2	98.6
43	36	0	0	0	0	0
45	36	0	0	0	0	0
49	36	0	0	0	0	0
51	36	0.2	0	0	0	0
52	36	1	0	0	0	0
53	36	2.1	0.5	0	0	0
54	36	2.4	0	0	0	0
55	36	2.1	0.9	0.1	0	0
56	36	2.3	0.5	0	0	0
57	36	2.1	0.9	0.3	0.1	0
58	36	2.3	0.5	0.3	0	0
59	36	3	1	0.3	0.2	0
60	36	2.7	0.5	0.4	0.1	0
61	36	2.9	1.2	0.3	0.3	0.2
62	36	2.9	0.6	0.4	0.2	0.1
63	36	4.4	1.5	0.4	0.3	0.3
64	36	3.6	0.7	0.5	0.2	0.3
65	36	6.6	2.1	0.5	0.4	0.5
66	36	5.2	1.1	0.6	0.2	0.4
67	36	22.6	3.2	0.7	0.5	0.6
68	36	8.7	1.7	0.8	0.3	0.6
69	36	61.1	5.9	1.3	0.7	0.9
70	36	18	2.3	1.3	0.4	0.8
71	36	64.9	18.1	2.4	1.5	1.2
72	36	63.4	3.4	3	0.7	1.2
73	36	14.5	69.2	3.2	3.5	2.1
74	36	68.2	11	3.9	2.3	2.2
75	36	4.5	60.8	19.7	4.8	5.3
76	36	22.7	46.2	16.5	2	5.9
77	36	2	11.7	40.1	32.6	9.7
78	36	7.6	14.1	57.2	5.2	9.7
79	36	0.8	4.2	5.5	51.3	35.1
80	36	3.4	3.5	20.4	42.5	25.2
81	36	0.3	1.8	1.7	6	87.5
82	36	1.1	1.1	2.8	4.4	86.7
83	36	0	1.4	0	3.7	92.5
84	36	0.4	0.4	1.1	0.9	94.1
85	36	0	0.3	0	1.1	96.6
86	36	0	0	0.5	0.1	96.8
87	36	0	0	0	0.2	98
49	37	0	0	0	0	0
51	37	0.9	0	0	0	0
52	37	4.1	0	0	0	0
53	37	4.4	1	0	0	0
54	37	7	0.5	0	0	0
55	37	5.4	1.3	0.3	0	0
56	37	7.1	0.7	0.2	0	0
57	37	5.3	1.4	0.3	0.2	0
58	37	7.5	0.8	0.4	0	0
59	37	10	1.6	0.4	0.3	0.1
60	37	14.9	0.8	0.6	0.2	0.1
61	37	10.3	2	0.4	0.3	0.2
62	37	15.3	1	0.6	0.2	0.2
63	37	25.3	2.7	0.5	0.4	0.4
64	37	31	1.2	0.7	0.2	0.3
65	37	54.9	4.2	0.5	0.5	0.5
66	37	67.6	1.6	0.8	0.3	0.5
67	37	77.7	8.2	0.9	0.6	0.7
68	37	82.3	2.4	1.3	0.3	0.7
69	37	56.9	32.3	1.5	0.9	0.9
70	37	84.2	3.8	2.2	0.4	0.9
71	37	10.5	78.8	2.3	2	1.2
72	37	74.8	13.5	4.1	0.9	1.3
73	37	3.1	82	5.2	3.9	1.9
74	37	18.6	62	10.9	2.3	2.5
75	37	1.5	25.5	57.4	7.8	4.9
76	37	6.4	12.5	69.8	2.5	6
77	37	0.6	8	16.3	64.1	8.5
78	37	3.2	3.9	67.7	11.9	10.8
79	37	0.3	3.2	3	63.6	27.7
80	37	1.7	1.5	13.1	25.6	55.8
81	37	0.1	1.1	1	7.9	88
82	37	0.7	0.3	3.4	2.3	91.3
83	37	0	0.7	0	4.7	93
84	37	0.3	0	0.9	0.7	96.6
85	37	0	0.3	0	0.8	97.5
86	37	0	0	0.3	0	98.2
87	37	0	0	0	0.3	98.4
89	37	0	0	0	0.1	98.7
91	37	0	0	0	0.1	98.8
47	38	0	0	0	0	0
51	38	0	0	0	0	0
52	38	0	0	0	0	0
53	38	0.1	0	0	0	0
54	38	0	0	0	0	0
55	38	1.5	0	0	0	0
56	38	0.9	0	0	0	0
57	38	1.5	0.5	0	0	0
58	38	1.7	0	0	0	0
59	38	2	0.8	0.1	0	0
60	38	2.2	0.4	0	0	0
61	38	2	0.8	0.3	0.1	0
62	38	2	0.5	0.2	0	0
63	38	2.5	0.9	0.3	0.2	0
64	38	2.3	0.6	0.3	0.1	0
65	38	3	1.2	0.3	0.3	0.1
66	38	2.8	0.6	0.4	0.2	0.1
67	38	5.4	1.5	0.4	0.3	0.3
68	38	4	0.8	0.5	0.2	0.2
69	38	10.4	2.3	0.5	0.4	0.5
70	38	5.5	1.1	0.6	0.2	0.4
71	38	27.4	3.7	0.7	0.5	0.6
72	38	11.4	1.9	0.8	0.3	0.6
73	38	67.5	6.8	1.6	0.7	0.9
74	38	45.9	2.5	1.9	0.4	0.9
75	38	63.2	22.2	2.8	1.6	1.3
76	38	70.7	4.1	3.2	0.9	1.3
77	38	15.9	67.8	3.4	3.4	2.1
78	38	68.8	10.5	3.6	2.5	2.2
79	38	5.8	66.2	13.2	4.1	5.3
80	38	29.4	46.1	8.3	2.1	5.4
81	38	2.8	12	51.7	20.2	9.5
82	38	6.5	14	57.3	6.3	9.7
83	38	0	8	0.9	69	18.2
84	38	1.6	2.3	6.6	17.4	68.1
85	38	0	1.8	1.8	4.4	89.4
86	38	1.5	0.2	3.4	1.7	89.2
87	38	0	0.5	0	3	94
88	38	0	0	1.6	0.4	94.1
89	38	0	0	0	0.3	97.5
91	38	0	0	0	0.2	98
51	39	0	0	0	0	0
52	39	0	0	0	0	0
53	39	0	0	0	0	0
54	39	0	0	0	0	0
55	39	3	0.4	0	0	0
56	39	3.6	0	0	0	0
57	39	2.9	1	0	0	0
58	39	3.9	0.4	0	0	0
59	39	4.7	1.1	0.3	0	0
60	39	5	0.6	0.2	0	0
61	39	5	1.2	0.3	0.2	0
62	39	6.3	0.7	0.4	0	0
63	39	6.6	1.5	0.3	0.3	0.1
64	39	7.7	0.8	0.5	0.2	0
65	39	9	1.9	0.4	0.3	0.2
66	39	12.3	0.9	0.5	0.2	0.2
67	39	31.9	2.6	0.5	0.4	0.3
68	39	30.6	1.1	0.7	0.2	0.3
69	39	70.2	4.3	0.6	0.5	0.5
70	39	65.5	1.6	0.8	0.3	0.5
71	39	77	8.7	0.8	0.6	0.6
72	39	83.1	2.7	1.3	0.3	0.7
73	39	52.3	37.5	1.7	0.9	0.9
74	39	84.2	5.2	2.7	0.5	1
75	39	10.2	79.1	2.6	2	1.3
76	39	67.8	20.5	4.6	1	1.4
77	39	3.7	81.2	5.6	3.8	1.9
78	39	18.9	62.2	10.3	2.4	2.5
79	39	1.7	40.2	43.6	6.7	4.7
80	39	8.1	17.2	63.5	2.2	5.9
81	39	0.8	8.4	20.7	59	8.7
82	39	3.1	4.8	63.1	15.6	10.9
83	39	0	5.2	0.1	73.3	19.1
84	39	0.7	0.8	5	7.1	84.6
85	39	0	0.6	0.4	4	93.5
86	39	0.3	0	1.7	1.9	94.4
87	39	0	0.3	0	1.1	97.1
88	39	0.1	0	0.4	0	97.9
89	39	0	0.1	0	0.3	98.1
90	39	0	0	0.1	0	98.3
91	39	0	0	0	0.2	98.4
93	39	0	0	0	0.1	98.6
95	39	0	0	0	0.1	98.7
55	40	0	0	0	0	0
57	40	0.2	0	0	0	0
58	40	0	0	0	0	0
59	40	1.5	0	0	0	0
60	40	0.7	0	0	0	0
61	40	1.5	0.4	0	0	0
62	40	1.5	0	0	0	0
63	40	1.8	0.7	0.1	0	0
64	40	1.7	0.4	0	0	0
65	40	1.9	0.8	0.2	0.1	0
66	40	1.9	0.5	0.2	0	0
67	40	2.8	0.9	0.3	0.2	0
68	40	2.3	0.5	0.3	0.1	0
69	40	3.6	1.2	0.3	0.3	0.1
70	40	2.8	0.6	0.4	0.2	0.1
71	40	5.3	1.6	0.4	0.3	0.3
72	40	4.2	0.8	0.5	0.2	0.2
73	40	11.8	2.4	0.5	0.4	0.5
74	40	7.9	1.3	0.6	0.3	0.4
75	40	45.9	3.8	0.8	0.5	0.6
76	40	17.2	2.1	0.9	0.3	0.6
77	40	68.6	6.6	1.8	0.7	0.9
78	40	47.1	2.7	2	0.4	0.9
79	40	63.8	19.2	2.6	1.6	1.2
80	40	68.5	4	3.4	0.8	1.2
81	40	16.3	66.6	4.7	3.6	2.3
82	40	60.4	17.8	3.8	3.1	2.3
83	40	1.4	69.2	9.2	7.7	5.3
84	40	5.4	15.1	60	5.6	7.8
85	40	0.8	5.1	6.4	60.8	23.5
86	40	2.8	1.5	7.5	17.3	65.9
87	40	0	3.2	1.9	5.7	85.9
88	40	3	0.4	3.1	1.5	86.8
89	40	0	1.3	0.2	4.6	91
90	40	1.2	0	3.9	0.3	89.4
91	40	0	0.3	0	2.1	94.9
92	40	0	0	1.2	0	94
93	40	0	0	0	0.3	97.3
95	40	0	0	0	0.2	97.8
97	40	0	0	0	0.1	98.2
55	41	0	0	0	0	0
56	41	0	0	0	0	0
57	41	0	0	0	0	0
58	41	1.7	0	0	0	0
59	41	2.7	0.5	0	0	0
60	41	3	0	0	0	0
61	41	2.9	0.9	0	0	0
62	41	3.5	0.4	0	0	0
63	41	3.4	1	0.2	0	0
64	41	4	0.6	0.1	0	0
65	41	4.1	1.1	0.3	0.2	0
66	41	4.9	0.6	0.4	0	0
67	41	6.2	1.3	0.3	0.3	0.1
68	41	6.5	0.7	0.4	0.2	0
69	41	11.4	1.8	0.4	0.3	0.2
70	41	9.7	0.9	0.5	0.2	0.1
71	41	25.4	2.6	0.5	0.4	0.3
72	41	29.7	1.2	0.6	0.2	0.3
73	41	70.8	4.3	0.6	0.5	0.5
74	41	77.5	1.9	0.9	0.3	0.5
75	41	78.9	9	1	0.6	0.7
76	41	85.2	3	1.5	0.4	0.7
77	41	55.8	33.8	1.8	0.9	0.9
78	41	83.7	5.5	2.7	0.5	1
79	41	12.5	76.5	2.6	2	1.2
80	41	70.3	17.6	4.5	1.1	1.3
81	41	4.7	78.2	7.6	4	2.1
82	41	14.8	62.9	13.1	2.9	2.8
83	41	0.6	35.4	38.8	17	4.9
84	41	3.1	4.8	64.8	16.2	8.9
85	41	0.1	3.4	3.7	53.6	37.2
86	41	0.8	0.3	7	6.6	83.3
87	41	0	0.9	0.2	8.2	88.9
88	41	0.5	0	2.1	1.1	94.5
89	41	0	0.4	0	1.5	96.3
90	41	0.3	0	0.7	0	97.3
91	41	0	0.2	0	1	97.2
92	41	0.1	0	0.3	0	97.9
93	41	0	0.1	0	0.3	98
94	41	0	0	0.1	0	98.1
95	41	0	0	0	0.2	98.3
97	41	0	0	0	0.2	98.5
99	41	0	0	0	0.1	98.7
57	42	0	0	0	0	0
59	42	0	0	0	0	0
60	42	0	0	0	0	0
61	42	0.6	0	0	0	0
62	42	0	0	0	0	0
63	42	1.4	0	0	0	0
64	42	0.8	0	0	0	0
65	42	1.5	0.5	0	0	0
66	42	1.5	0	0	0	0
67	42	1.7	0.7	0.1	0	0
68	42	1.6	0.4	0	0	0
69	42	2	0.8	0.3	0.1	0
70	42	1.8	0.5	0.2	0	0
71	42	2.6	0.9	0.3	0.2	0
72	42	2.4	0.6	0.3	0.1	0
73	42	3.9	1.2	0.3	0.3	0.2
74	42	3.5	0.7	0.4	0.2	0.1
75	42	7.1	1.6	0.4	0.3	0.3
76	42	5.5	0.9	0.5	0.2	0.3
77	42	13.5	2.5	0.5	0.4	0.5
78	42	8.7	1.5	0.6	0.3	0.4
79	42	46.5	4.1	0.8	0.5	0.6
80	42	18.2	2.5	0.9	0.3	0.6
81	42	73.3	7.4	2.4	0.7	0.9
82	42	66.2	3.7	2.7	0.5	0.9
83	42	11.8	71	1.9	3.3	1.3
84	42	18.1	63.1	6.7	3.1	2.1
85	42	1.9	14.2	61.6	11.9	5.9
86	42	4.2	4.3	60.9	15.4	8.4
87	42	1	4.8	3	40	47
88	42	4.2	1.5	5.9	5.6	75.4
89	42	0.6	5.5	1.9	5	83.3
90	42	5	1.1	4	2	80.9
91	42	0	4.7	0.1	7	84.5
92	42	4	1.2	3.7	1.7	82.4
93	42	0	1.2	0.5	4.3	90.7
94	42	2.4	0	4.7	1.3	84.9
95	42	0	0.5	0	2	94.5
96	42	0.2	0	2.2	0	91.8
97	42	0	0	0	0.7	96.6
98	42	0	0	0.1	0	96.2
99	42	0	0	0	0.1	97.9
101	42	0	0	0	0.1	98.2
55	43	0	0	0	0	0
56	43	0	0	0	0	0
57	43	0	0	0	0	0
58	43	0	0	0	0	0
59	43	0	0	0	0	0
60	43	0	0	0	0	0
61	43	0	0	0	0	0
62	43	1.7	0	0	0	0
63	43	2.5	0.5	0	0	0
64	43	2.8	0	0	0	0
65	43	2.7	0.9	0	0	0
66	43	3.2	0.4	0	0	0
67	43	3.3	0.9	0.3	0	0
68	43	3.7	0.5	0.2	0	0
69	43	4.1	1.1	0.3	0.2	0
70	43	4.3	0.6	0.4	0	0
71	43	5.9	1.4	0.3	0.3	0.1
72	43	7	0.7	0.4	0.2	0
73	43	11.2	1.8	0.4	0.3	0.2
74	43	16.3	0.9	0.6	0.2	0.2
75	43	40.7	2.7	0.5	0.4	0.3
76	43	52.3	1.3	0.7	0.2	0.3
77	43	72.1	4.4	0.6	0.5	0.5
78	43	77.9	2.1	0.9	0.3	0.5
79	43	78.2	8.7	0.9	0.6	0.6
80	43	84.7	3.1	1.6	0.3	0.7
81	43	52.6	36.5	2.2	0.9	0.9
82	43	79.8	8.8	3.6	0.6	1
83	43	3.8	83.8	2.6	3.6	1.3
84	43	6.7	33.2	51.9	3.2	2.6
85	43	0.3	8.8	29.7	53.2	5.7
86	43	2.5	2.2	22.8	58.7	11.7
87	43	0	3.2	1.7	22.9	69.9
88	43	1.5	0.6	7.6	2.9	85.2
89	43	0	1.6	0.3	8.4	87.5
90	43	1.1	0	6.4	1.2	89.2
91	43	0	1	0	6.5	90.5
92	43	0.8	0	3	0.5	93.7
93	43	0	0.6	0	2	95.6
94	43	0.5	0	1.4	0	96.1
95	43	0	0.4	0	1.6	96.1
96	43	0.4	0	1	0	96.3
97	43	0	0.2	0	1	97.2
98	43	0.1	0	0.4	0	97.6
99	43	0	0	0	0.2	98.3
101	43	0	0	0	0.2	98.5
103	43	0	0	0	0.1	98.7
59	44	0	0	0	0	0
61	44	0	0	0	0	0
62	44	0	0	0	0	0
63	44	0	0	0	0	0
64	44	0	0	0	0	0
65	44	0.9	0	0	0	0
66	44	0	0	0	0	0
67	44	1.4	0.1	0	0	0
68	44	1	0	0	0	0
69	44	1.6	0.5	0	0	0
70	44	1.5	0.1	0	0	0
71	44	1.8	0.7	0.2	0	0
72	44	1.7	0.4	0	0	0
73	44	2.1	0.8	0.3	0.1	0
74	44	2.2	0.5	0.3	0	0
75	44	3.2	1	0.3	0.2	0
76	44	2.9	0.6	0.4	0.2	0
77	44	4.6	1.2	0.4	0.3	0.2
78	44	4.1	0.7	0.4	0.2	0.1
79	44	8.1	1.8	0.4	0.3	0.3
80	44	6.2	1	0.5	0.2	0.3
81	44	20.1	3	0.6	0.4	0.5
82	44	15.2	2.4	0.7	0.3	0.5
83	44	65.8	11.7	1.1	0.7	0.7
84	44	72	14.8	3.4	0.7	1
85	44	2.7	73.2	12.6	3.9	1.7
86	44	8.9	16.6	59.7	3.9	2.8
87	44	2.4	9	10.6	64.8	7.4
88	44	5.9	5.5	41	26.1	13.1
89	44	2.7	6.7	4.2	24	57.2
90	44	5.7	3.4	10.4	17.9	53.7
91	44	1.3	7.8	2.5	9.2	74.3
92	44	6.1	2.6	6.2	4.5	72
93	44	0.6	6.7	2.4	7.2	78.7
94	44	6	2.1	5.6	2.2	75.8
95	44	0.2	4.5	2	8.1	80.3
96	44	3.3	0.9	4	1.6	83.4
97	44	0	2.1	0	4.7	89.3
98	44	2.4	0	4.2	0.2	87.4
99	44	0	0.8	0	2.2	93.4
100	44	1.1	0	2.1	0.4	90.2
101	44	0	0.3	0	0.9	95.7
102	44	0	0	1.1	0	93.3
103	44	0	0	0	0.4	96.9
105	44	0	0	0	0.1	98.1
59	45	0	0	0	0	0
60	45	0	0	0	0	0
61	45	0	0	0	0	0
62	45	0	0	0	0	0
63	45	0	0	0	0	0
64	45	0	0	0	0	0
65	45	2	0	0	0	0
66	45	1.8	0	0	0	0
67	45	2.4	0.5	0	0	0
68	45	2.7	0	0	0	0
69	45	2.7	0.8	0.1	0	0
70	45	2.9	0.4	0	0	0
71	45	3.2	0.9	0.3	0	0
72	45	3.6	0.6	0.2	0	0
73	45	4.1	1.1	0.3	0.2	0
74	45	5.3	0.6	0.4	0	0
75	45	7.1	1.4	0.3	0.3	0.1
76	45	8.7	0.8	0.5	0.2	0
77	45	13.4	1.8	0.4	0.3	0.2
78	45	18.2	1	0.5	0.2	0.2
79	45	39.9	2.7	0.5	0.4	0.3
80	45	53.9	1.4	0.7	0.2	0.3
81	45	73	4.7	0.6	0.5	0.5
82	45	80	3	1	0.3	0.5
83	45	27.9	61.3	1.3	0.9	0.7
84	45	18.8	70.6	5.7	0.9	1.1
85	45	1	38.8	50.8	4.9	1.7
86	45	5.4	3.4	79.3	5.4	4
87	45	0.4	7.4	3.9	77.6	8
88	45	4.9	2.5	14.9	25.3	50
89	45	0.3	6.6	2.2	17.1	71.4
90	45	3.2	2.6	10.4	4.7	76.7
91	45	0.1	4.4	1.9	12.2	79.1
92	45	2.2	0.8	10.8	2.6	81.2
93	45	0	2.2	0.6	11.6	83.4
94	45	1.8	0.2	9	1.9	84.8
95	45	0	2.1	0.1	8.6	86.8
96	45	1.3	0	3.9	0.7	91.8
97	45	0	1.2	0	2.7	94.2
98	45	0.9	0	1.7	0	95.1
99	45	0	0.8	0	1.3	96
100	45	0.7	0	0.9	0	96.1
101	45	0	0.4	0	1.1	96.8
102	45	0.4	0	0.5	0	96.9
103	45	0	0.1	0	0.7	97.5
104	45	0.1	0	0.3	0	97.6
105	45	0	0	0	0.2	98.4
107	45	0	0	0	0.2	98.6
57	46	0	0	0	0	0
61	46	0	0	0	0	0
63	46	0	0	0	0	0
65	46	0	0	0	0	0
66	46	0	0	0	0	0
67	46	0	0	0	0	0
68	46	0	0	0	0	0
69	46	1	0	0	0	0
70	46	0.2	0	0	0	0
71	46	1.4	0.2	0	0	0
72	46	1.1	0	0	0	0
73	46	1.5	0.6	0	0	0
74	46	1.6	0.2	0	0	0
75	46	1.9	0.7	0.2	0	0
76	46	1.9	0.5	0.1	0	0
77	46	2.4	0.8	0.3	0.1	0
78	46	2.3	0.5	0.3	0	0
79	46	3.3	1	0.3	0.2	0.1
80	46	3.1	0.6	0.4	0.2	0
81	46	5.2	1.3	0.4	0.3	0.2
82	46	5.4	0.9	0.4	0.2	0.2
83	46	27.6	4	0.5	0.4	0.4
84	46	82.5	4.9	1.2	0.4	0.6
85	46	6.7	79.9	3.8	1.1	0.9
86	46	24.6	52	10.9	1.6	1.2
87	46	3.6	36.9	39.1	9.7	2.6
88	46	13.5	34.9	33.4	2.7	5
89	46	3.6	14.3	27.4	39	8.2
90	46	9.9	11.3	53.6	5.9	8.2
91	46	4	10.9	7.7	54.8	15.6
92	46	8.9	6	33.9	24.9	15
93	46	4.1	9.9	5.1	21.4	54.1
94	46	9	4.1	13.8	21.5	40.6
95	46	1.4	5.5	2.9	14.4	71.5
96	46	4.4	2.6	10.7	15.5	59.3
97	46	0.5	5	1.5	7.9	80.9
98	46	4.5	1.1	6.7	3.5	78.1
99	46	0.3	3.3	1.5	4.6	86.6
100	46	3.2	1.3	3.7	2.7	83
101	46	0.1	1.9	0.8	4.3	89.3
102	46	2.6	0.8	3.1	1.1	86.9
103	46	0	1.1	0.3	2.8	92.6
104	46	1.7	0.4	2.7	0.8	89.1
105	46	0	0.4	0.1	1	96.3
106	46	0.9	0	1.8	0.6	92.5
107	46	0	0.2	0	0.6	97.2
108	46	0.1	0	0.8	0	95.2
109	46	0	0	0	0.2	98
61	47	0	0	0	0	0
63	47	0	0	0	0	0
64	47	0	0	0	0	0
65	47	0	0	0	0	0
66	47	0	0	0	0	0
67	47	0	0	0	0	0
68	47	0.3	0	0	0	0
69	47	1.9	0.1	0	0	0
70	47	1.6	0	0	0	0
71	47	2	0.5	0	0	0
72	47	2.1	0	0	0	0
73	47	2.1	0.7	0.1	0	0
74	47	2.5	0.4	0	0	0
75	47	2.6	0.8	0.2	0	0
76	47	4	0.6	0.2	0	0
77	47	4.7	1.1	0.3	0.2	0
78	47	5.5	0.7	0.4	0.1	0
79	47	7	1.4	0.3	0.3	0.1
80	47	9.1	0.8	0.5	0.2	0.1
81	47	14.5	1.9	0.4	0.3	0.2
82	47	30.7	1.2	0.6	0.2	0.2
83	47	73.4	7.5	0.5	0.5	0.4
84	47	77.6	15.5	2.2	0.5	0.6
85	47	3.4	84.9	5.7	1.6	1
86	47	9.3	14.9	68.9	2.3	1.5
87	47	1.9	15.9	36.6	39.5	2.9
88	47	8.7	6.5	68.4	6.5	6.8
89	47	1	12.1	8.1	66	9.8
90	47	8.4	4.6	39.3	31.1	13.8
91	47	0.5	11	4.7	54.2	26.8
92	47	6.9	3.9	18.9	18.8	48.7
93	47	0.4	8.6	3.8	20.8	63.7
94	47	2.7	1.9	11.2	11.8	70
95	47	0.2	3.2	1.8	12.2	80.3
96	47	2	1.2	7.5	4.2	82.7
97	47	0.1	2.2	0.5	8.1	86.8
98	47	1.6	0.2	6.1	1	88.8
99	47	0.1	1.4	0.3	5.2	90.9
100	47	1.2	0.2	4.4	0.9	91.1
101	47	0	1.1	0	3.5	93.3
102	47	1	0	2.7	0.6	93.5
103	47	0	0.8	0	1.7	95.6
104	47	0.7	0	1.6	0.1	95.5
105	47	0	0.5	0	1	96.8
106	47	0.5	0	0.9	0	96.7
107	47	0	0.2	0	0.8	97.4
108	47	0.2	0	0.5	0	97.4
109	47	0	0.1	0	0.3	98.1
110	47	0.1	0	0.2	0	97.9
111	47	0	0	0	0.2	98.5
113	47	0	0	0	0.1	98.7
59	48	0	0	0	0	0
61	48	0	0	0	0	0
67	48	0	0	0	0	0
69	48	0	0	0	0	0
70	48	0	0	0	0	0
71	48	0.2	0	0	0	0
72	48	0	0	0	0	0
