N	Z	bn	b2n
77	65	1	1
76	66	1	1
75	67	0	0
74	68	0	0
91	52	1	1
90	53	1	1
89	54	2	2
88	55	2	2
87	56	2	2
86	57	2	2
85	58	2	2
84	59	2	2
83	60	2	2
82	61	2	2
81	62	2	2
80	63	2	2
79	64	2	2
78	65	1	1
77	66	1	1
76	67	1	0
75	68	0	0
91	53	1	1
90	54	2	2
89	55	2	2
88	56	2	2
87	57	2	2
86	58	2	2
85	59	2	2
84	60	2	2
83	61	2	2
82	62	2	2
81	63	2	2
80	64	2	2
79	65	2	1
78	66	1	1
77	67	1	1
76	68	0	0
75	69	0	0
92	53	1	1
91	54	2	2
90	55	2	2
89	56	2	2
88	57	2	2
87	58	2	2
86	59	2	2
85	60	2	2
84	61	2	2
83	62	2	2
82	63	2	2
81	64	2	2
80	65	2	2
79	66	2	1
78	67	1	1
77	68	1	0
76	69	0	0
92	54	2	2
91	55	2	2
90	56	2	2
89	57	2	2
88	58	2	2
87	59	2	2
86	60	2	2
85	61	2	2
84	62	2	2
83	63	2	2
82	64	2	2
81	65	2	2
80	66	2	2
79	67	1	1
78	68	1	1
77	69	0	0
93	54	1	1
92	55	2	2
91	56	2	2
90	57	2	2
89	58	2	2
88	59	2	2
87	60	2	2
86	61	2	2
85	62	2	2
84	63	2	2
83	64	2	2
82	65	2	2
81	66	2	2
80	67	2	1
79	68	1	1
78	69	0	0
94	54	1	1
93	55	2	2
92	56	2	2
91	57	2	2
90	58	2	2
89	59	2	2
88	60	2	2
87	61	2	2
86	62	2	2
85	63	2	2
84	64	2	2
83	65	2	2
82	66	2	2
81	67	2	2
80	68	2	1
79	69	0	0
78	70	0	0
94	55	1	1
93	56	1	1
92	57	2	2
91	58	2	2
90	59	2	2
89	60	2	2
88	61	2	2
87	62	2	2
86	63	2	2
85	64	2	2
84	65	2	2
83	66	2	2
82	67	2	2
81	68	1	1
80	69	1	0
79	70	0	0
95	55	1	1
94	56	1	1
93	57	1	1
92	58	2	2
91	59	2	2
90	60	2	2
89	61	2	2
88	62	2	2
87	63	2	2
86	64	2	2
85	65	2	2
84	66	2	2
83	67	2	2
82	68	1	1
81	69	1	1
80	70	0	0
79	71	0	0
96	55	1	1
95	56	1	1
94	57	1	1
93	58	2	2
92	59	2	2
91	60	2	2
90	61	2	2
89	62	2	2
88	63	2	2
87	64	2	2
86	65	2	2
85	66	2	2
84	67	2	2
83	68	1	1
82	69	1	1
81	70	1	0
80	71	0	0
96	56	1	1
95	57	1	1
94	58	1	1
93	59	2	2
92	60	2	2
91	61	2	2
90	62	2	2
89	63	2	2
88	64	2	2
87	65	2	2
86	66	2	2
85	67	2	2
84	68	2	1
83	69	2	1
82	70	1	1
81	71	0	0
97	56	1	1
96	57	1	1
95	58	1	1
94	59	2	2
93	60	2	2
92	61	2	2
91	62	2	2
90	63	2	2
89	64	2	2
88	65	2	2
87	66	2	2
86	67	2	2
85	68	2	2
84	69	1	1
83	70	1	1
82	71	0	0
81	72	0	0
97	57	1	1
96	58	1	1
95	59	2	2
94	60	2	2
93	61	2	2
92	62	2	2
91	63	2	2
90	64	2	2
89	65	2	2
88	66	2	2
87	67	2	2
86	68	2	2
85	69	1	2
84	70	1	1
83	71	1	0
82	72	0	0
98	57	1	1
97	58	1	1
96	59	2	2
95	60	2	2
94	61	2	2
93	62	2	2
92	63	2	2
91	64	2	2
90	65	2	2
89	66	2	2
88	67	2	2
87	68	2	2
86	69	2	2
85	70	1	1
84	71	1	1
83	72	0	0
82	73	0	0
98	58	1	1
97	59	1	1
96	60	2	2
95	61	2	2
94	62	2	2
93	63	2	2
92	64	2	2
91	65	2	2
90	66	2	2
89	67	2	2
88	68	2	2
87	69	2	2
86	70	2	1
85	71	1	1
84	72	1	0
83	73	0	0
99	58	1	1
98	59	1	1
97	60	2	2
96	61	2	2
95	62	2	2
94	63	2	2
93	64	2	2
92	65	2	2
91	66	2	2
90	67	2	2
89	68	2	2
88	69	2	2
87	70	2	2
86	71	1	1
85	72	1	1
84	73	0	0
83	74	0	0
99	59	1	1
98	60	1	1
97	61	2	2
96	62	2	2
95	63	2	2
94	64	2	2
93	65	2	2
92	66	2	2
91	67	2	2
90	68	2	2
89	69	2	2
88	70	2	2
87	71	1	2
86	72	1	1
85	73	1	0
84	74	0	0
100	59	1	1
99	60	1	1
98	61	2	2
97	62	2	2
96	63	2	2
95	64	2	2
94	65	2	2
93	66	2	2
92	67	2	2
91	68	2	2
90	69	2	2
89	70	2	2
88	71	2	1
87	72	1	1
86	73	1	1
85	74	0	0
84	75	0	0
100	60	1	1
99	61	1	1
98	62	2	2
97	63	2	2
96	64	2	2
95	65	2	2
94	66	2	2
93	67	2	2
92	68	2	2
91	69	2	2
90	70	2	2
89	71	2	2
88	72	2	1
87	73	1	1
86	74	1	0
85	75	0	0
101	60	1	1
100	61	1	1
99	62	2	2
98	63	2	2
97	64	2	2
96	65	2	2
95	66	2	2
94	67	2	2
93	68	2	2
92	69	2	2
91	70	2	2
90	71	2	2
89	72	2	2
88	73	1	1
87	74	1	1
86	75	0	0
85	76	0	0
101	61	1	1
100	62	1	1
99	63	2	2
98	64	2	2
97	65	2	2
96	66	2	2
95	67	2	2
94	68	2	2
93	69	2	2
92	70	2	2
91	71	2	2
90	72	2	2
89	73	1	2
88	74	1	1
87	75	1	0
86	76	0	0
102	61	1	1
101	62	1	1
100	63	2	2
99	64	2	2
98	65	2	2
97	66	2	2
96	67	2	2
95	68	2	2
94	69	2	2
93	70	2	2
92	71	2	2
91	72	2	2
90	73	2	1
89	74	1	1
88	75	1	1
87	76	0	0
102	62	1	1
101	63	1	1
100	64	1	1
99	65	2	2
98	66	2	2
97	67	2	2
96	68	2	2
95	69	2	2
94	70	2	2
93	71	2	2
92	72	2	2
91	73	2	2
90	74	2	1
89	75	1	1
88	76	0	0
87	77	0	0
103	62	1	1
102	63	1	1
101	64	1	1
100	65	1	1
99	66	2	2
98	67	2	2
97	68	2	2
96	69	2	2
95	70	2	2
94	71	2	2
93	72	2	2
92	73	2	2
91	74	2	2
90	75	1	1
89	76	1	0
88	77	0	0
103	63	1	1
102	64	1	1
101	65	1	2
100	66	2	2
99	67	2	2
98	68	2	2
97	69	2	2
96	70	2	2
95	71	2	2
94	72	2	2
93	73	2	2
92	74	2	2
91	75	1	2
90	76	1	1
89	77	0	0
88	78	0	0
104	63	1	1
103	64	1	1
102	65	1	1
101	66	2	2
100	67	2	2
99	68	2	2
98	69	2	2
97	70	2	2
96	71	2	2
95	72	2	2
94	73	2	2
93	74	1	1
92	75	1	1
91	76	1	1
90	77	1	0
89	78	0	0
104	64	1	1
103	65	1	1
102	66	2	2
101	67	2	2
100	68	2	2
99	69	2	2
98	70	2	2
97	71	2	2
96	72	2	2
95	73	2	2
94	74	1	2
93	75	1	2
92	76	2	1
91	77	1	1
90	78	0	0
105	64	1	1
104	65	1	1
103	66	2	2
102	67	2	2
101	68	2	2
100	69	2	2
99	70	2	2
98	71	2	2
97	72	2	2
96	73	2	2
95	74	2	1
94	75	2	1
93	76	2	2
92	77	1	1
91	78	0	0
90	79	0	0
105	65	1	1
104	66	1	1
103	67	2	2
102	68	2	2
101	69	2	2
100	70	2	2
99	71	2	2
98	72	2	2
97	73	2	2
96	74	2	2
95	75	2	2
94	76	2	1
93	77	1	1
92	78	1	0
91	79	0	0
106	65	1	1
105	66	1	1
104	67	2	2
103	68	2	2
102	69	2	2
101	70	2	2
100	71	2	2
99	72	2	2
98	73	2	2
97	74	2	2
96	75	2	2
95	76	1	2
94	77	1	1
93	78	1	1
92	79	0	0
91	80	0	0
106	66	1	1
105	67	1	1
104	68	2	2
103	69	2	2
102	70	2	2
101	71	2	2
100	72	2	2
99	73	2	2
98	74	2	2
97	75	2	2
96	76	2	1
95	77	2	1
94	78	2	1
93	79	1	0
92	80	0	0
107	66	1	1
106	67	1	1
105	68	1	1
104	69	2	2
103	70	2	2
102	71	2	2
101	72	2	2
100	73	2	2
99	74	2	2
98	75	2	2
97	76	2	2
96	77	2	2
95	78	2	2
94	79	1	1
93	80	0	0
107	67	1	1
106	68	1	1
105	69	2	2
104	70	2	2
103	71	2	2
102	72	2	2
101	73	2	2
100	74	2	2
99	75	2	2
98	76	2	2
97	77	2	2
96	78	1	1
95	79	1	1
94	80	0	0
108	67	1	1
107	68	1	1
106	69	2	2
105	70	2	2
104	71	2	2
103	72	2	2
102	73	2	2
101	74	2	2
100	75	2	2
99	76	2	2
98	77	2	2
97	78	1	2
96	79	1	1
95	80	0	0
108	68	1	1
107	69	2	2
106	70	2	2
105	71	2	2
104	72	2	2
103	73	2	2
102	74	2	2
101	75	2	2
100	76	2	2
99	77	2	2
98	78	2	1
97	79	2	1
96	80	0	0
95	81	0	0
109	68	1	1
108	69	1	1
107	70	2	2
106	71	2	2
105	72	2	2
104	73	2	2
103	74	2	2
102	75	2	2
101	76	2	2
100	77	2	2
99	78	2	2
98	79	2	2
97	80	2	0
96	81	0	0
109	69	1	1
108	70	2	2
107	71	2	2
106	72	1	1
105	73	1	1
104	74	2	2
103	75	2	2
102	76	2	2
101	77	2	2
100	78	2	2
99	79	2	2
98	80	1	1
97	81	0	0
96	82	0	0
110	69	1	1
109	70	1	1
108	71	2	2
107	72	1	2
106	73	1	2
105	74	2	2
104	75	2	2
103	76	2	2
102	77	2	2
101	78	2	2
100	79	2	2
99	80	1	2
98	81	1	0
97	82	0	0
110	70	1	1
109	71	2	2
108	72	2	1
107	73	2	1
106	74	2	2
105	75	2	2
104	76	2	2
103	77	2	2
102	78	2	2
101	79	2	2
100	80	2	1
99	81	2	1
98	82	0	0
111	70	1	1
110	71	2	2
109	72	2	2
108	73	2	2
107	74	2	2
106	75	2	2
105	76	2	2
104	77	2	2
103	78	2	2
102	79	2	2
101	80	2	2
100	81	2	2
99	82	0	0
111	71	1	1
110	72	2	2
109	73	2	2
108	74	2	2
107	75	2	2
106	76	2	2
105	77	2	2
104	78	2	2
103	79	2	2
102	80	2	2
101	81	2	2
100	82	0	0
112	71	1	2
111	72	2	2
110	73	2	2
109	74	2	2
108	75	2	2
107	76	2	2
106	77	2	2
105	78	2	2
104	79	2	2
103	80	2	2
102	81	2	2
101	82	0	0
113	71	1	1
112	72	2	2
111	73	2	2
110	74	2	2
109	75	2	2
108	76	2	2
107	77	2	2
106	78	2	2
105	79	2	2
104	80	2	2
103	81	2	2
102	82	0	0
101	83	0	0
114	71	1	1
113	72	2	2
112	73	2	2
111	74	2	2
110	75	2	2
109	76	2	2
108	77	2	2
107	78	2	2
106	79	2	2
105	80	2	2
104	81	2	2
103	82	1	0
102	83	0	0
114	72	2	2
113	73	2	2
112	74	2	2
111	75	2	2
110	76	2	2
109	77	2	2
108	78	2	2
107	79	2	2
106	80	2	2
105	81	2	2
104	82	1	2
103	83	0	0
102	84	0	0
115	72	1	1
114	73	2	2
113	74	2	2
112	75	2	2
111	76	2	2
110	77	2	2
109	78	2	2
108	79	2	2
107	80	2	2
106	81	2	2
105	82	2	2
104	83	2	0
103	84	0	0
116	72	1	1
115	73	2	2
114	74	2	2
113	75	2	2
112	76	2	2
111	77	2	2
110	78	2	2
109	79	2	2
108	80	2	2
107	81	2	2
106	82	2	2
105	83	2	2
104	84	0	0
117	72	1	1
116	73	1	1
115	74	2	2
114	75	2	2
113	76	2	2
112	77	2	2
111	78	2	2
110	79	2	2
109	80	2	2
108	81	2	2
107	82	2	2
106	83	2	2
105	84	0	0
117	73	1	1
116	74	2	2
115	75	2	2
114	76	2	2
113	77	2	2
112	78	2	2
111	79	2	2
110	80	1	1
109	81	1	1
108	82	2	2
107	83	2	2
106	84	0	0
118	73	1	1
117	74	2	2
116	75	2	2
115	76	2	2
114	77	2	2
113	78	2	2
112	79	2	2
111	80	1	2
110	81	1	2
109	82	2	2
108	83	2	2
107	84	0	0
106	85	0	0
119	73	1	1
118	74	1	1
117	75	2	2
116	76	2	2
115	77	2	2
114	78	2	2
113	79	2	2
112	80	2	2
111	81	2	2
110	82	2	2
109	83	2	2
108	84	2	0
107	85	0	0
119	74	1	1
118	75	2	2
117	76	2	2
116	77	2	2
115	78	2	2
114	79	2	2
113	80	2	2
112	81	2	2
111	82	2	2
110	83	2	2
109	84	2	2
108	85	0	0
107	86	0	0
120	74	1	1
119	75	1	1
118	76	2	2
117	77	2	2
116	78	2	2
115	79	2	2
114	80	2	2
113	81	2	2
112	82	1	1
111	83	1	1
110	84	2	2
109	85	2	0
108	86	0	0
120	75	1	1
119	76	2	2
118	77	2	2
117	78	2	2
116	79	2	2
115	80	2	2
114	81	2	2
113	82	1	2
112	83	1	2
111	84	2	2
110	85	2	2
109	86	0	0
121	75	1	1
120	76	2	2
119	77	2	2
118	78	2	2
117	79	2	2
116	80	2	2
115	81	2	2
114	82	2	1
113	83	2	1
112	84	2	2
111	85	2	2
110	86	0	0
122	75	1	1
121	76	1	1
120	77	2	2
119	78	2	2
118	79	2	2
117	80	2	2
116	81	2	2
115	82	2	2
114	83	2	2
113	84	2	2
112	85	2	2
111	86	0	0
123	75	1	1
122	76	1	1
121	77	1	1
120	78	2	2
119	79	2	2
118	80	2	2
117	81	2	2
116	82	2	2
115	83	2	2
114	84	1	1
113	85	1	1
112	86	0	0
123	76	1	1
122	77	1	2
121	78	2	2
120	79	2	2
119	80	2	2
118	81	2	2
117	82	2	2
116	83	2	2
115	84	1	2
114	85	1	2
113	86	0	0
112	87	0	0
124	76	1	1
123	77	1	1
122	78	2	2
121	79	2	2
120	80	2	2
119	81	2	2
118	82	2	2
117	83	2	2
116	84	2	1
115	85	2	1
114	86	2	0
113	87	0	0
125	76	1	1
124	77	1	1
123	78	2	2
122	79	2	2
121	80	2	2
120	81	2	2
119	82	2	2
118	83	2	2
117	84	2	2
116	85	2	2
115	86	2	2
114	87	0	0
113	88	0	0
126	76	1	1
125	77	1	1
124	78	2	2
123	79	2	2
122	80	2	2
121	81	2	2
120	82	2	2
119	83	2	2
118	84	2	2
117	85	2	2
116	86	1	1
115	87	1	0
114	88	0	0
126	77	1	1
125	78	1	1
124	79	2	2
123	80	2	2
122	81	2	2
121	82	2	2
120	83	2	2
119	84	2	2
118	85	2	2
117	86	1	2
116	87	1	1
115	88	0	0
127	77	1	1
126	78	1	1
125	79	1	1
124	80	2	2
123	81	2	2
122	82	2	2
121	83	2	2
120	84	2	2
119	85	2	2
118	86	2	1
117	87	2	1
116	88	0	0
127	78	1	1
126	79	1	1
125	80	2	2
124	81	2	2
123	82	2	2
122	83	2	2
121	84	2	2
120	85	2	2
119	86	2	2
118	87	2	2
117	88	0	0
128	78	1	1
127	79	1	1
126	80	2	2
125	81	2	2
124	82	2	2
123	83	2	2
122	84	2	2
121	85	2	2
120	86	2	2
119	87	2	2
118	88	0	0
117	89	0	0
128	79	1	1
127	80	2	2
126	81	2	2
125	82	2	2
124	83	2	2
123	84	2	2
122	85	2	2
121	86	2	2
120	87	2	2
119	88	1	0
118	89	0	0
129	79	1	1
128	80	2	2
127	81	2	2
126	82	2	2
125	83	2	2
124	84	2	2
123	85	2	2
122	86	2	2
121	87	2	2
120	88	2	1
119	89	0	0
118	90	0	0
130	79	1	1
129	80	1	1
128	81	2	2
127	82	2	2
126	83	2	2
125	84	2	2
124	85	2	2
123	86	2	2
122	87	2	2
121	88	2	2
120	89	2	0
119	90	0	0
131	79	1	1
130	80	1	1
129	81	2	2
128	82	2	2
127	83	2	2
126	84	2	2
125	85	2	2
124	86	2	2
123	87	2	2
122	88	2	2
121	89	2	2
120	90	0	0
131	80	1	1
130	81	2	2
129	82	2	2
128	83	2	2
127	84	2	2
126	85	2	2
125	86	2	2
124	87	2	2
123	88	2	2
122	89	2	2
121	90	0	0
132	80	1	1
131	81	1	1
130	82	2	2
129	83	2	2
128	84	2	2
127	85	2	2
126	86	2	2
125	87	2	2
124	88	2	2
123	89	2	2
122	90	0	0
121	91	0	0
133	80	1	1
132	81	1	2
131	82	2	2
130	83	2	2
129	84	2	2
128	85	2	2
127	86	2	2
126	87	2	2
125	88	2	2
124	89	2	2
123	90	2	0
122	91	0	0
134	80	1	1
133	81	1	1
132	82	2	2
131	83	2	2
130	84	2	2
129	85	2	2
128	86	2	2
127	87	2	2
126	88	2	2
125	89	2	2
124	90	2	2
123	91	0	0
135	80	1	1
134	81	1	1
133	82	1	1
132	83	2	2
131	84	2	2
130	85	2	2
129	86	2	2
128	87	2	2
127	88	2	2
126	89	2	2
125	90	2	2
124	91	0	0
136	80	1	1
135	81	1	1
134	82	1	1
133	83	2	2
132	84	2	2
131	85	2	2
130	86	2	2
129	87	2	2
128	88	2	2
127	89	2	2
126	90	2	2
125	91	0	0
136	81	1	1
135	82	1	1
134	83	2	2
133	84	2	2
132	85	2	2
131	86	2	2
130	87	2	2
129	88	2	2
128	89	2	2
127	90	2	2
126	91	0	0
125	92	0	0
137	81	1	1
136	82	1	1
135	83	2	2
134	84	2	2
133	85	2	2
132	86	2	2
131	87	2	2
130	88	2	2
129	89	2	2
128	90	2	2
127	91	1	0
126	92	0	0
137	82	1	1
136	83	1	1
135	84	2	2
134	85	2	2
133	86	2	2
132	87	2	2
131	88	2	2
130	89	2	2
129	90	2	2
128	91	2	1
127	92	0	0
126	93	0	0
138	82	1	1
137	83	1	1
136	84	2	2
135	85	2	2
134	86	2	2
133	87	2	2
132	88	2	2
131	89	2	2
130	90	1	1
129	91	1	1
128	92	1	0
127	93	0	0
138	83	1	1
137	84	2	2
136	85	2	2
135	86	2	2
134	87	2	2
133	88	2	2
132	89	2	2
131	90	1	2
130	91	1	1
129	92	1	1
128	93	0	0
139	83	1	1
138	84	2	2
137	85	2	2
136	86	2	2
135	87	2	2
134	88	2	2
133	89	2	2
132	90	1	1
131	91	1	1
130	92	1	1
129	93	0	0
140	83	1	1
139	84	1	1
138	85	2	2
137	86	2	2
136	87	2	2
135	88	2	2
134	89	2	2
133	90	1	2
132	91	1	1
131	92	1	1
130	93	0	0
141	83	1	1
140	84	1	1
139	85	2	2
138	86	2	2
137	87	2	2
136	88	2	2
135	89	2	2
134	90	2	2
133	91	2	1
132	92	1	1
131	93	0	0
141	84	1	1
140	85	1	1
139	86	2	2
138	87	2	2
137	88	2	2
136	89	2	2
135	90	2	2
134	91	2	2
133	92	1	1
132	93	0	0
142	84	1	1
141	85	1	1
140	86	2	2
139	87	2	2
138	88	2	2
137	89	2	2
136	90	2	2
135	91	2	2
134	92	1	1
133	93	0	0
143	84	1	1
142	85	1	1
141	86	2	2
140	87	2	2
139	88	2	2
138	89	2	2
137	90	2	2
136	91	2	2
135	92	1	2
134	93	0	0
143	85	1	1
142	86	2	2
141	87	2	2
140	88	2	2
139	89	2	2
138	90	2	2
137	91	2	2
136	92	2	1
135	93	0	0
134	94	0	0
144	85	1	1
143	86	2	2
142	87	2	2
141	88	2	2
140	89	2	2
139	90	2	2
138	91	2	2
137	92	2	2
136	93	2	0
135	94	0	0
144	86	1	1
143	87	2	2
142	88	2	2
141	89	2	2
140	90	2	2
139	91	2	2
138	92	2	2
137	93	2	2
136	94	0	0
135	95	0	0
145	86	1	1
144	87	2	2
143	88	2	2
142	89	2	2
141	90	2	2
140	91	2	2
139	92	2	2
138	93	2	2
137	94	1	0
136	95	0	0
145	87	1	1
144	88	2	2
143	89	2	2
142	90	2	2
141	91	2	2
140	92	1	1
139	93	1	1
138	94	1	1
137	95	0	0
136	96	0	0
146	87	1	1
145	88	2	2
144	89	2	2
143	90	2	2
142	91	2	2
141	92	1	2
140	93	1	2
139	94	1	1
138	95	1	0
137	96	0	0
146	88	2	2
145	89	2	2
144	90	2	2
143	91	2	2
142	92	2	1
141	93	2	1
140	94	1	1
139	95	1	1
138	96	0	0
137	97	0	0
147	88	1	1
146	89	2	2
145	90	2	2
144	91	2	2
143	92	2	2
142	93	2	2
141	94	1	1
140	95	1	1
139	96	1	0
138	97	0	0
147	89	2	2
146	90	2	2
145	91	2	2
144	92	2	2
143	93	2	2
142	94	1	1
141	95	1	1
140	96	1	1
139	97	0	0
148	89	1	1
147	90	2	2
146	91	2	2
145	92	2	2
144	93	2	2
143	94	1	1
142	95	1	1
141	96	1	1
140	97	0	0
139	98	0	0
148	90	1	1
147	91	2	2
146	92	2	2
145	93	2	2
144	94	1	1
143	95	1	1
142	96	1	1
141	97	1	0
140	98	0	0
149	90	1	1
148	91	1	1
147	92	2	2
146	93	2	2
145	94	2	2
144	95	2	1
143	96	1	1
142	97	1	1
141	98	0	0
140	99	0	0
149	91	1	1
148	92	2	2
147	93	2	2
146	94	2	2
145	95	2	2
144	96	1	1
143	97	1	1
142	98	1	0
141	99	0	0
150	91	1	1
149	92	1	1
148	93	2	2
147	94	2	2
146	95	2	2
145	96	1	1
144	97	1	1
143	98	1	1
142	99	0	0
141	100	0	0
150	92	1	1
149	93	2	2
148	94	2	2
147	95	2	2
146	96	1	1
145	97	1	1
144	98	1	1
143	99	1	0
142	100	0	0
151	92	1	1
150	93	1	1
149	94	2	2
148	95	2	2
147	96	1	1
146	97	1	1
145	98	1	1
144	99	1	1
143	100	0	0
151	93	1	1
150	94	2	2
149	95	2	2
148	96	2	1
147	97	1	1
146	98	1	1
145	99	1	1
144	100	0	0
152	93	1	1
151	94	2	2
150	95	2	2
149	96	2	2
148	97	2	1
147	98	1	1
146	99	1	1
145	100	0	0
144	101	0	0
152	94	1	1
151	95	1	1
150	96	2	2
149	97	2	2
148	98	1	1
147	99	1	1
146	100	1	0
145	101	0	0
153	94	1	1
152	95	1	1
151	96	2	2
150	97	2	2
149	98	1	1
148	99	1	1
147	100	1	1
146	101	0	0
153	95	1	1
152	96	1	1
151	97	1	1
150	98	1	1
149	99	1	1
148	100	1	1
147	101	0	0
146	102	0	0
154	95	1	1
153	96	1	2
152	97	1	2
151	98	1	1
150	99	1	1
149	100	1	1
148	101	1	0
147	102	0	0
154	96	2	1
153	97	2	1
152	98	1	1
151	99	1	1
150	100	1	1
149	101	1	1
148	102	0	0
155	96	2	2
154	97	2	2
153	98	1	1
152	99	1	1
151	100	1	1
150	101	1	1
149	102	0	0
148	103	0	0
156	96	1	1
155	97	1	1
154	98	2	1
153	99	2	1
152	100	2	1
151	101	1	1
150	102	1	0
149	103	0	0
156	97	1	1
155	98	2	2
154	99	2	2
153	100	1	1
152	101	1	1
151	102	1	1
150	103	0	0
149	104	0	0
157	97	1	1
156	98	2	2
155	99	2	2
154	100	1	1
153	101	1	1
152	102	1	1
151	103	1	0
150	104	0	0
157	98	1	1
156	99	2	2
155	100	1	1
154	101	1	1
153	102	1	1
152	103	1	1
151	104	0	0
150	105	0	0
158	98	1	1
157	99	1	1
156	100	1	1
155	101	1	1
154	102	2	1
153	103	1	1
152	104	1	0
151	105	0	0
158	99	1	1
157	100	1	2
156	101	1	2
155	102	1	1
154	103	1	1
153	104	1	1
152	105	0	0
159	99	1	1
158	100	1	1
157	101	1	1
156	102	1	1
155	103	1	1
154	104	1	1
153	105	0	0
152	106	0	0
159	100	1	1
158	101	1	1
157	102	1	1
156	103	1	1
155	104	1	1
154	105	1	0
153	106	0	0
160	100	1	1
159	101	1	1
158	102	1	1
157	103	1	1
156	104	1	1
155	105	1	1
154	106	0	0
153	107	0	0
160	101	1	1
159	102	1	1
158	103	1	1
157	104	1	1
156	105	1	1
155	106	1	0
154	107	0	0
161	101	1	1
160	102	1	1
159	103	1	1
158	104	1	1
157	105	1	1
156	106	1	1
155	107	0	0
161	102	1	1
160	103	1	1
159	104	1	1
158	105	1	1
157	106	1	1
156	107	0	0
155	108	0	0
162	102	1	1
161	103	1	1
160	104	1	1
159	105	1	1
158	106	1	1
157	107	1	0
156	108	0	0
162	103	1	1
161	104	1	1
160	105	1	1
159	106	1	1
158	107	1	1
157	108	0	0
156	109	0	0
163	103	1	1
162	104	1	1
161	105	1	1
160	106	1	1
159	107	1	1
158	108	1	0
157	109	0	0
163	104	1	1
162	105	1	1
161	106	1	1
160	107	1	1
159	108	1	1
158	109	0	0
157	110	0	0
164	104	1	1
163	105	1	1
162	106	1	1
161	107	1	1
160	108	1	1
159	109	1	0
158	110	0	0
164	105	1	1
163	106	1	1
162	107	1	1
161	108	1	1
160	109	1	1
159	110	0	0
165	105	1	1
164	106	1	1
163	107	1	1
162	108	1	1
161	109	1	1
160	110	0	0
165	106	1	1
164	107	1	1
163	108	1	1
162	109	1	1
161	110	0	0
166	106	1	1
165	107	1	1
164	108	1	1
163	109	1	1
162	110	0	0
161	111	0	0
167	106	1	1
166	107	1	1
165	108	1	1
164	109	1	1
163	110	1	0
162	111	0	0
167	107	1	1
166	108	1	1
165	109	1	1
164	110	1	1
163	111	0	0
168	107	1	1
167	108	1	1
166	109	1	1
165	110	1	1
164	111	0	0
168	108	1	1
167	109	1	1
166	110	1	1
165	111	0	0
164	112	0	0
169	108	1	1
168	109	1	1
167	110	1	1
166	111	1	0
165	112	0	0
169	109	1	1
168	110	1	1
167	111	1	1
166	112	0	0
165	113	0	0
170	109	1	1
169	110	1	1
168	111	1	1
167	112	1	0
166	113	0	0
170	110	1	1
169	111	1	1
168	112	1	1
167	113	0	0
171	110	1	1
170	111	1	1
169	112	1	1
168	113	0	0
171	111	1	1
170	112	1	1
169	113	0	0
172	111	1	1
171	112	1	1
170	113	0	0
172	112	1	1
171	113	0	0
173	112	1	1
172	113	0	0
171	114	0	0
173	113	1	1
172	114	0	0
174	113	1	1
173	114	0	0
172	115	0	0
174	114	1	0
173	115	0	0
175	114	1	1
174	115	0	0
173	116	0	0
175	115	1	0
174	116	0	0
176	115	1	1
175	116	0	0
174	117	0	0
176	116	1	0
175	117	0	0
177	116	1	1
176	117	0	0
175	118	0	0
177	117	1	0
176	118	0	0
177	118	0	0
