N	Z	bn	b2n
22	26	1	0
21	27	0	0
20	28	0	0
33	16	1	1
32	17	1	1
31	18	1	1
30	19	2	2
29	20	2	2
28	21	2	2
27	22	2	2
26	23	2	2
25	24	2	2
24	25	1	1
23	26	1	1
22	27	1	0
21	28	0	0
33	17	1	1
32	18	1	1
31	19	2	2
30	20	2	2
29	21	2	2
28	22	2	2
27	23	2	2
26	24	2	2
25	25	2	1
24	26	1	1
23	27	1	1
22	28	0	0
34	17	1	1
33	18	1	1
32	19	2	2
31	20	2	2
30	21	2	2
29	22	2	2
28	23	2	2
27	24	2	2
26	25	2	2
25	26	1	1
24	27	1	1
23	28	0	0
34	18	1	1
33	19	1	1
32	20	2	2
31	21	2	2
30	22	2	2
29	23	2	2
28	24	2	2
27	25	2	1
26	26	1	1
25	27	1	1
24	28	0	0
23	29	0	0
35	18	1	1
34	19	1	1
33	20	1	1
32	21	2	2
31	22	2	2
30	23	2	2
29	24	2	2
28	25	2	2
27	26	1	2
26	27	1	2
25	28	1	0
24	29	0	0
35	19	1	1
34	20	1	1
33	21	2	2
32	22	2	2
31	23	2	2
30	24	2	2
29	25	2	2
28	26	2	2
27	27	2	1
26	28	1	1
25	29	0	0
24	30	0	0
36	19	1	1
35	20	1	1
34	21	2	2
33	22	2	2
32	23	2	2
31	24	2	2
30	25	2	2
29	26	2	2
28	27	2	2
27	28	1	1
26	29	1	0
25	30	0	0
37	19	1	1
36	20	1	1
35	21	1	1
34	22	2	2
33	23	2	2
32	24	2	2
31	25	2	2
30	26	2	2
29	27	2	2
28	28	1	1
27	29	1	1
26	30	0	0
25	31	0	0
37	20	1	1
36	21	1	1
35	22	2	2
34	23	2	2
33	24	2	2
32	25	2	2
31	26	2	2
30	27	2	2
29	28	1	1
28	29	1	1
27	30	1	0
26	31	0	0
38	20	1	1
37	21	1	1
36	22	1	1
35	23	2	2
34	24	2	2
33	25	2	2
32	26	2	2
31	27	2	2
30	28	2	2
29	29	1	1
28	30	1	1
27	31	0	0
26	32	0	0
38	21	1	1
37	22	1	1
36	23	2	2
35	24	2	2
34	25	2	2
33	26	2	2
32	27	2	2
31	28	2	2
30	29	2	1
29	30	1	1
28	31	1	0
27	32	0	0
39	21	1	1
38	22	1	1
37	23	2	2
36	24	2	2
35	25	2	2
34	26	2	2
