N_stab	Z_stab	N_Q	Z_Q	Q(bn)		Q(b2n)		Q(b3n)		Q(b4n)		Nuclide	N_ENSDF	Z_ENSDF	P1n	P2n	P3n	P4n	N_iso1	Z_iso1	P1n_i1	P2n_i1	P3n_i1	P4n_i1	N_iso2	Z_iso2	P1n_i2	P2n_i2	P3n_i3	P4n_i4
0	1	1	0	--------	--------	--------	--------	He	6	2	16.00	0.00	0.00	0.00	47	29	2.9126	0.0000	0.0000	0.0000	81	49	1.6232	0.0000	0.0000	0.0000
1	1	0	1	--------	--------	--------	--------	Li	6	3	50.80	0.00	0.00	0.00	63	39	4.6711	0.0000	0.0000	0.0000	0	0	0.0000	0.0000	0.0000	0.0000
1	2	1	1	--------	--------	--------	--------	Be	8	4	1.00	0.00	0.00	0.00	63	41	0.0500	0.0000	0.0000	0.0000	0	0	0.0000	0.0000	0.0000	0.0000
2	2	2	1	--------	--------	--------	--------	Be	10	4	81.00	5.00	0.00	0.00	78	49	0.6853	0.0000	0.0000	0.0000	0	0	0.0000	0.0000	0.0000	0.0000
3	3	1	2	--------	--------	--------	--------	B	12	5	63.00	11.00	3.50	0.40	79	49	0.0460	0.0000	0.0000	0.0000	0	0	0.0000	0.0000	0.0000	0.0000
4	3	0	3	--------	--------	--------	--------	C	10	6	99.00	0.00	0.00	0.00	81	49	1.6232	0.0000	0.0000	0.0000	0	0	0.0000	0.0000	0.0000	0.0000
5	4	3	1	1.62E+03	--------	--------	--------	C	11	6	32.00	0.00	0.00	0.00	83	51	0.0879	0.0000	0.0000	0.0000	0	0	0.0000	0.0000	0.0000	0.0000
5	5	2	2	-3.43E+04	--------	--------	--------	C	12	6	31.50	0.00	0.00	0.00	0	0	0.0000	0.0000	0.0000	0.0000	0	0	0.0000	0.0000	0.0000	0.0000
6	5	1	3	--------	--------	--------	--------	C	14	6	72.00	0.00	0.00	0.00	0	0	0.0000	0.0000	0.0000	0.0000	0	0	0.0000	0.0000	0.0000	0.0000
6	6	4	1	2.24E+04	1.82E+03	--------	--------	C	16	6	61.00	37.00	0.00	0.00	0	0	0.0000	0.0000	0.0000	0.0000	0	0	0.0000	0.0000	0.0000	0.0000
7	6	3	2	-2.22E+04	-3.36E+04	-3.27E+04	-3.25E+04	N	10	7	95.10	0.00	0.00	0.00	0	0	0.0000	0.0000	0.0000	0.0000	0	0	0.0000	0.0000	0.0000	0.0000
7	7	2	3	--------	--------	--------	--------	N	11	7	14.30	0.00	0.00	0.00	0	0	0.0000	0.0000	0.0000	0.0000	0	0	0.0000	0.0000	0.0000	0.0000
8	7	1	4	--------	--------	--------	--------	N	12	7	54.60	0.00	0.00	0.00	0	0	0.0000	0.0000	0.0000	0.0000	0	0	0.0000	0.0000	0.0000	0.0000
8	8	5	1	2.26E+04	2.33E+04	-3.53E+03	--------	N	13	7	57.00	0.00	0.00	0.00	0	0	0.0000	0.0000	0.0000	0.0000	0	0	0.0000	0.0000	0.0000	0.0000
9	8	4	2	-2.16E+03	-2.39E+04	--------	--------	N	14	7	90.50	0.00	0.00	0.00	0	0	0.0000	0.0000	0.0000	0.0000	0	0	0.0000	0.0000	0.0000	0.0000
10	8	3	3	-3.11E+04	--------	--------	--------	N	15	7	36.00	13.00	0.00	0.00	0	0	0.0000	0.0000	0.0000	0.0000	0	0	0.0000	0.0000	0.0000	0.0000
10	9	2	4	--------	--------	--------	--------	O	14	8	22.00	0.00	0.00	0.00	0	0	0.0000	0.0000	0.0000	0.0000	0	0	0.0000	0.0000	0.0000	0.0000
10	10	1	5	--------	--------	--------	--------	O	15	8	31.00	0.00	0.00	0.00	0	0	0.0000	0.0000	0.0000	0.0000	0	0	0.0000	0.0000	0.0000	0.0000
11	10	6	1	2.35E+04	2.18E+04	1.11E+04	-1.58E+04	O	16	8	58.00	0.00	0.00	0.00	0	0	0.0000	0.0000	0.0000	0.0000	0	0	0.0000	0.0000	0.0000	0.0000
12	10	5	2	3.91E+03	-1.75E+03	-2.95E+04	--------	F	13	9	11.00	0.00	0.00	0.00	0	0	0.0000	0.0000	0.0000	0.0000	0	0	0.0000	0.0000	0.0000	0.0000
12	11	4	3	-1.15E+04	-3.84E+04	-4.09E+04	-4.05E+04	F	15	9	5.90	0.00	0.00	0.00	0	0	0.0000	0.0000	0.0000	0.0000	0	0	0.0000	0.0000	0.0000	0.0000
12	12	3	4	-3.96E+04	--------	--------	--------	F	16	9	23.10	0.00	0.00	0.00	0	0	0.0000	0.0000	0.0000	0.0000	0	0	0.0000	0.0000	0.0000	0.0000
13	12	2	5	--------	--------	--------	--------	F	17	9	11.00	0.00	0.00	0.00	0	0	0.0000	0.0000	0.0000	0.0000	0	0	0.0000	0.0000	0.0000	0.0000
14	12	6	2	8.63E+03	1.38E+03	-1.14E+04	-3.92E+04	F	18	9	77.00	0.00	0.00	0.00	0	0	0.0000	0.0000	0.0000	0.0000	0	0	0.0000	0.0000	0.0000	0.0000
14	13	5	3	-2.89E+03	-1.36E+04	--------	--------	F	20	9	100.00	0.00	0.00	0.00	0	0	0.0000	0.0000	0.0000	0.0000	0	0	0.0000	0.0000	0.0000	0.0000
14	14	4	4	-3.08E+04	-5.85E+04	-5.73E+04	-5.98E+04	Ne	16	10	0.13	0.00	0.00	0.00	0	0	0.0000	0.0000	0.0000	0.0000	0	0	0.0000	0.0000	0.0000	0.0000
15	14	3	5	--------	--------	--------	--------	Ne	17	10	2.00	0.00	0.00	0.00	0	0	0.0000	0.0000	0.0000	0.0000	0	0	0.0000	0.0000	0.0000	0.0000
