N	Z	P1n	P2n	P3n	P4n	P5n	Element
105	56	63.2	6.3	0.9	0.7	0.8	Ba
106	56	22.4	1.9	0.9	0.4	0.7	Ba
107	56	70.2	9.9	1.3	0.8	1	Ba
108	56	44.9	2.5	1.2	0.4	0.9	Ba
109	56	64.6	18.8	1.7	1	1.2	Ba
110	56	62	3.4	1.5	0.5	1.1	Ba
111	56	39.6	45.2	2.5	1.4	1.5	Ba
112	56	69.5	5	2.1	0.6	1.3	Ba
113	56	18.2	65.7	3.5	2	1.9	Ba
114	56	68.7	8.2	2.7	0.9	1.6	Ba
115	56	10.7	69.8	7.1	2.9	2.6	Ba
116	56	62.8	15.3	3.7	1.4	2.1	Ba
117	56	6.9	60.5	18.3	4.6	3.8	Ba
118	56	37.4	39.3	7	1.7	3.2	Ba
119	56	4.8	24.9	49.5	10.4	5.7	Ba
120	56	18.5	46.8	18.1	2.4	4.8	Ba
121	56	2.8	12.7	28.7	42.7	9.2	Ba
122	56	10.8	19	51	4.6	7.3	Ba
123	56	1.4	7.1	9.3	55.5	23.3	Ba
124	56	7	6.4	46.9	20.3	13.8	Ba
125	56	0.6	3.1	3.9	15.5	74.1	Ba
126	56	1.7	2.6	7.9	12.8	71.3	Ba
127	56	0	1.9	0	5.8	89.8	Ba
128	56	0.4	0.6	1	0.9	94.8	Ba
129	56	0	0.2	0.1	0.9	97.1	Ba
130	56	0	0	0.2	0.1	98	Ba
131	56	0	0	0	0.1	98.5	Ba
83	57	0.5	0	0	0	0	La
84	57	2.4	0	0	0	0	La
85	57	4.1	0.9	0	0	0	La
86	57	3.9	0	0	0	0	La
87	57	3.4	1.2	0.1	0	0	La
88	57	5	0.5	0	0	0	La
89	57	5.2	1.4	0.4	0	0	La
90	57	6.2	0.7	0.2	0	0	La
91	57	7.4	1.7	0.4	0.2	0	La
92	57	8.3	0.8	0.5	0	0	La
93	57	11.2	2.1	0.4	0.4	0.1	La
94	57	11.7	1	0.6	0.1	0	La
95	57	24.5	2.7	0.5	0.4	0.2	La
96	57	19.7	1.1	0.7	0.2	0.1	La
97	57	60.4	3.9	0.6	0.5	0.3	La
98	57	51.2	1.4	0.8	0.3	0.2	La
99	57	75.1	5.7	0.7	0.6	0.5	La
100	57	74.5	1.8	1	0.3	0.4	La
101	57	76.6	9.5	0.9	0.7	0.6	La
102	57	82.4	2.5	1.2	0.3	0.6	La
103	57	68.9	19.6	1.1	0.8	0.8	La
104	57	83.9	3.5	1.5	0.4	0.7	La
105	57	45.1	44.3	1.3	1	0.9	La
106	57	83.5	5.2	1.8	0.5	0.9	La
107	57	18.1	71.7	2.2	1.2	1.2	La
108	57	80.5	8.8	2.6	0.5	1.1	La
109	57	9.3	79.4	3.4	1.6	1.4	La
110	57	70.5	17.9	4	0.7	1.4	La
111	57	6.2	79.1	6.6	2.3	1.8	La
112	57	43.3	42.8	6.5	0.9	1.7	La
113	57	3.7	76.9	9.7	3.7	2.1	La
114	57	22.7	58.9	10.7	1.3	2.1	La
115	57	2.4	51	33.7	6.6	3	La
116	57	14.2	51.3	26	1.8	2.9	La
117	57	1.5	23	52.4	15.8	4.2	La
118	57	9.6	19.3	60.8	2.7	4.3	La
119	57	1	11.9	24.6	53.4	6.5	La
120	57	6.5	8.5	69.8	5.6	6.5	La
121	57	0.6	7.7	8.1	69.7	11.4	La
122	57	4	5.1	53.3	23	11.9	La
123	57	0.4	3.4	4.9	41.7	47.3	La
124	57	2.4	1.9	20	21.8	51.5	La
125	57	0.2	1.5	1.5	13.1	81.7	La
126	57	1	0.7	5.8	5.4	85.1	La
127	57	0	1.1	0	4.6	92.6	La
128	57	0.3	0.1	1	1	96.1	La
129	57	0	0.2	0	0.5	98	La
130	57	0	0	0.2	0	98.6	La
131	57	0	0	0	0.2	98.8	La
79	58	0	0	0	0	0	Ce
81	58	0	0	0	0	0	Ce
83	58	0	0	0	0	0	Ce
85	58	0	0	0	0	0	Ce
86	58	0	0	0	0	0	Ce
87	58	0.5	0	0	0	0	Ce
88	58	0	0	0	0	0	Ce
89	58	1.6	0	0	0	0	Ce
90	58	0.4	0	0	0	0	Ce
91	58	1.9	0.5	0	0	0	Ce
92	58	1.4	0	0	0	0	Ce
93	58	2.1	0.9	0	0	0	Ce
94	58	2.1	0	0	0	0	Ce
95	58	2.7	1	0.3	0	0	Ce
96	58	2.3	0.4	0	0	0	Ce
97	58	3.5	1.2	0.4	0.1	0	Ce
98	58	2.8	0.6	0.2	0	0	Ce
99	58	4.9	1.4	0.4	0.3	0	Ce
100	58	3.5	0.7	0.5	0	0	Ce
101	58	7.9	1.8	0.5	0.4	0.2	Ce
102	58	4.9	0.9	0.5	0.2	0	Ce
103	58	12.1	2.2	0.5	0.4	0.3	Ce
104	58	6.4	1	0.6	0.3	0.1	Ce
105	58	18.5	2.7	0.6	0.4	0.4	Ce
106	58	8.5	1.1	0.6	0.3	0.3	Ce
107	58	48.5	3.6	0.8	0.5	0.6	Ce
108	58	13.5	1.4	0.7	0.3	0.4	Ce
109	58	64.8	5.3	0.9	0.6	0.7	Ce
110	58	23	1.7	0.9	0.3	0.6	Ce
111	58	72.3	8.2	1.2	0.7	0.9	Ce
112	58	43.2	2.2	1.1	0.4	0.8	Ce
113	58	67.2	14.6	1.4	0.9	1.1	Ce
114	58	57.4	3	1.3	0.5	0.9	Ce
115	58	52.7	31.3	2.1	1.1	1.3	Ce
116	58	65.6	4.2	1.7	0.6	1.1	Ce
117	58	26.2	57.4	2.8	1.7	1.6	Ce
118	58	69.3	6.3	2.4	0.7	1.4	Ce
119	58	14.5	68	5.2	2.4	2.1	Ce
120	58	66.7	11	3.3	1.2	1.8	Ce
121	58	9.1	67.5	10.2	3.6	3	Ce
122	58	50.2	27.3	5.1	1.8	2.5	Ce
123	58	7	29.4	47.6	6.3	5.1	Ce
124	58	23.9	47.5	11.3	2.1	4.2	Ce
125	58	3.2	14.7	37.5	32.4	8.1	Ce
126	58	9.7	18.8	51.4	5.7	7.4	Ce
127	58	0.1	6.5	2.3	52.7	34.6	Ce
128	58	1.4	1.2	5	9.1	80.2	Ce
129	58	0	0.7	1.3	2.1	94.1	Ce
130	58	0	0	1.2	1.5	95.2	Ce
131	58	0	0	0	0.4	98	Ce
83	59	0	0	0	0	0	Pr
84	59	0	0	0	0	0	Pr
85	59	1.3	0	0	0	0	Pr
86	59	0.2	0	0	0	0	Pr
87	59	2.5	0.2	0	0	0	Pr
88	59	2.5	0	0	0	0	Pr
89	59	3.5	0.8	0	0	0	Pr
90	59	3.8	0	0	0	0	Pr
91	59	4.1	1.2	0.1	0	0	Pr
92	59	4.7	0.4	0	0	0	Pr
93	59	5.1	1.4	0.3	0	0	Pr
94	59	5.8	0.7	0.1	0	0	Pr
95	59	8.1	1.7	0.4	0.2	0	Pr
96	59	7.7	0.8	0.3	0	0	Pr
97	59	13.2	2.1	0.4	0.4	0	Pr
98	59	11.7	1	0.6	0.1	0	Pr
99	59	31.6	2.7	0.5	0.4	0.2	Pr
100	59	23.9	1.1	0.7	0.2	0	Pr
101	59	62.6	3.5	0.6	0.4	0.3	Pr
102	59	53.9	1.4	0.8	0.3	0.2	Pr
103	59	73.9	5.1	0.7	0.5	0.4	Pr
104	59	71.7	1.7	0.9	0.3	0.3	Pr
105	59	75.7	7.8	0.8	0.6	0.5	Pr
106	59	79.8	2.2	1.1	0.3	0.5	Pr
107	59	73.3	14.3	1	0.7	0.7	Pr
108	59	82.9	3	1.3	0.4	0.6	Pr
109	59	55.2	33.9	1.3	0.8	0.9	Pr
110	59	83.5	4.6	1.7	0.4	0.8	Pr
111	59	24.4	65.5	1.8	1	1	Pr
112	59	81.9	7.4	2.3	0.5	1	Pr
113	59	12.2	77.3	2.5	1.4	1.2	Pr
114	59	75.4	13.7	3.1	0.6	1.2	Pr
115	59	8	79.9	4.3	1.9	1.5	Pr
116	59	57	30.9	4.7	0.8	1.5	Pr
117	59	5.5	79.1	6.6	2.8	1.8	Pr
118	59	30.8	53.8	7.9	1.1	1.8	Pr
119	59	3.6	65.4	20.4	4.7	2.5	Pr
120	59	18.1	57.2	16.6	1.6	2.4	Pr
121	59	2.1	33.4	48.2	9.7	3.6	Pr
122	59	12.4	23.5	54.8	2.1	3.8	Pr
123	59	1.3	14.3	38.7	37.2	5.8	Pr
124	59	8.3	11.6	66.9	4.3	5.7	Pr
125	59	0.6	8.6	9.9	67.9	10.5	Pr
126	59	2.8	5.3	36.6	39	13.6	Pr
127	59	0	4.2	0.7	26.5	66.3	Pr
128	59	0.6	0.6	4.1	3.1	90	Pr
129	59	0	0.4	0.3	3.5	94.5	Pr
130	59	0	0	0.5	0.4	97.7	Pr
131	59	0	0	0	0.4	98.3	Pr
133	59	0	0	0	0.1	98.7	Pr
135	59	0	0	0	0.1	98.7	Pr
87	60	0	0	0	0	0	Nd
89	60	0	0	0	0	0	Nd
91	60	0.6	0	0	0	0	Nd
92	60	0	0	0	0	0	Nd
93	60	1.5	0	0	0	0	Nd
94	60	0	0	0	0	0	Nd
95	60	2	0.4	0	0	0	Nd
96	60	1.1	0	0	0	0	Nd
97	60	2.3	0.8	0	0	0	Nd
98	60	1.9	0	0	0	0	Nd
99	60	3	1	0.2	0	0	Nd
100	60	2.4	0.4	0	0	0	Nd
101	60	4	1.2	0.4	0.1	0	Nd
102	60	3	0.7	0.1	0	0	Nd
103	60	5	1.4	0.4	0.3	0	Nd
104	60	3.6	0.7	0.4	0	0	Nd
105	60	6.9	1.7	0.4	0.3	0.1	Nd
106	60	4.6	0.8	0.5	0.2	0	Nd
107	60	13.4	2	0.5	0.4	0.2	Nd
108	60	6.4	1	0.6	0.2	0.1	Nd
109	60	23.8	2.5	0.6	0.4	0.4	Nd
110	60	8.8	1.1	0.6	0.3	0.2	Nd
111	60	48	3.3	0.7	0.5	0.5	Nd
112	60	14.8	1.3	0.7	0.3	0.4	Nd
113	60	63.4	4.7	0.8	0.6	0.6	Nd
114	60	21.5	1.7	0.8	0.3	0.5	Nd
115	60	71.4	7	1	0.6	0.8	Nd
116	60	39.4	2.1	1	0.4	0.7	Nd
117	60	69.1	11.6	1.3	0.8	1	Nd
118	60	56.6	2.8	1.2	0.4	0.8	Nd
119	60	60.2	23.6	1.9	1	1.2	Nd
120	60	66	3.8	1.6	0.5	1	Nd
121	60	32.9	51.7	3	1.4	1.5	Nd
122	60	69	5.8	2.4	0.6	1.3	Nd
123	60	17.3	65.4	5	2.3	1.9	Nd
124	60	65.6	10.6	3.4	1	1.6	Nd
125	60	9.9	64.7	12.4	3.9	2.9	Nd
126	60	26.3	49.9	7.6	2.5	2.8	Nd
127	60	1.4	18.5	21.6	46.5	6.3	Nd
128	60	4.5	5.6	22.4	49.9	13	Nd
129	60	0	3.5	4.1	9.8	80.3	Nd
130	60	0.5	0	6.6	3.3	86.2	Nd
131	60	0	0.1	0	3.2	94.6	Nd
132	60	0	0	0.4	0	96.7	Nd
133	60	0	0	0	0.2	97.8	Nd
135	60	0	0	0	0.1	97.8	Nd
90	61	0	0	0	0	0	Pm
91	61	2.8	0.2	0	0	0	Pm
92	61	2.1	0	0	0	0	Pm
93	61	3.2	0.7	0	0	0	Pm
94	61	3.4	0	0	0	0	Pm
95	61	4.3	1.2	0	0	0	Pm
96	61	4.5	0.2	0	0	0	Pm
97	61	5.7	1.4	0.3	0	0	Pm
98	61	5.5	0.6	0	0	0	Pm
99	61	9.2	1.7	0.4	0.1	0	Pm
100	61	8.2	0.8	0.3	0	0	Pm
101	61	17.5	2	0.4	0.3	0	Pm
102	61	14	1	0.6	0	0	Pm
103	61	31.9	2.6	0.5	0.4	0.1	Pm
104	61	24.5	1.1	0.6	0.2	0	Pm
105	61	53.3	3.2	0.5	0.4	0.2	Pm
106	61	54.1	1.4	0.7	0.3	0.1	Pm
107	61	75.4	4.6	0.7	0.5	0.4	Pm
108	61	73.6	1.7	0.9	0.3	0.3	Pm
109	61	77.4	6.9	0.8	0.6	0.5	Pm
110	61	79.6	2.1	1	0.3	0.4	Pm
111	61	76.1	11.7	1	0.6	0.6	Pm
112	61	83.3	2.8	1.2	0.4	0.6	Pm
113	61	64.7	24.5	1.2	0.8	0.8	Pm
114	61	83.9	4.1	1.5	0.4	0.7	Pm
115	61	35.6	54.4	1.5	0.9	0.9	Pm
116	61	83.2	6.2	2	0.5	0.9	Pm
117	61	17.1	72.9	2	1.2	1.1	Pm
118	61	79	10.5	2.7	0.6	1.1	Pm
119	61	10.7	78.2	3.7	1.6	1.4	Pm
120	61	66.5	22.2	4.4	0.7	1.4	Pm
121	61	6.8	79.7	5.2	2.4	1.6	Pm
122	61	37.8	48.4	6.7	1	1.7	Pm
123	61	4.1	69.3	16.9	4	2.2	Pm
124	61	21.5	56.2	14.4	1.7	2.2	Pm
125	61	1.9	32.3	49.8	9.4	3.5	Pm
126	61	8.9	19	61.5	3.1	4.4	Pm
127	61	0.4	11	6	72.3	7.7	Pm
128	61	1.9	4.3	11.4	26.5	54	Pm
129	61	0	1.1	2.2	9.8	85.2	Pm
130	61	0.2	0	2.5	6.2	89.3	Pm
131	61	0	0.2	0	1.5	96.8	Pm
132	61	0	0	0.2	0	98	Pm
133	61	0	0	0	0.3	98.1	Pm
135	61	0	0	0	0.2	98.3	Pm
139	61	0	0	0	0.1	98.5	Pm
141	61	0	0	0	0.1	98.6	Pm
143	61	0	0	0	0.1	98.6	Pm
91	62	0	0	0	0	0	Sm
93	62	0	0	0	0	0	Sm
94	62	0	0	0	0	0	Sm
95	62	0.5	0	0	0	0	Sm
96	62	0	0	0	0	0	Sm
97	62	1.5	0	0	0	0	Sm
98	62	0	0	0	0	0	Sm
99	62	2.1	0.3	0	0	0	Sm
100	62	0.9	0	0	0	0	Sm
101	62	2.6	0.8	0	0	0	Sm
102	62	2	0	0	0	0	Sm
103	62	2.8	1	0.1	0	0	Sm
104	62	2.4	0.3	0	0	0	Sm
105	62	3.5	1.1	0.3	0	0	Sm
106	62	2.9	0.6	0.1	0	0	Sm
107	62	5.3	1.3	0.4	0.2	0	Sm
108	62	3.7	0.7	0.3	0	0	Sm
109	62	7.2	1.5	0.4	0.3	0.1	Sm
110	62	4.5	0.8	0.5	0.1	0	Sm
111	62	12.6	1.9	0.5	0.4	0.2	Sm
112	62	6.3	0.9	0.5	0.2	0	Sm
113	62	22	2.3	0.6	0.4	0.3	Sm
114	62	8.5	1.1	0.6	0.3	0.2	Sm
115	62	39.7	3	0.7	0.4	0.4	Sm
116	62	12.9	1.3	0.7	0.3	0.3	Sm
117	62	55.8	4.1	0.7	0.5	0.6	Sm
118	62	20.7	1.6	0.8	0.3	0.5	Sm
119	62	74	5.8	1.1	0.6	0.8	Sm
120	62	37.4	2	0.9	0.4	0.6	Sm
121	62	68.5	9.7	1.2	0.7	0.9	Sm
122	62	56.7	2.7	1.1	0.4	0.8	Sm
123	62	62.1	20.9	1.9	0.9	1.1	Sm
124	62	66.5	3.8	1.8	0.5	1	Sm
125	62	29.1	55	3.1	1.5	1.5	Sm
126	62	67.2	10.6	3.1	0.8	1.4	Sm
127	62	3.8	69.4	11.3	5.6	2.4	Sm
128	62	7.1	17.8	59	5.2	4.2	Sm
129	62	0.3	8.3	7.4	55.6	25	Sm
130	62	4.2	1.1	7.6	16.9	63.9	Sm
131	62	0	1.6	0.5	11.5	82.9	Sm
132	62	2.9	0	5.7	1.5	82.3	Sm
133	62	0	0.9	0	2.6	92.6	Sm
134	62	0.4	0	3.1	0	90.1	Sm
135	62	0	0.1	0	1	95.9	Sm
136	62	0	0	0.3	0	94.2	Sm
139	62	0	0	0	0.2	97	Sm
91	63	0	0	0	0	0	Eu
92	63	0	0	0	0	0	Eu
93	63	0	0	0	0	0	Eu
94	63	0	0	0	0	0	Eu
95	63	2.3	0.1	0	0	0	Eu
96	63	1	0	0	0	0	Eu
97	63	2.7	0.6	0	0	0	Eu
98	63	3	0	0	0	0	Eu
99	63	4.7	1.2	0	0	0	Eu
100	63	4.5	0.1	0	0	0	Eu
101	63	6.7	1.4	0.2	0	0	Eu
102	63	6.3	0.6	0	0	0	Eu
103	63	8.6	1.5	0.4	0.1	0	Eu
104	63	8.2	0.8	0.2	0	0	Eu
105	63	14.1	1.9	0.4	0.3	0	Eu
106	63	13.9	0.9	0.5	0	0	Eu
107	63	37.8	2.3	0.5	0.4	0.1	Eu
108	63	27.9	1.1	0.6	0.2	0	Eu
109	63	58.7	3	0.5	0.4	0.2	Eu
110	63	50.3	1.3	0.7	0.2	0.1	Eu
111	63	72.6	4.1	0.6	0.5	0.3	Eu
112	63	71.1	1.6	0.8	0.3	0.2	Eu
113	63	77.4	5.9	0.8	0.5	0.4	Eu
114	63	78.5	2	0.9	0.3	0.4	Eu
115	63	77.2	9.4	0.9	0.6	0.6	Eu
116	63	82.1	2.6	1.1	0.3	0.5	Eu
117	63	70.4	18.1	1	0.7	0.7	Eu
118	63	84.1	3.6	1.4	0.4	0.7	Eu
119	63	49.9	41.1	1.8	0.8	0.9	Eu
120	63	83.3	5.5	1.7	0.5	0.8	Eu
121	63	22.7	67.5	1.8	1.1	1	Eu
122	63	80.3	9.4	2.5	0.5	1	Eu
123	63	13.1	76.3	3.3	1.5	1.3	Eu
124	63	67.2	21.6	4.1	0.7	1.3	Eu
125	63	7.4	77.5	7.1	2.5	1.7	Eu
126	63	24.3	59.2	9.3	1.4	1.8	Eu
127	63	1.8	32.4	42.5	16.9	2.8	Eu
128	63	5	6.5	53.5	26.1	6.7	Eu
129	63	0	3.6	7.4	27.8	59.1	Eu
130	63	1.1	0	11.2	6.3	79.3	Eu
131	63	0	0.8	0	12.6	84.6	Eu
132	63	0.7	0	2.4	0	94.6	Eu
133	63	0	0.4	0	1.7	96	Eu
134	63	0.3	0	1	0	96.4	Eu
135	63	0	0.2	0	0.8	97.1	Eu
136	63	0.1	0	0.3	0	97.2	Eu
137	63	0	0.1	0	0.4	97.5	Eu
138	63	0	0	0.1	0	97.8	Eu
139	63	0	0	0	0.3	97.8	Eu
141	63	0	0	0	0.3	97.9	Eu
143	63	0	0	0	0.2	98	Eu
145	63	0	0	0	0.2	98.2	Eu
147	63	0	0	0	0.1	98.3	Eu
95	64	0	0	0	0	0	Gd
97	64	0	0	0	0	0	Gd
98	64	0	0	0	0	0	Gd
99	64	0.3	0	0	0	0	Gd
100	64	0	0	0	0	0	Gd
101	64	1.2	0	0	0	0	Gd
102	64	0	0	0	0	0	Gd
103	64	1.9	0.2	0	0	0	Gd
104	64	0.8	0	0	0	0	Gd
105	64	2.2	0.6	0	0	0	Gd
106	64	1.8	0	0	0	0	Gd
107	64	3	0.9	0.1	0	0	Gd
108	64	2.4	0.2	0	0	0	Gd
109	64	3.7	1.1	0.3	0	0	Gd
110	64	2.9	0.6	0	0	0	Gd
111	64	5	1.3	0.4	0.1	0	Gd
112	64	3.5	0.7	0.2	0	0	Gd
113	64	7.2	1.5	0.4	0.3	0	Gd
114	64	4.5	0.8	0.5	0	0	Gd
115	64	10.8	1.7	0.5	0.3	0.1	Gd
116	64	5.7	0.9	0.5	0.2	0	Gd
117	64	14.6	2.1	0.5	0.4	0.3	Gd
118	64	8.6	1	0.6	0.2	0.1	Gd
119	64	53.7	2.6	0.7	0.4	0.4	Gd
120	64	11.3	1.3	0.6	0.3	0.3	Gd
121	64	46	3.7	0.7	0.5	0.5	Gd
122	64	21.1	1.5	0.8	0.3	0.4	Gd
123	64	68	5.6	0.9	0.6	0.7	Gd
124	64	37.9	2.1	0.9	0.4	0.6	Gd
125	64	69.6	10.8	1.4	0.7	0.9	Gd
126	64	64	3.9	1.4	0.5	0.8	Gd
127	64	11.3	72.2	2.9	2	1.4	Gd
128	64	13.4	60.1	13.9	2	1.8	Gd
129	64	1.5	12.9	30.1	45.6	5	Gd
130	64	5.9	2	22.2	50.5	9	Gd
131	64	0.6	9.3	3.3	13.3	66.8	Gd
132	64	7.4	1.3	4.2	1.8	70.1	Gd
133	64	0	6.4	2.1	10	74	Gd
134	64	8.5	0.8	5	1.2	69.3	Gd
135	64	0.1	2.9	1.3	9.5	78.5	Gd
136	64	7	0	7.6	0.5	70.4	Gd
137	64	0	2.1	0.4	5.5	83.6	Gd
138	64	4.4	0	8.2	0	71.1	Gd
139	64	0	1	0	3.3	87.9	Gd
140	64	1	0	4.2	0	78.9	Gd
141	64	0	0.4	0	2.2	90.6	Gd
142	64	0	0	1.1	0	83.4	Gd
143	64	0	0	0	2	92	Gd
145	64	0	0	0	0.9	94.5	Gd
147	64	0	0	0	0.3	95.1	Gd
149	64	0	0	0	0.1	97.2	Gd
95	65	0	0	0	0	0	Tb
96	65	0	0	0	0	0	Tb
97	65	1.2	0	0	0	0	Tb
98	65	0	0	0	0	0	Tb
99	65	2.2	0.1	0	0	0	Tb
100	65	0.9	0	0	0	0	Tb
101	65	2.9	0.6	0	0	0	Tb
102	65	2.1	0	0	0	0	Tb
103	65	2.9	0.9	0	0	0	Tb
104	65	2.9	0.1	0	0	0	Tb
105	65	3.2	1	0.2	0	0	Tb
106	65	3.4	0.5	0	0	0	Tb
107	65	9.6	1.5	0.4	0	0	Tb
108	65	8.8	0.8	0.2	0	0	Tb
109	65	16	1.8	0.4	0.2	0	Tb
110	65	13.9	0.9	0.4	0	0	Tb
111	65	35.2	2.3	0.5	0.3	0	Tb
112	65	26	1.1	0.6	0.1	0	Tb
113	65	61.3	2.8	0.5	0.4	0.2	Tb
114	65	52.3	1.3	0.7	0.2	0	Tb
115	65	73	3.7	0.6	0.4	0.3	Tb
116	65	69.4	1.6	0.8	0.3	0.2	Tb
117	65	75.6	5.3	0.7	0.5	0.4	Tb
118	65	80.7	1.9	0.9	0.3	0.3	Tb
119	65	80.3	8	1	0.5	0.5	Tb
120	65	81.8	2.6	1	0.3	0.5	Tb
121	65	72.5	14.9	0.9	0.7	0.6	Tb
122	65	84.1	3.6	1.3	0.4	0.6	Tb
123	65	52.9	37.3	1.4	0.8	0.8	Tb
124	65	83.5	5.8	1.8	0.4	0.8	Tb
125	65	23.2	67.1	2.1	1.1	1	Tb
126	65	72.3	17.3	3.3	0.6	1.1	Tb
127	65	4.6	77.7	8.4	3.5	1.6	Tb
128	65	8.9	14.2	68	3.7	2.7	Tb
129	65	0.2	11.5	10.3	68.7	6.9	Tb
130	65	2.6	1.1	17.7	32.8	43.1	Tb
131	65	0	3.6	0.8	21.3	71.5	Tb
132	65	3.4	0.2	12.4	3.4	76.9	Tb
133	65	0	3.5	0	8.2	85.5	Tb
134	65	3.2	0	7.1	0.2	85.9	Tb
135	65	0	2.7	0	4.1	90.4	Tb
136	65	2.8	0	3.7	0	89.9	Tb
137	65	0	1.4	0	3.8	92.1	Tb
138	65	2	0	2.9	0	91.5	Tb
139	65	0	0.7	0	3.1	93.6	Tb
140	65	0.8	0	2	0	94.1	Tb
141	65	0	0.3	0	1.6	95.6	Tb
142	65	0.3	0	0.9	0	95.8	Tb
143	65	0	0.2	0	1.1	96.3	Tb
144	65	0.1	0	0.3	0	96.6	Tb
145	65	0	0	0	0.6	97.1	Tb
146	65	0	0	0.1	0	96.6	Tb
147	65	0	0	0	0.5	97.2	Tb
149	65	0	0	0	0.4	97.5	Tb
151	65	0	0	0	0.1	98.2	Tb
153	65	0	0	0	0.1	98.3	Tb
91	66	0	0	0	0	0	Dy
93	66	0	0	0	0	0	Dy
99	66	0	0	0	0	0	Dy
100	66	0	0	0	0	0	Dy
101	66	0	0	0	0	0	Dy
102	66	0	0	0	0	0	Dy
103	66	0.1	0	0	0	0	Dy
104	66	0	0	0	0	0	Dy
105	66	0.8	0	0	0	0	Dy
106	66	0	0	0	0	0	Dy
107	66	1.4	0.1	0	0	0	Dy
108	66	0.6	0	0	0	0	Dy
109	66	1.6	0.4	0	0	0	Dy
110	66	1.2	0	0	0	0	Dy
111	66	2.6	0.9	0	0	0	Dy
112	66	2.2	0.1	0	0	0	Dy
113	66	3.8	1	0.3	0	0	Dy
114	66	2.9	0.5	0	0	0	Dy
115	66	4.9	1.2	0.4	0.1	0	Dy
116	66	3.5	0.7	0.2	0	0	Dy
117	66	5.7	1.4	0.4	0.3	0	Dy
118	66	5.2	0.8	0.5	0	0	Dy
119	66	12	1.6	0.5	0.3	0.1	Dy
120	66	5.6	0.9	0.5	0.2	0	Dy
121	66	11.8	2	0.5	0.4	0.2	Dy
122	66	8.3	1	0.6	0.2	0.1	Dy
123	66	34	2.6	0.6	0.4	0.4	Dy
124	66	13.6	1.3	0.7	0.3	0.3	Dy
125	66	55.8	3.9	0.7	0.5	0.5	Dy
126	66	36.4	1.9	0.8	0.3	0.5	Dy
127	66	37.9	45	1.5	0.9	0.9	Dy
128	66	31	52	3.9	0.8	1.1	Dy
129	66	4.1	25.6	55	5.5	2.1	Dy
130	66	7.8	4.7	62.4	7.3	3.2	Dy
131	66	4.6	12.3	3.2	53.1	16.5	Dy
132	66	8.8	2.3	7.8	11.5	47.7	Dy
133	66	3	14.6	3.5	5.9	61.5	Dy
134	66	10.8	1.5	4.9	2.6	56.5	Dy
135	66	2.1	14.3	4.3	6.8	60.5	Dy
136	66	10.2	2.1	4.1	1.4	56.2	Dy
137	66	1.3	11.5	4.8	9.8	60.2	Dy
138	66	9.4	1.2	4.4	0.8	58.9	Dy
139	66	0.4	9.5	2.2	10.3	64.1	Dy
140	66	8.2	1.2	5.2	0.9	60.2	Dy
141	66	0	6.9	0.9	10.9	69.3	Dy
142	66	7.5	0.3	6.2	0.9	62.6	Dy
143	66	0	4.7	0	10.9	73.9	Dy
144	66	5.8	0	6.1	0.4	64.4	Dy
145	66	0	2.9	0	7.6	79.5	Dy
146	66	3.6	0	5	0	63.4	Dy
147	66	0	1.9	0	4.5	81.7	Dy
148	66	1.3	0	3.5	0	68.8	Dy
149	66	0	0.5	0	4.1	85.9	Dy
150	66	0	0	1.1	0	76.2	Dy
151	66	0	0	0	1.6	91.3	Dy
153	66	0	0	0	0.3	96.3	Dy
155	66	0	0	0	0.1	96.9	Dy
99	67	0	0	0	0	0	Ho
100	67	0	0	0	0	0	Ho
101	67	1.2	0	0	0	0	Ho
102	67	0	0	0	0	0	Ho
103	67	1.4	0.1	0	0	0	Ho
104	67	0.7	0	0	0	0	Ho
105	67	1.6	0.4	0	0	0	Ho
106	67	1.5	0	0	0	0	Ho
107	67	2	0.7	0	0	0	Ho
108	67	2.1	0.1	0	0	0	Ho
109	67	3.6	1	0.1	0	0	Ho
110	67	3.8	0.5	0	0	0	Ho
111	67	5.4	1.1	0.3	0	0	Ho
112	67	5.5	0.7	0.1	0	0	Ho
113	67	9.5	1.4	0.4	0.2	0	Ho
114	67	9	0.8	0.4	0	0	Ho
115	67	18.9	1.8	0.4	0.3	0	Ho
116	67	17.9	1	0.6	0.1	0	Ho
117	67	33.3	2.5	0.5	0.4	0.1	Ho
118	67	68.2	1.2	0.7	0.2	0	Ho
119	67	75.8	3.5	0.6	0.4	0.3	Ho
120	67	70.3	1.6	0.7	0.3	0.2	Ho
121	67	73.9	5	0.6	0.5	0.3	Ho
122	67	79.5	2	0.9	0.3	0.3	Ho
123	67	78.7	7.8	0.8	0.5	0.5	Ho
124	67	82.7	2.7	1.1	0.3	0.5	Ho
125	67	70.4	17.9	1	0.7	0.6	Ho
126	67	84	4.8	1.5	0.4	0.7	Ho
127	67	9.9	79.2	2.7	1.4	1.1	Ho
128	67	13.9	52.9	27.1	1.4	1.5	Ho
129	67	1	18.2	46.3	28.7	2.7	Ho
130	67	5.7	4.8	33.5	46.3	5.9	Ho
131	67	1	8.7	6	32.1	47.8	Ho
132	67	6.1	3.9	18	2.9	63.2	Ho
133	67	0.9	6.3	2.8	21	64.2	Ho
134	67	5.9	1.2	21.4	2.6	62.1	Ho
135	67	0.6	5.7	1.3	20.3	67.1	Ho
136	67	5.2	0.7	20	3.2	63.2	Ho
